学校名称,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置,官网,经度,纬度
山东师范大学附属中学（山师附中）,省重点,公办,中学,山东省济南市历下区山师北街3号,0531-86187151,山东省,济南市,历下区,,117.040965,36.658733
云浮市云浮中学,全国重点,公办,中学,广东省云浮市云城区兴云东路133号,0766-8131029,广东省,云浮市,云城区,,112.069443,22.833145
北京师范大学附属实验中学（实验中学）,市重点,公办,中学,北京市西城区二龙路甲14号,010-66036431,北京市,北京市,西城区,,116.369004,39.911235
北京市第二中学（北京二中）,市重点,公办,中学,北京市东城区内务部街15号,010-65274375,北京市,北京市,东城区,,116.423637,39.919716
杭州市学军中学,省重点,公办,中学,浙江省杭州市文三路188号,0571-88088529  0571-88052280,浙江省,杭州市,西湖区,,120.139277,30.278356
清华大学附属中学（清华附中）,全国重点,公办,中学,北京市海淀区圆明园东路,010-62789541,北京市,北京市,海淀区,,116.320872,40.009174
湖南师范大学附属中学（湖南师大附中）,省重点,公办,中学,湖南长沙岳麓区桃子湖路48号,0731-88885855、88886669、88882315,湖南省,长沙市,岳麓区,,112.951333,28.1841
太原市第五中学（太原五中）,省重点,公办,中学,山西省太原市迎泽区青年路49号,0351-4094288,山西省,太原市,迎泽区,,112.565996,37.84917
杭州二中滨江校区,省重点,公办,中学,浙江省杭州市滨江区东信大道72-76号,0571-86696789  86053053,浙江省,杭州市,滨江区,,120.137536,30.176669
陕西师范大学附属中学（陕师大附中）,省重点,公办,中学,陕西省西安市翠华南路115号,029-85265803,陕西省,西安市,雁塔区,,108.960128,34.215598
北京大学附属中学（北大附中）,全国重点,公办,中学,北京市海淀区黄庄北大附中,010-62555594,北京市,北京市,海淀区,,116.320383,39.978187
广东实验中学（省实）,省重点,公办,中学,广州市越秀区中山四路51号　,（020）83810947、83818022,广东省,广州市,越秀区,,113.227665,23.073486
吉林省实验中学（高中）,省重点,公办,中学,吉林省长春市人民大街6465号,0431-85376541,吉林省,长春市,朝阳区,,125.324421,43.850086
北京101中学,市重点,公办,中学,北京市海淀区颐和园路11号,010-62566753,北京市,北京市,海淀区,,116.305857,40.00361
杭州市高级中学,省重点,公办,中学,浙江省杭州市下城区凤起路238号,0571-85155827 / 85155951 / 85179872,浙江省,杭州市,下城区,,120.172243,30.265904
北京市第四中学（北京四中）,市重点,公办,中学,京市西城区西黄城根北街甲2号（近北大医院）,010-66175566,北京市,北京市,西城区,,116.378176,39.931482
成都市石室中学（文庙校区）,省重点,公办,中学,四川省成都市青羊区文庙前街93号,028-86119108 028-86139976,四川省,成都市,青羊区,,104.05863,30.652398
福州市第一中学（福州一中）,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区,,119.205401,26.054221
北京市第八中学（北京八中）,市重点,公办,中学,北京市西城区学院小街2号,010-66034661,北京市,北京市,西城区,,116.361115,39.910859
上海外国语大学附属双语学校（上外双语）,市重点,民办,中学,上海市杨浦区永吉路351号,021-55805273,上海市,上海市,杨浦区,,121.527756,31.280385
上海西南位育中学（初中）,市重点,民办,中学,上海市徐汇区宜山路671号,021-64088658,上海市,上海市,徐汇区,,121.443156,31.11985
东北师范大学附属中学（东北师大附中）,省重点,公办,中学,吉林省长春市自由大路506号,0431-85608927 85677272,吉林省,长春市,朝阳区,,125.314611,43.863508
贵阳市第一中学（贵阳一中）,省重点,公办,中学,贵州省贵阳市金阳新区兴筑东路1号,0851-7986565,贵州省,贵阳市,乌当区,,106.626939,26.622527
西北工业大学附属中学（西工大附中）,省重点,公办,中学,陕西省西安市碑林区友谊西路127号,029 - 88492401 029 - 88494872,陕西省,西安市,碑林区,,108.916636,34.245815
北京市三帆中学（师大二附初中部）,市重点,公办,中学,北京市西城区德外新风7号,010-62059161,北京市,北京市,西城区,,116.385765,39.972382
哈尔滨市第三中学（哈三中）,省重点,公办,中学,黑龙江省哈尔滨市南岗区果戈里大街415号,0451-53636578,黑龙江,哈尔滨市,南岗区,,126.536331,45.718938
厦门市双十中学,省重点,公办,中学,福建省厦门市镇海路33号/厦门市湖里区枋湖路789,0592-2117888,福建省,厦门市,思明区,,118.051974,24.494459
重庆市南开中学,全国重点,公办,中学,重庆市沙坪坝区沙南街一号,023-65312786,重庆市,重庆市,沙坪坝区,,106.462094,29.561263
郑州市第一中学（郑州一中）,省重点,公办,中学,郑州市中原西路182号,0371-67882208,河南省,郑州市,中原区,,113.561026,34.749081
中国人民大学附属中学（人大附中）,全国重点,公办,中学,北京市海淀区中关村大街37号,010-62512094  62515003,北京市,北京市,海淀区,,116.300782,39.913432
南京师范大学附属中学（南师附中）,省重点,公办,中学,南京市鼓楼区察哈尔路37号（校本部）,0527-82898588,江苏省,南京市,鼓楼区,,118.757259,32.07738
华南师范大学附属中学（华师附中）,全国重点,民办,中学,广东省广州市天河区中山大道西1号,020-38630561 38630511,广东省,广州市,天河区,,113.344441,23.137653
湖北黄冈中学,全国重点,公办,中学,湖北黄冈开发区明珠大道,0713-8838888,湖北省,黄冈市,黄州区,,114.930837,30.437813
武汉外国语学校（武汉外校）,全国重点,公办,中学,武汉市经济技术开发区龙阳大道太子湖1号,027 - 84897315 85764750,湖北省,武汉市,江汉区,,114.184132,30.515701
西安高新第一中学（高新一中）,省重点,民办,中学,陕西省西安市高新区唐延路23号（西安海关南侧）,029-88323755,陕西省,西安市,高新区,,108.881399,34.178121
海南省海南中学,省重点,公办,中学,海南省海口市琼山区府城镇大路街板桥路,0898-65885933,海南省,海口市,琼山区,,110.344514,19.992953
西安交通大学附属中学（西安交大附中）,省重点,公办,中学,陕西省西安市兴庆南路135号/西安市雁翔路99号,029-82668353,陕西省,西安市,碑林区,,109.003327,34.224666
无锡学而思教育有限公司洛社分公司,全国重点,民办,中学,洛社天奇城1-118民生银行往东50米,18626326075,江苏省,无锡市,惠山区,,120.263608,31.548583
成都七中（林荫校区）,全国重点,公办,中学,成都市林荫中街1号,028-85442231,四川省,成都市,武侯区,,104.074929,30.635495
北京师范大学第二附属中学（师大二附）,市重点,公办,中学,北京市西城区新街口外大街12号,010-62354504,北京市,北京市,西城区,,116.3719,39.960068
成都市树德中学（原成都九中）,省重点,公办,中学,成都市宁夏街树德里４号,028-86697520,四川省,成都市,青羊区,,104.056556,30.675091
天津市第一中学（天津一中）,市重点,公办,中学,天津市和平区西安道117号,022-23391126,天津市,天津市,和平区,,117.194669,39.114863
山西大学附属中学（山大附中）,省重点,公办,中学,山西省太原市小店区坞城西街9号,0351-7073436,山西省,太原市,小店区,,112.582433,37.814119
青岛第二中学（青岛二中）,省重点,公办,中学,山东省青岛市崂山区松岭路70号,0532-88907255,山东省,青岛市,崂山区,,120.484773,36.112379
长沙长郡中学,省重点,公办,中学,长沙市黄兴南路309号,0731-85287990,湖南省,长沙市,天心区,,112.975043,28.185704
南宁市第二中学（南宁二中）,省重点,公办,中学,广西南宁市新民路29号,0771--2804263,广西,南宁市,西乡塘区,,108.32723,22.811709
华中师范大学第一附属中学（华师一附中）,全国重点,公办,中学,湖北省武汉市东湖高新技术开发区汤逊湖北路特1号,027—87920883,湖北省,武汉市,东西湖区,,114.391343,30.453598
石家庄市第二中学（河北省实验中学）（高中部）,省重点,公办,中学,河北省石家庄市兴凯路187号,0311--7022964 7022492,河北省,石家庄市,新华区,,114.639556,37.901896
复旦大学附属中学（复旦附中）,市重点,公办,中学,上海市杨浦区国权路383号,021-65640560,上海市,上海市,杨浦区,,121.505478,31.290432
上海张江集团学校,市重点,民办,中学,上海市浦东区浦东张江高科技园区藿香路38号,021-50802612 021-50278818-8005,上海市,上海市,浦东新区,,121.594732,31.20196
华东师范大学第二附属中学（华师大二附中）,市重点,公办,中学,上海市浦东新区张江镇晨晖路555号（近地铁二号线张江高科站）,021-50801890,上海市,上海市,浦东新区,,121.461562,31.030809
南京外国语学校（高中）,省重点,民办,中学,江苏省南京市玄武区北京东路30号,025-84555412,江苏省,南京市,玄武区,,118.935348,32.098905
重庆市巴蜀中学,全国重点,公办,中学,重庆市渝中区北区路51号,023-63002371,重庆市,重庆市,渝中区,,106.563296,29.598914
合肥市第一中学（合肥一中）,省重点,公办,中学,安徽省合肥市滨湖新区西藏路2356号,0551-2911006 180-9663-1182,安徽省,合肥市,包河区,,117.272443,31.85775
长沙市第一中学（长沙一中）,省重点,公办,中学,湖南省长沙市开福区清水塘路53号,（0731）82774885,湖南省,长沙市,开福区,,112.987942,28.201771
长沙市湘郡中学,省重点,公办,中学,湖南省长沙市岳麓区 月华街101号,0731-85207900,湖南省,长沙市,,,112.902956,28.198678
青岛二中,省重点,公办,中学,山东省青岛市崂山区松岭路70号,0532-88907429,山东省,青岛市,崂山区,,120.481001,36.110682
广东地勘局韶关地质中学,省重点,公办,中学,广东省韶关市韶关钢铁集团第一中学,0751-8791872,广东省,韶关市,武江区,,113.568998,24.803332
北京市海淀国际学校,市重点,公办,中学,北京市海淀区旱河路368号-2,010-88438003,北京市,北京市,海淀区,,116.252993,39.942408
武汉市武昌楚才实验中学,省重点,公办,中学,湖北省武汉市武昌区南湖花园松涛苑,027-88010039,湖北省,武汉市,武昌区,,114.316464,30.55418
天津第一零九中学,市重点,公办,中学,天津市南开区湖镜道1号,022-23616831 27406125,天津市,天津市,南开区,,117.158443,39.111584
四川乐山一中,省重点,公办,中学,四川省乐山市中区文星路280号,0833-2605588,四川省,乐山市,,,103.746141,29.620032
南京市第三高级中学,省重点,公办,中学,南京市白下区白下路117号,025-84506950  025-86642872,江苏省,南京市,白下区,,118.793953,32.028111
上海复旦大学附属中学国际部,市重点,公办,中学,上海市杨浦区国权路384号,021-55520127 021-65107760,上海市,上海市,杨浦区,,121.505478,31.290432
上海实验学校,市重点,公办,中学,上海市浦东新区东明路300号,021-50866819,上海市,上海市,浦东新区,,121.509164,31.183964
上海市平和双语学校国际部,区重点,民办,中学,上海市浦东新区黄杨路261号,021-50310417 021-58541617,上海市,上海市,浦东新区,,121.589868,31.24026
湖北省水果湖第一中学（水果湖一中）,省重点,公办,中学,湖北省武汉市武昌区水果湖东湖路89号,027-87234438,湖北省,武汉市,武昌区,,114.346308,30.549214
天津市第三十一中学,市重点,公办,中学,天津市南开区北马路339号,（022）27274528,天津市,天津市,南开区,,117.131845,39.083722
上海市鲁迅中学,区重点,公办,中学,上海市虹口区广中路132号,021-56901325,上海市,上海市,虹口区,,121.477448,31.275368
深圳实验中学中学部,市重点,公办,中学,深圳福田区百花六路深圳实验学校本部,0755-83361223,广东省,深圳市,福田区,,114.087085,22.554948
上海市平和双语学校（高中部）,市重点,民办,中学,上海市浦东新区黄杨路261号,021-50310417 021-58541617,上海市,上海市,浦东新区,,121.589868,31.24026
济宁育才中学,省重点,公办,中学,山东省济宁市市中区洸河路26号,0537-2347831,山东省,济宁市,市中区,http://www.jnyczx.com,116.622171,35.418962
上海市民立中学,市重点,公办,中学,上海市静安区威海路681号,021-62531592,上海市,上海市,静安区,www.minli.edu.sh....,121.45538,31.225016
上海市川沙中学,市重点,公办,中学,上海市浦东区川沙镇新川路324号,021-58981232   021-58921330,上海市,上海市,浦东新区,http://www.hschsh.pudong-edu.sh.cn,121.690772,31.17853
保定第一中学（保定一中）,市重点,公办,中学,河北保定河北省保定市三丰路1号,0312-2136544,河北省,保定市,北市区,,115.50351,38.846649
淄博市张店区湖田中学,省重点,公办,中学,山东省淄博市张店区湖光路3号,0533-2061015,山东省,淄博市,张店区,,118.114166,36.790934
上海格致中学奉贤校区,市重点,公办,中学,上海市黄浦区广西北路66号,021-63510228,上海市,上海市,黄浦区,,121.473493,30.95324
内蒙古北方重工集团三中,市重点,公办,中学,内蒙古包头市青山区青山路117号,0472-3135562 传真：0472-3158680 地址：内蒙古包头市青山区青山路117号,内蒙古,包头市,青山区,,109.88368,40.675179
北方重工集团第三中学（北重三中）,市重点,公办,中学,内蒙古包头市青山区青山路117号,0472-3135562,内蒙古,包头市,青山区,,109.882547,40.679975
深圳罗湖外语学校高中部,省重点,公办,中学,广东省深圳市罗湖区仙湖路与国威路交汇处,0755-25739870,广东省,深圳市,罗湖区,,114.164529,22.563205
西安市自立中学（原西安铁三中）,省重点,公办,中学,陕西省西安市新城区建强路,029-86519833,陕西省,西安市,新城区,,108.957686,34.290597
上海外国语大学附属外国语学校（高中部）,市重点,公办,中学,上海市虹口区中山北一路295号,021-65423105,上海市,上海市,虹口区,,121.479906,31.278356
杭州市绿城育华学校,省重点,民办,中学,浙江省杭州市西湖区文一西路532号,0571—88477542  88477990,浙江省,杭州市,西湖区,,120.086338,30.290406
苏州市平江中学,市重点,公办,中学,江苏省苏州市沧浪区学士街389号 	 三新路,0512-67264378,江苏省,苏州市,沧浪区,,120.646046,31.316575
招远市第一中学（招远一中）,省重点,公办,中学,山东省烟台市招远市文化路12号,0535-8214002,山东省,烟台市,招远市,,120.397023,37.3678
上海市民办上宝中学（初中）,市重点,民办,中学,上海闵行区农谊路1号,021-54866016,上海市,上海市,闵行区,,121.364294,31.140276
淄博市桓台县渔洋中学,省重点,公办,中学,山东省淄博市桓台县渔洋路1819号,0533-8212733,山东省,淄博市,桓台县,,118.103141,36.949408
日喀则地区第一高级中学（日喀则一高）,市重点,公办,中学,西藏自治区日喀则地区山东路23号,0892-8822415,西藏,日喀则地区,,,88.882225,29.258805
平度市第九中学,省重点,公办,中学,山东省青岛市平度市杭州路37号,0532-8335772,山东省,青岛市,平度市,,119.938485,36.801539
上海市西中学,市重点,公办,中学,上海市静安区愚园路404号,021-62521018,上海市,上海市,静安区,,121.44017,31.223387
铜陵十五中学,省重点,公办,中学,安徽省铜陵市长江中路999号,0562-2121790,安徽省,铜陵市,,,117.81951,30.925684
枣庄市第一中学东校（枣庄一中东校）,省重点,公办,中学,山东省枣庄市峄城区宏学路68号,0632-711474,山东省,枣庄市,峄城区,,117.591364,34.766328
齐齐哈尔实验中学,省重点,公办,中学,齐齐哈尔市建华区中华西路142号,0452-6162170,黑龙江,齐齐哈尔市,建华区,,123.936685,47.358843
吉林市朝鲜族中学,省重点,公办,中学,吉林省吉林市昌邑区江湾路200号,0432—66101450,吉林省,吉林市,昌邑区,,126.590231,43.842924
吉林省延边第二中学（延边二中）,省重点,公办,中学,吉林省延边朝鲜族自治州延吉市,,吉林省,延边,延吉市,,129.520471,42.913149
枣庄市吴林中学,省重点,公办,中学,山东省枣庄市峄城区王屯村,0632-7561720,山东省,枣庄市,峄城区,,117.632829,34.735781
上海民办凯慧初级中学,市重点,民办,中学,上海市杨浦区大连路1530号,021-65025518,上海市,上海市,杨浦区,,121.505493,31.272261
山西省长治市第二中学（长治二中）,省重点,公办,中学,山西省长治市府上街25号,0355-2024118,山西省,长治市,,,113.107452,36.19044
青海乐都县第一中学（乐都一中）,省重点,公办,中学,青海省海东地区乐都县仓门街,0972-8622484,青海省,海东地区,乐都县,,102.400123,36.483419
上海民办华育中学（华育中学）,区重点,民办,中学,上海市徐汇区龙吟路99号（老校区-罗秀路99号（,021-55350909,上海市,上海市,徐汇区,,121.453954,31.116729
上海市建青实验学校,市重点,公办,中学,上海市长宁区古羊路900号,021-62754970,上海市,上海市,长宁区,www.jqsyschool.co...,121.400604,31.192537
扬州市教育学院附属中学,市重点,公办,中学,江苏省扬州市文峰路19号,0514-87825901,江苏省,扬州市,广陵区,,119.441351,32.374348
云浮市云安中学,省重点,公办,中学,广东省云浮市云安县六都镇白沙塘行政综合区,023-55711213,广东省,云浮市,云安县,,112.007183,23.058459
青岛十六中,省重点,公办,中学,青岛市北区鞍山路5号（近鞍山二路）,（0532）83101052,山东省,青岛市,,,120.369905,36.096297
涿鹿县涿鹿中学,省重点,公办,中学,河北省张家口市涿鹿县城北环文化街2号,0313－6530076,河北省,张家口市,涿鹿县,,115.185492,40.380748
扬州市新华中学,省重点,公办,中学,江苏省扬州维扬区扬子江中路72号,0514-87861313,江苏省,扬州市,,,119.415173,32.386954
广西百色高级中学,省重点,公办,中学,城乡路93号,0776-2824142,广西,百色市,,,106.634586,23.869848
宜章第一中学（宜章一中）,省重点,公办,中学,湖南省宜章县文明北路4号　,0735-3727493,湖南省,郴州市,,,112.953128,25.402054
三明市第一中学（三明一中）,省重点,公办,中学,福建省三明市三元区富兴路12号,0598-8337573,福建省,三明市,三元区,,117.605449,26.228706
江门市沙堆镇独联学校（中学部）,省重点,公办,中学,广东省新会市沙堆镇独联村,0750-6236596,广东省,江门市,新会区,,113.167067,22.361681
邢台市任县中学,省重点,公办,中学,河北省邢台市任县育才街,0319-7609229,河北省,邢台市,任　县,,114.688312,37.117101
浙江省绍兴市诸暨中学,省重点,公办,中学,浙江省绍兴市诸暨市暨阳路47号,0575-87011543,浙江省,绍兴市,诸暨市,,120.238854,29.719484
韶关市始兴区墨江中学,省重点,公办,中学,广东省始兴县兴平路2号,（0751）3333175,广东省,韶关市,始兴县,,114.061567,24.948853
北京161中学,市重点,公办,中学,北京市西城区西长安街1号,010-66055627,北京市,北京市,西城区,,116.88835,40.387298
唐山第十中学,省重点,公办,中学,河北省唐山市路北区山西南里,0315-5262486,河北省,唐山市,路北区,,118.182343,39.628782
宁夏大学附属中学,省重点,公办,中学,宁夏回族自治区银川市怀远东路89号,0951-2075875,宁夏,银川市,,,106.142125,38.491707
江苏省怀仁中学,市重点,公办,中学,江苏省无锡市锡山区东港镇东湖塘东港路88号,0510-88791510  0510-88792920,江苏省,无锡市,锡山区,,120.503511,31.683935
福建省东山第一中学（东山一中）,省重点,公办,中学,福建省漳州市东山县西埔镇白石街县府路008号,0596-2959839,福建省,漳州市,东山县,,117.431047,23.703199
上海财经大学附属中学,区重点,公办,中学,上海市杨浦区宁武路151号,021-65435260,上海市,上海市,杨浦区,,121.545415,31.266258
上海市向明初级中学,区重点,公办,中学,上海市卢湾区巨鹿路334号,021-62716638,上海市,上海市,黄浦区,,121.457944,31.222804
温州外国语学校,省重点,民办,中学,浙江省温州市学院西路166号,0577-88117367   0577-88117387,浙江省,温州市,鹿城区,,120.618953,27.970196
大连市第二十三中学,省重点,公办,中学,大连市甘井子区华东路校园街3号,0411-86530806,辽宁省,大连市,甘井子区,,121.593098,38.995873
江苏省锡东高级中学（羊尖高级中学）,省重点,公办,中学,无锡市锡山区羊尖镇育才路1号,0510-88732180,江苏省,无锡市,锡山区,,120.560986,31.624018
成都市树德中学（宁夏街校区）,省重点,公办,中学,四川成都市宁夏街树德里４号,028-86630297  028-86244633,四川省,成都市,青羊区,,104.056512,30.675554
江西金溪一中,省重点,公办,中学,江西省南昌市抚州市金溪县,0794-5212311,江西省,抚州市,,,116.78501,27.903703
山东师范大学第二附属中学（山师二附中）,市重点,公办,中学,山东省济南市历下区师东新村24号,0531－86180186,山东省,济南市,历下区,,116.834412,36.543625
开封市第一中学（开封一中）,省重点,公办,中学,开封市万善街,0378—3972806,河南省,开封市,,,115.026169,34.841928
青岛市第十五中学,省重点,公办,中学,山东省青岛市登州路22号乙,0532-82722107,山东省,青岛市,市北区,,120.346573,36.076781
山东省招远市第一中学（招远一中）,省重点,公办,中学,招远市文化路12号,0535-8163628,山东省,烟台市,,,120.397023,37.3678
合肥科大附中,省重点,公办,中学,安徽省合肥市徽州大道1129号,861-0551-63606404,安徽省,合肥市,包河区,,117.283211,31.822518
杭州市保俶塔实验学校初中部,市重点,公办,中学,浙江省杭州市西湖区天目山路81号,0571-85213893,浙江省,杭州市,西湖区,,120.149441,30.270274
福建省闽清县第一中学（闽清一中）,省重点,公办,中学,福建省福州市闽清城西大路18号,0591-22373315,福建省,福州市,闽清县,,118.888608,26.202396
陕西汉中市勉县一中,省重点,公办,中学,陕西省汉中市勉县武侯镇莲水路3号,0916-3296333    0916-3299916,陕西省,汉中市,勉　县,,106.633609,33.150834
汕头市潮阳第一中学（潮阳一中）,省重点,公办,中学,汕头市潮阳区中山东路,0754-3824801,广东省,汕头市,潮阳区,,116.614822,23.262103
海拉尔第二中学（海拉尔二中）,市重点,公办,中学,海拉尔区兴安西路,0472-8323054,内蒙古,呼伦贝尔市,海拉尔区,,119.736974,49.215501
开封高级中学（开封高中）,省重点,公办,中学,河南省开封铁路北沿街223号,0378-5951776,河南省,开封市,,,114.359288,34.775564
湛江市吴川市第一中学（吴川一中 ）,省重点,公办,中学,广东省湛江市吴川市区,0759-5583032,广东省,湛江市,吴川市,,110.777195,21.430661
深圳市实验学校（高中部）,省重点,公办,中学,广东省深圳市南山区西丽街道同发路99号,0755-83361223,广东省,深圳市,南山区,,113.943095,22.586344
青海省互助一中,省重点,公办,中学,青海省互助县威远镇南街8号,0972-7311010,青海省,海东地区,互助土族自治县,,101.980076,36.83602
杭州市采荷中学（濮家校区）,市重点,公办,中学,浙江省杭州江干区秋涛北路天运路1-1号,0571—56300579,浙江省,杭州市,江干区,,120.206254,30.283954
茂名市第十五中北校区,省重点,公办,中学,广东省茂名市光华南路文光一街17号大院,0668-2830729,广东省,茂名市,茂南区,,110.92975,21.652332
珠海市斗门区莲洲镇莲溪初级中学,省重点,公办,中学,珠海市斗门区莲洲镇莲溪江安路369号,0756-5510681,广东省,珠海市,斗门区,,113.198011,22.224626
上海协和双语学校（虹桥校区）,市重点,民办,中学,上海市闵行区虹泉路999号,021-51753010  51753011,上海市,上海市,闵行区,,121.375594,31.169048
佛山市高明区第一中学（高明一中）,省重点,公办,中学,广东省佛山市高明区荷城街道星河路68号,0757－88630805,广东省,佛山市,高明区,,112.889506,22.890554
烟台第二中学高中部（烟台二中高中部）,省重点,公办,中学,山东省烟台市芝罘区焕新路1号,0535-6696228,山东省,烟台市,芝罘区,,121.509241,37.420404
怀化市铁路第一中学（怀铁一中 ）,省重点,公办,中学,怀化市鹤城区城北铁北区和平巷10号,0745-2183239,湖南省,怀化市,,,109.970446,27.563068
杭州市长河高级中学（长河高中）,省重点,公办,中学,杭州市滨江区滨文路227号（时代高架滨文路出口）,0571-86604790 86600132 86604791,浙江省,杭州市,滨江区,,120.186224,30.171316
泰安市第二中学（泰安二中）,省重点,公办,中学,山东省泰安市泰山区虎山东路6号,0538-6235328,山东省,泰安市,泰山区,,117.142705,36.200591
辽宁省康平县高级中学,市重点,公办,中学,辽宁省康平县康平镇向阳街,024-87344109,辽宁省,沈阳市,康平县,,123.336592,42.725296
上海市建平中学西校,市重点,公办,中学,上海市浦东区东方路420号,021-58310316,上海市,上海市,浦东新区,,121.533991,31.234961
青岛十七中,省重点,公办,中学,山东省青岛市四方区杭州路80号,0532-86680017,山东省,青岛市,四方区,,120.362369,36.119934
成都市七中育才学校新校区,市重点,公办,中学,成都市锦江区牛市口汇泉南路336号,028-84442047  84442764,四川省,成都市,锦江区,,104.107264,30.631701
宁波万里国际学校（高中）,省重点,民办,中学,浙江省宁波市国家高新区腊梅路151号,0574-87916100   87900521,浙江省,宁波市,,,121.615843,29.896134
昆明市第十中学（高中）,省重点,公办,中学,云南省昆明市 白塔路247号,（0871）3067002,云南省,昆明市,盘龙区,,102.725883,25.039819
湛江师范学院附属中学,省重点,公办,中学,赤坎区寸金路27号,0759-3183649,广东省,湛江市,,http://www.zsfz.org,110.352169,21.274518
杭州市外国语学校,省重点,公办,中学,浙江省杭州市小和山高教园299号,0571-85289110,浙江省,杭州市,西湖区,,120.034464,30.219611
烟台市第十中学,市重点,公办,中学,山东省烟台市芝罘区南山路22号,0535-82211139,山东省,烟台市,芝罘区,,121.40847,37.534147
海南省农垦中学,省重点,公办,中学,海南省海口市垦中路18号,0898-86838015,海南省,三亚市,,,109.530898,18.316083
南京市第十二中学（高中）,省重点,公办,中学,南京市下关区中山北路408号,025-58805530  025-58802688,江苏省,南京市,下关区,,118.744541,32.087703
青岛市第26中学,省重点,公办,中学,山东省青岛市市南区京山路18号,0532-83832324,山东省,青岛市,市南区,,120.344946,36.067818
佛山市顺德区杏坛中学,省重点,公办,中学,广东省佛山市顺德区杏坛镇,0757-27781188,广东省,佛山市,顺德区,,113.156895,22.787246
青岛第十九中学,市重点,公办,中学,青岛市市北区台东一路118号,0532-83650513 83618798,山东省,青岛市,市北区,,120.35958,36.079289
惠州市第八中学,省重点,公办,中学,广东省惠州市惠城区龙丰路2号,0752-2260964,广东省,惠州市,惠城区,,114.389986,23.077365
深圳市松岗中学（文存贵纪念中学）,市重点,公办,中学,广东省深圳市宝安区松岗街道东方大道,0755-27081674,广东省,深圳市,宝安区,,113.867138,22.759363
上海市杨浦实验学校（初中）,市重点,民办,中学,上海市杨浦区开鲁路40号,021-65065691,上海市,上海市,杨浦区,,121.540968,31.325237
深圳市宝安中学初中部,省重点,公办,中学,深圳市宝安区20区洪浪南路/第二初中部：深圳市宝安区前进一路50号,0755-27758036,广东省,深圳市,宝安区,,113.919399,22.569628
杭州市风帆中学,市重点,公办,中学,浙江省杭州市下城区朝晖六区光明巷三塘小区绿柳巷55号,0571-85331039,浙江省,杭州市,下城区,http://www.hzffzx.com,120.166696,30.309994
靖江高级中学,省重点,公办,中学,泰州市靖江市通江路与渡江路交汇处,,江苏省,泰州市,靖江市,,120.265833,31.99509
潮州市华侨中学,省重点,公办,中学,广东省潮州市潮枫路66号,0768 220 2844,广东省,潮州市,湘桥区,,116.681184,23.450952
中南大学附属实验中学（中南大学附属中学）,市重点,公办,中学,湖南长沙岳麓区麓山南路,0731-888079359,湖南省,长沙市,岳麓区,,112.928546,28.168193
杭州市第二中学东河校区,省重点,公办,中学,杭州市建国中路36号,0571-87072869,浙江省,杭州市,上城区,,120.181422,30.249268
景德镇第一中学（景德镇一中）,省重点,公办,中学,江西省景德镇市天翼路66号,（0798）8441380,江西省,景德镇市,,,117.249155,29.298266
上海市延安中学（初中部）,市重点,公办,中学,上海市长宁区茅台路1111号,021-62901188,上海市,上海市,长宁区,,121.380583,31.20971
上海南洋模范初级中学,区重点,公办,中学,上海市徐汇区淮海中路1788号,021-64734696,上海市,上海市,徐汇区,http://www.nanmo.cn,121.436969,31.200923
琼州学院附属中学（原海二中）,省重点,公办,中学,海南省五指山市海榆南路,0898-86622268     0898-86622868       邮编：572200联系地,海南省,三亚市,,,109.532262,18.31515
深圳市新安中学高中部,省重点,公办,中学,广东省深圳市宝安区兴华路,0755-27783485,广东省,深圳市,宝安区,,113.902609,22.563576
淄博市第六中学,省重点,公办,中学,山东省淄博市周村区育才路2号,0533-6412495,山东省,淄博市,周村区,,117.826294,36.79911
北京市陈经纶中学分校,区重点,公办,中学,北京市朝阳区望京南湖东园223号 北京市朝阳区望京利泽西街4号院,010-64703835,北京市,北京市,朝阳区,,116.465965,40.007482
上海市西南模范中学（初中）,区重点,民办,中学,上海市徐汇区百色路汇成一村67号/临江路28号（分校）,021-64232457,上海市,上海市,徐汇区,,121.45476,31.307805
上海市建平实验中学,市重点,公办,中学,上海市浦东区枣庄路111号,021-58505098,上海市,上海市,浦东新区,,121.57158,31.259666
中卫市第三中学,省重点,公办,中学,宁夏回族自治区中卫市中宁县沙坡头区,,宁夏,中卫市,沙坡头区,,105.194946,37.513553
长春市二十九中学,省重点,公办,中学,长春市德惠市,0431-8848818,吉林省,长春市,德惠市,,125.385874,43.886316
哈尔滨德强学校初中部,市重点,民办,中学,哈尔滨香坊区公滨路58-3号,0451-55160688,黑龙江,哈尔滨市,香坊区,,126.74157,45.724742
北京牛栏山一中实验学校,区重点,民办,中学,北京市顺义区新城顺安路99号,010-81480901,北京市,北京市,顺义区,,116.654825,40.153519
厦门市湖滨中学,省重点,公办,中学,福建省厦门市思明区湖滨三里1号,0592-5056640,福建省,厦门市,思明区,,118.106136,24.474327
大同市第一中学（大同一中）,省重点,公办,中学,山西省大同市向阳东街1号,0352-5196128,山西省,大同市,,,113.313451,40.067699
广州市铁一中学（越秀区）,省重点,公办,中学,广东省广州市越秀区东兴南路文化里13号,020－61330691 020－61330979,广东省,广州市,越秀区,,113.310747,23.123995
