学校名称,省份,城市,区县,办学类型,办学性质,官方地址,官方网址,官方电话,电子邮箱,创建时间,占地面积(亩),隶属于,学校地址,学历证书,国家级示范学校,国家级重点学校,省级示范学校,省级重点学校,市级重点学校,省级高水平中等职业学校,市级示范学校,开设专业
新蔡县中等职业技术学校,河南,驻马店市,新蔡县,中等专业学校,民办,河南驻马店市新蔡县,http://www.xczzxx.com,0396-3727255,--,,,--,--,--,,,,,,,,{}
河南省民族中等专业学校,河南,郑州市,金水区,中等专业学校,公办,河南郑州市金水区,http://www.henanminzhuan.cn,0371-65655288,--,1983,60,河南省民族事务委员会,郑州市北三环路东段10号,--,,,,,,,,"{'安全类': ['应急救援技术'], '土建施工类': ['建筑工程施工'], '自动化类': ['机电技术应用'], '道路运输类': ['汽车运用与维修', '新能源汽车运用与维修'], '航空运输类': ['航空服务'], '电子信息类': ['物联网技术应用'], '计算机类': ['计算机应用', '计算机平面设计'], '金融类': ['金融事务'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务', '跨境电子商务', '直播电商服务']}"
河南省幼儿师范学校,河南,郑州市,金水区,中等专业学校,公办,河南郑州市金水区,http://www.hnnxw.com/,0371-63838881,fgx1949@163.com,,,--,--,--,,,是,是,,,,{}
河南省工业学校,河南,郑州市,金水区,中等专业学校,公办,河南郑州市金水区,http://www.hngyxx.cn,0371-63219000,hngyxx@126.com,1949,120,河南省教育厅,郑州市文化路78号,--,,是,是,,,,,"{'黑色金属材料类': ['钢铁冶炼技术'], '有色金属材料类': ['有色金属冶炼技术', '金属压力加工'], '建筑设计类': ['建筑装饰技术'], '土建施工类': ['建筑工程施工'], '建设工程管理类': ['建筑工程造价'], '机械设计制造类': ['数控技术应用', '增材制造技术应用'], '机电设备类': ['电梯安装与维修保养'], '自动化类': ['机电技术应用', '电气设备运行与控制', '工业机器人技术应用'], '道路运输类': ['新能源汽车运用与维修', '汽车运用与维修'], '航空运输类': ['航空服务', '民航运输服务']}"
河南省驻马店财经学校,河南,驻马店市,驿城区,中等专业学校,公办,河南驻马店市驿城区,http://www.zmdcjxx.cn/,0396-2814081,hnzmdcjxx4081@126.com,,,--,--,--,,是,是,,,,,{}
南阳建筑工程学校,河南,南阳市,卧龙区,中等专业学校,,河南南阳市卧龙区,http://www.nyjzxx.cn,0377-63560757,nyjxbgs@126.com,1985,90,中国建筑总公司和河南省教育厅,河南省南阳市高新区麒麟路27号,--,,,,,,,,"{'土建施工类': ['建筑工程施工'], '建设工程管理类': ['建筑工程造价'], '市政工程类': ['市政工程施工'], '道路运输类': ['道路与桥梁工程施工']}"
河南省经济管理学校,河南,南阳市,卧龙区,中等专业学校,公办,河南南阳市卧龙区,http://www.hnjgxy.com.cn/Cms/PortalSite/Index,0377-83995951,--,1957,439,河南省粮食和物资储备局,南阳市卧龙区信臣中路658巷66号,--,,是,是,,,,,"{'机械设计制造类': ['数控技术应用'], '自动化类': ['机电技术应用', '电气设备运行与控制'], '纺织服装类': ['服装设计与工艺'], '道路运输类': ['新能源汽车运用与维修', '汽车运用与维修'], '航空运输类': ['航空服务'], '电子信息类': ['物联网技术应用', '电子技术应用'], '计算机类': ['计算机应用', '计算机网络技术', '计算机平面设计'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '物流类': ['物流服务与管理']}"
河南省工业科技学校,河南,新乡市,红旗区,中等专业学校,公办,河南新乡市红旗区,http://www.hngykjxx.com/index.html,0373-5024209,xgmbgs@sina.com,,,--,--,--,是,是,,,,,,{}
河南省外贸学校,河南,郑州市,金水区,中等专业学校,公办,河南郑州市金水区,http://www.hnfts.cn,0371-55910717,--,,,--,--,--,,是,,,,,,{}
河南省民政学校,河南,郑州市,金水区,中等专业学校,公办,河南郑州市金水区,http://www.hnmzxx.com,0371-63365986,--,,,--,--,--,,是,,,,,,{}
河南省商务中等职业学校,河南,郑州市,金水区,中等专业学校,公办,河南郑州市金水区,http://www.hnswxx.com/index.html,0371-63790590,--,1949,165,--,金水区博颂路6号,--,,是,,是,,,,"{'机械设计制造类': ['数控技术应用'], '自动化类': ['机电技术应用'], '道路运输类': ['汽车运用与维修', '新能源汽车运用与维修', '汽车服务与营销'], '航空运输类': ['航空服务'], '城市轨道交通类': ['城市轨道交通运营服务'], '电子信息类': ['服务机器人装配与维护', '物联网技术应用'], '计算机类': ['计算机应用', '计算机网络技术', '网络信息安全', '数字媒体技术应用', '大数据技术应用', '计算机平面设计'], '金融类': ['金融事务'], '财务会计类': ['会计事务'], '工商管理类': ['市场营销', '客户信息服务']}"
河南省理工中等专业学校,河南,郑州市,金水区,中等专业学校,公办,河南郑州市金水区,http://www.hnlg.com.cn,0371-67264667,--,,,--,--,--,,是,,,,,,"{'土建施工类': ['建筑工程施工'], '建设工程管理类': ['建筑工程造价'], '机械设计制造类': ['数控技术应用'], '纺织服装类': ['服装设计与工艺'], '道路运输类': ['汽车运用与维修', '汽车美容与装潢', '新能源汽车运用与维修'], '航空运输类': ['航空服务'], '城市轨道交通类': ['城市轨道交通运营服务'], '计算机类': ['计算机网络技术', '计算机平面设计', '软件与信息服务', '大数据技术应用'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务', '跨境电子商务']}"
河南省水利水电学校,河南,周口市,川汇区,中等专业学校,公办,河南周口市川汇区,http://www.hnsdx.com.cn/,0394-6076666,--,,,--,--,--,,是,,,,,,{}
河南省工商行政管理学校,河南,开封市,龙亭区,中等专业学校,公办,河南开封市龙亭区,http://www.hngsgl.com.cn/,0371-22557557,--,,,--,--,--,,是,,,,,,{}
河南省医药卫生学校,河南,平顶山市,卫东区,中等专业学校,公办,河南平顶山市卫东区,http://www.hnsyywsxx.cn/,0375-2742575,--,,,--,--,--,,是,是,,,,,{}
河南省三门峡黄金工业学校,河南,三门峡市,湖滨区,中等专业学校,公办,河南三门峡市湖滨区,http://www.hjgyxx.cn,0398-2596162,hjxxzs@163.com,1979,50,--,河南省三门峡市上阳路南段,--,,,,,,,,"{'测绘地理信息类': ['地质与测量'], '煤炭类': ['矿井通风与安全'], '金属与非金属矿类': ['选矿技术'], '环境保护类': ['环境治理技术'], '安全类': ['安全技术与管理', '防灾减灾技术'], '有色金属材料类': ['有色金属冶炼技术'], '土建施工类': ['建筑工程施工'], '机电设备类': ['智能设备运行与维护'], '自动化类': ['工业机器人技术应用', '机电技术应用'], '汽车制造类': ['新能源汽车制造与检测']}"
河南省新闻出版学校,河南,郑州市,惠济区,中等专业学校,公办,河南郑州市惠济区,http://www.hncbxx.com,0371-63587917,--,1987,--,河南省广播电视局,郑州市惠济区清华园路28号,--,,,,是,,,,"{'机械设计制造类': ['模具制造技术'], '机电设备类': ['智能设备运行与维护'], '自动化类': ['工业机器人技术应用'], '汽车制造类': ['新能源汽车制造与检测'], '印刷类': ['印刷媒体技术'], '航空运输类': ['航空服务', '飞机设备维修'], '城市轨道交通类': ['城市轨道交通运营服务'], '计算机类': ['数字媒体技术应用', '网站建设与管理', '计算机平面设计', '计算机应用', '软件与信息服务'], '财务会计类': ['会计事务'], '工商管理类': ['市场营销']}"
河南辅读中等职业学校,河南,郑州市,管城回族区,中等专业学校,公办,河南郑州市管城回族区,http://www.fudu.cn/,0371-60196703,--,1986,516,--,河南省郑州市管城区金岱路186号,--,,是,,,,,,"{'农业类': ['家庭农场生产经营'], '道路运输类': ['汽车运用与维修'], '航空运输类': ['航空服务'], '城市轨道交通类': ['城市轨道交通运营服务'], '计算机类': ['计算机平面设计', '计算机网络技术'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '艺术设计类': ['数字影像技术'], '': ['', '', '', '', '', '', '', '']}"
武汉市交通科技学校,湖北,武汉市,汉阳区,中等专业学校,公办,湖北武汉市汉阳区,--,027-84872101,--,1988,--,武汉市交通运输局,武汉市汉阳区王家湾特1号,--,,,,,,,,"{'道路运输类': ['汽车运用与维修'], '航空运输类': ['航空服务'], '城市轨道交通类': ['城市轨道交通运营服务'], '计算机类': ['计算机应用']}"
武汉市第二轻工业学校,湖北,武汉市,青山区,中等专业学校,公办,湖北武汉市青山区,--,027-86334720,--,,,--,--,--,是,是,,,,,,{}
湖北省旅游学校,湖北,武汉市,武昌区,中等专业学校,公办,湖北武汉市武昌区,https://wlt.hubei.gov.cn/hblx/,027-87189040,--,,,--,--,--,,,,,,,,{}
湖北省邮电学校,湖北,武汉市,洪山区,中等专业学校,公办,湖北武汉市洪山区,http://www.hbpts.com.cn/,027-87444078,--,,,--,--,--,,,,,,,,{}
武汉市财政学校,湖北,武汉市,汉阳区,中等专业学校,,湖北武汉市汉阳区,https://whsczxx.com/index,027-84871748,--,,,--,--,--,是,是,,,,,,{}
武汉市东西湖职业技术学校,湖北,武汉市,东西湖区,中等专业学校,公办,湖北武汉市东西湖区,https://www.whdxhzx.com/,027-83892246,whdxhzx@126.com,,,--,--,--,是,是,,,,,,{}
武汉市第一商业学校,湖北,武汉市,江岸区,中等专业学校,公办,湖北武汉市江岸区,http://whysx.com/,027-85792891,--,1963,--,--,武汉市江岸区江汉北路106,--,是,是,,,,,,"{'计算机类': ['计算机网络技术(网络与信息安全)'], '财务会计类': ['会计事务'], '工商管理类': ['市场营销(奢侈品营销)', '市场营销(品牌营销)', '市场营销(连锁营销)'], '电子商务类': ['电子商务(网络营销)', '电子商务(网页设计)', '电子商务(网络管理方向)'], '旅游类': ['高星级饭店运营与管理'], '餐饮类': ['中西面点', '西餐烹饪'], '艺术设计类': ['美容美体艺术', '美容美体艺术(美发与形象设计)', '艺术设计与制作']}"
武汉市建设学校,湖北,武汉市,汉阳区,中等专业学校,,湖北武汉市汉阳区,http://www.whjsxx.com/,027-84873151,--,1979,86,武汉市房地局,汉阳区二桥东村66号,--,,是,是,,,,,"{'建筑设计类': ['建筑装饰技术'], '土建施工类': ['建筑工程施工'], '建设工程管理类': ['建筑工程造价'], '市政工程类': ['市政工程施工'], '道路运输类': ['道路与桥梁工程施工']}"
湖北信息工程学校,湖北,荆门市,掇刀区,中等专业学校,,湖北荆门市掇刀区,http://www.hiec.cn/,0724-6075289,--,,,--,--,--,,是,,,,,,"{'机电设备类': ['制冷和空调设备运行与维护'], '道路运输类': ['汽车运用与维修'], '电子信息类': ['电子技术应用'], '计算机类': ['计算机应用'], '通信类': ['现代通信技术应用'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理'], '餐饮类': ['中餐烹饪'], '广播影视类': ['动漫与游戏制作']}"
宜昌市机电工程学校,湖北,宜昌市,夷陵区,中等专业学校,公办,湖北宜昌市夷陵区,http://www.hbycjd.com/index1,0717-7104002,--,,,--,--,--,,,,,,,,{}
武汉市仪表电子学校,湖北,武汉市,江夏区,中等专业学校,公办,湖北武汉市江夏区,http://www.ydxx.org.cn/,027-52237988,--,1979,300,--,武汉市江夏区流芳园路1号,--,是,是,,,,,,"{'机械设计制造类': ['数控技术应用', '增材制造技术应用'], '机电设备类': ['光电仪器制造与维修'], '自动化类': ['机电技术应用', '工业机器人技术应用'], '航空装备类': ['无人机操控与维护'], '道路运输类': ['汽车运用与维修', '新能源汽车运用与维修'], '电子信息类': ['电子信息技术', '物联网技术应用'], '计算机类': ['移动应用技术与服务', '计算机应用'], '电子商务类': ['移动商务', '电子商务'], '艺术设计类': ['美发与形象设计']}"
武汉市供销商业学校,湖北,武汉市,洪山区,中等专业学校,公办,湖北武汉市洪山区,https://www.whgxsx.com/about.php?cid=29,027-87389752,--,,,--,--,--,,是,是,,,,,{}
湖北省机械工业学校,湖北,黄石市,下陆区,中等专业学校,公办,湖北黄石市下陆区,--,--,--,,,--,--,--,是,,,,,,,{}
黄梅兴华中等专业学校,湖北,黄冈市,黄梅县,中等专业学校,民办,湖北黄冈市黄梅县,http://www.hmxhzz.cn/,0713-3407666,--,1994,150,黄冈市教育局,湖北省黄冈市黄梅县小池滨江新区工业大道789号,--,,,,是,,,,{'电子商务类': ['网络营销']}
武汉市黄陂区职业技术学校,湖北,武汉市,黄陂区,中等专业学校,,湖北武汉市黄陂区,http://hpzx.wuhaneduyun.cn/,027-85906395,--,,,--,--,--,是,是,,,,,,{}
武汉市第二卫生学校,湖北,武汉市,新洲区,中等专业学校,,湖北武汉市新洲区,https://www.whswx.com/,027-86922813,--,1979,40,--,武汉市新洲区齐安大道384号,--,,,,是,是,,,"{'护理类': ['护理'], '药学类': ['药剂'], '康复治疗类': ['康复技术'], '健康管理与促进类': ['营养与保健']}"
武汉市卫生学校,湖北,武汉市,江岸区,中等专业学校,公办,湖北武汉市江岸区,http://www.whwsxs.com/,--,--,--,--,--,武汉市江岸区丹水池汉堤路菜园街1号,--,,,,,,,,{}
阳新县职业教育中心,湖北,黄石市,阳新县,中等专业学校,公办,湖北黄石市阳新县,http://www.hbyxdd.com/,0714-7351451,hbyxdd@126.com,,,--,--,--,,,是,,,,,"{'林业类': ['园林技术'], '机械设计制造类': ['模具制造技术', '机械加工技术'], '航空装备类': ['无人机操控与维护'], '电子信息类': ['电子技术应用'], '计算机类': ['计算机应用', '计算机平面设计'], '护理类': ['护理'], '财务会计类': ['会计事务'], '旅游类': ['高星级饭店运营与管理'], '文化服务类': ['社会文化艺术']}"
十堰市医药卫生学校,湖北,十堰市,郧阳区,中等专业学校,公办,湖北十堰市郧阳区,http://syyywx.com/,0719-7229053,--,,,--,--,--,,是,是,,,,,{}
武汉市江夏职业技术学校,湖北,武汉市,江夏区,中等专业学校,,湖北武汉市江夏区,--,027-81820735,--,--,183,--,武汉市江夏区武昌大道838,--,,是,,,,,,{}
武汉机电工程学校,湖北,武汉市,江岸区,中等专业学校,,湖北武汉市江岸区,https://www.whjdgcxx.cn/,027-82943603,--,,,--,--,--,,,,,,,,{}
武汉市燃气热力学校,湖北,武汉市,武昌区,中等专业学校,,湖北武汉市武昌区,https://www.rqrlxx.com/,027-86722539,--,,,--,--,--,,,,,,,,{}
安陆市中等职业技术学校,湖北,孝感市,安陆市,中等专业学校,公办,湖北孝感市安陆市,--,0712-5260982,--,,,--,--,--,,是,,,,,,{}
武汉助产学校,湖北,武汉市,洪山区,中等专业学校,,湖北武汉市洪山区,--,027-86654119,--,1985,--,--,武汉市洪山区仁和路120号（武钢体育馆正对面）,--,,,,,,,,{'护理类': ['护理']}
咸宁卫生学校,湖北,咸宁市,咸安区,中等专业学校,公办,湖北咸宁市咸安区,http://www.hbxnwx.com/,--,--,,,--,--,--,,,,,,,,{}
武汉航道学校,湖北,武汉市,江岸区,中等专业学校,,湖北武汉市江岸区,--,--,--,,,--,--,--,,,,,,,,{}
孝感市工业学校,湖北,孝感市,,中等专业学校,公办,湖北孝感市,http://www.xggx.com.cn,0712-2880524,--,1975,--,--,湖北省孝感市城站路235号,--,是,,,,,,,"{'机械设计制造类': ['机械加工技术'], '机电设备类': ['电梯安装与维修保养'], '轻化工类': ['现代造纸工艺'], '道路运输类': ['汽车运用与维修'], '电子信息类': ['电子技术应用'], '计算机类': ['计算机应用'], '旅游类': ['高星级饭店运营与管理'], '教育类': ['幼儿保育']}"
湖北省浠水理工中等专业学校,湖北,黄冈市,浠水县,中等专业学校,,湖北黄冈市浠水县,--,0713-4232741,--,,,--,--,--,,,,,,,,{}
湖北省十堰市计算机技术学校,湖北,十堰市,茅箭区,中等专业学校,,湖北十堰市茅箭区,--,--,--,,,--,--,--,,,,,,,,{}
武汉凡谷电子职业技术学校,湖北,武汉市,江夏区,中等专业学校,,湖北武汉市江夏区,--,027-81380499,--,,,--,--,--,,,,,,,,"{'机械设计制造类': ['数控技术应用', '模具制造技术', '机械加工技术'], '道路运输类': ['汽车运用与维修'], '电子信息类': ['电子技术应用'], '计算机类': ['计算机应用'], '旅游类': ['旅游服务与管理'], '公共事业类': ['社区公共事务管理']}"
来凤县中等职业技术学校,湖北,恩施土家族苗族自治州,来凤县,中等专业学校,公办,湖北恩施土家族苗族自治州来凤县,--,0718-6282476,--,1987,81,--,湖北省来凤县龙凤科教示范园（教育七路）,--,,,,,,,,"{'农业类': ['作物生产技术'], '道路运输类': ['汽车运用与维修'], '旅游类': ['旅游服务与管理'], '教育类': ['幼儿保育']}"
湖北十堰职业技术集团学校,湖北,十堰市,茅箭区,中等专业学校,,湖北十堰市茅箭区,http://www.syzjjt.com/,0719-8789110,--,,,--,--,--,,,,,,,,{}
武汉市旅游学校,湖北,武汉市,江汉区,职业高中,,湖北武汉市江汉区,--,027-85883991,--,,,--,--,--,,是,是,,,,,{}
武汉建筑工程学校,湖北,武汉市,江夏区,中等专业学校,,湖北武汉市江夏区,--,--,--,,,--,--,--,,,,,,,,{}
蕲春李时珍中等专业学校,湖北,黄冈市,蕲春县,中等专业学校,,湖北黄冈市蕲春县,http://www.qclszzx.com/,0713-7237999,--,,,--,--,--,,,,,,,,{}
孝感生物工程学校,湖北,孝感市,孝南区,中等专业学校,,湖北孝感市孝南区,http://www.xgzhgz.com/index.php,0712-2462735,--,--,--,--,湖北省孝感市槐荫大道100号,--,,,,,,,,{}
监利县职业技术教育中心,湖北,荆州市,监利县,中等专业学校,,湖北荆州市监利县,https://jianlizhijiao.com/,--,--,--,--,--,湖北省监利市监利大道（监利毛市随岳高速连接线旁）,--,,,,,,,,{}
汉川市中等职业技术学校,湖北,孝感市,汉川市,中等专业学校,公办,湖北孝感市汉川市,http://www.hcszz.com,0712-8382117,--,,,--,--,--,,,,是,,,,"{'机械设计制造类': ['数控技术应用'], '自动化类': ['机电技术应用'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用'], '护理类': ['护理'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理'], '表演艺术类': ['音乐表演'], '教育类': ['幼儿保育']}"
麻城理工中等专业学校,湖北,黄冈市,麻城市,中等专业学校,公办,湖北黄冈市麻城市,--,--,--,,,--,--,--,,,,,,,,{}
咸宁财税会计学校,湖北,咸宁市,咸安区,中等专业学校,公办,湖北咸宁市咸安区,https://zzb.xnec.cn/,0715-8256543,--,,,--,--,--,,是,,,,,,{}
黄梅理工中等专业学校,湖北,黄冈市,黄州区,中等专业学校,公办,湖北黄冈市黄州区,--,--,--,2000,292,黄梅县教育局,湖北省黄冈市黄州区建新一路特1号,--,,是,,,,,,{}
武汉市交通学校,湖北,武汉市,江夏区,中等专业学校,公办,湖北武汉市江夏区,http://www.whjtxx.com/,027-87802003,--,,,--,--,--,是,是,,,,,,{}
武汉应用科技学校,湖北,武汉市,江夏区,职业高中,,湖北武汉市江夏区,http://www.whyky.com/,027-87801636,--,,,--,--,--,,,,,是,,,{}
湖北省崇阳职业技术学校,湖北,咸宁市,崇阳县,中等专业学校,公办,湖北咸宁市崇阳县,http://www.hbcyzx.com.cn/,0715-8888888,--,2007,275,--,湖北省咸宁市崇阳县天城镇隽北大道235号,--,是,,,,,,,{}
湖北省麻城师范学校,湖北,黄冈市,麻城市,中等专业学校,,湖北黄冈市麻城市,--,--,--,,,--,--,--,,,,,,,,{}
秭归县职业教育中心,湖北,宜昌市,秭归县,中等专业学校,公办,湖北宜昌市秭归县,--,0717-2880656,--,--,--,秭归县教育局,宜昌市秭归县茅坪镇兰惠路1号,--,,,,,,,,{}
湖北现代科技学校,湖北,武汉市,武昌区,中等专业学校,,湖北武汉市武昌区,--,027-88072355,--,2007,--,--,"湖北省武汉市武昌区徐家棚
街学院路9号",--,,,,,,,,"{'护理类': ['护理'], '财务会计类': ['会计事务'], '工商管理类': ['市场营销'], '公共服务类': ['老年人服务与管理'], '文秘类': ['文秘']}"
湖北现代教育集团,湖北,随州市,曾都区,中等专业学校,,湖北随州市曾都区,--,--,--,,,--,--,--,,,,,,,,{}
湖北省自动化工程学校,湖北,襄阳市,襄城区,中等专业学校,公办,湖北襄阳市襄城区,--,--,--,,,--,--,--,,是,,,,,,{}
南漳县职业教育中心,湖北,襄阳市,南漳县,中等专业学校,公办,湖北襄阳市南漳县,http://www.hbnzzj.com/,0710-5255765,hbnzzj@sina.com,,,--,--,--,,,,,,,,{}
湖北省恩施市中等职业技术学校,湖北,恩施土家族苗族自治州,恩施市,中等专业学校,公办,湖北恩施土家族苗族自治州恩施市,--,--,--,--,--,--,恩施土家族苗族自治州恩施市五峰山路32号,--,,,,,,,,{}
湖北省工业经济学校,湖北,武汉市,黄陂区,中等专业学校,,湖北武汉市黄陂区,--,--,--,,,--,--,--,,,,,,,,{}
湖北宝业建工学校,湖北,武汉市,洪山区,中等专业学校,公办,湖北武汉市洪山区,--,--,--,,,--,--,--,,,,,,,,{}
武穴财贸中等专业学校,湖北,黄冈市,武穴市,中等专业学校,,湖北黄冈市武穴市,--,--,--,,,--,--,--,,,,,,,,{}
湖北省工业建筑学校,湖北,襄阳市,襄城区,中等专业学校,公办,湖北襄阳市襄城区,http://www.hbgjx.com.cn/,0710-3513874,--,,,--,--,--,,,,,,,,{}
宜都市职教中心,湖北,宜昌市,宜都市,中等专业学校,,湖北宜昌市宜都市,http://www.ydvtc.com,0717-4843118,--,,,--,--,--,是,是,,,,,,"{'自动化类': ['机电技术应用'], '化工技术类': ['化工仪表及自动化'], '电子信息类': ['电子技术应用'], '计算机类': ['计算机应用'], '旅游类': ['高星级饭店运营与管理', '旅游服务与管理']}"
蕲春理工中等专业学校,湖北,黄冈市,蕲春县,中等专业学校,,湖北黄冈市蕲春县,--,--,--,--,--,--,--,--,,,,,,,,{}
孝感红人中等职业学校,湖北,孝感市,,中等专业学校,民办,湖北孝感市,http://www.xghongren.com,0712-2858966,--,,,--,--,--,,,,,,,,"{'计算机类': ['计算机应用'], '健康管理与促进类': ['婴幼儿托育'], '工商管理类': ['客户信息服务'], '教育类': ['幼儿保育'], '语言类': ['商务韩语']}"
罗田理工中等专业学校,湖北,黄冈市,罗田县,中等专业学校,公办,湖北黄冈市罗田县,http://www.hbltlg.com/,0713-5072728,--,,,--,--,--,,是,,,,,,"{'农业类': ['休闲农业生产与经营'], '土建施工类': ['建筑工程施工'], '机械设计制造类': ['机械加工技术', '数控技术应用'], '自动化类': ['机电技术应用'], '电子信息类': ['电子技术应用'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '旅游类': ['旅游服务与管理'], '教育类': ['幼儿保育'], '公共服务类': ['老年人服务与管理']}"
湖北机械工业学校,湖北,黄石市,下陆区,中等专业学校,公办,湖北黄石市下陆区,--,--,--,,,--,--,--,,,,,,,,{}
郧西县职业技术学校,湖北,十堰市,郧西县,中等专业学校,公办,湖北十堰市郧西县,http://www.yxzjedu.cn/,0719-6227451,--,,,--,--,--,,,是,,,,,{}
荆州市创业职业中等专业学校,湖北,荆州市,沙市,中等专业学校,民办,湖北荆州市沙市区,http://www.hbchuangye.com,0716-8337998,webadmin@hbchuangye.com,,,--,--,--,是,是,,,,,,{}
鄂州市经贸学校,湖北,鄂州市,华容区,中等专业学校,,湖北鄂州市华容区,http://www.ezsjmxx.com/,027-60698891,ezsjmxx@163.com,,,--,--,--,,,,,,,,{}
湖北蒲圻师范学校,湖北,咸宁市,赤壁市,中等专业学校,,湖北咸宁市赤壁市,http://www.pgps.cn/Default.aspx,0715-5250988,--,,,--,--,--,,,,,,,,{}
赤壁市机电信息技术学校,湖北,咸宁市,赤壁市,中等专业学校,民办,湖北咸宁市赤壁市,http://www.hbcbjdxx.com/,0715-5261949,--,,,--,--,--,,是,是,,,,,{}
鄂州高新技术学校,湖北,鄂州市,鄂城区,中等专业学校,,湖北鄂州市鄂城区,--,--,--,,,--,--,--,,,,,,,,{}
黄冈电子信息学校,湖北,黄冈市,黄州区,中等专业学校,,湖北黄冈市黄州区,--,--,--,--,--,--,沿江大道23号,--,,,,,,,,{}
江陵县职业技术教育中心学校,湖北,荆州市,江陵县,中等专业学校,,湖北荆州市江陵县,--,--,--,--,--,--,--,--,,,,,,,,{}
通山县职业教育中心,湖北,咸宁市,通山县,中等专业学校,公办,湖北咸宁市通山县,--,0715-2885666,--,,,--,--,--,,,,是,,,,{}
兴山县职业教育中心,湖北,宜昌市,兴山县,中等专业学校,,湖北宜昌市兴山县,--,--,--,,,--,--,--,,,,,,,,{}
武汉信息工程职业学校,湖北,武汉市,江夏区,中等专业学校,,湖北武汉市江夏区,--,--,--,,,--,--,--,,,,,,,,{}
英山县理工中等专业学校,湖北,黄冈市,英山县,中等专业学校,公办,湖北黄冈市英山县,http://www.yslgzz.com/,0713-7810018,--,,,--,--,--,,,,,,,,{}
湖北城市职业学校,湖北,黄石市,,中等专业学校,公办,湖北黄石市,http://hbcszx.com.cn/,0714-6379887,--,2003,495,--,湖北省黄石市发展大道155号,--,是,,,,,,,"{'土建施工类': ['建筑工程施工'], '机械设计制造类': ['模具制造技术', '数控技术应用'], '自动化类': ['机电技术应用'], '纺织服装类': ['服装设计与工艺'], '道路运输类': ['汽车运用与维修'], '电子信息类': ['电子技术应用'], '计算机类': ['计算机应用', '计算机平面设计'], '护理类': ['护理'], '药学类': ['药剂'], '康复治疗类': ['康复技术']}"
大悟县中等职业学校,湖北,孝感市,大悟县,中等专业学校,,湖北孝感市大悟县,--,--,--,,,--,--,--,,,,,,,,{}
随州机电工程学校,湖北,随州市,曾都区,中等专业学校,公办,湖北随州市曾都区,http://www.szjd.net.cn/,0722-3280428,178199323@qq.com,1961,230,--,双石巷特1号,--,,,,,,,,{}
枣阳市应用技术学校,湖北,襄阳市,枣阳市,中等专业学校,,湖北襄阳市枣阳市,--,--,--,,,--,--,--,,,,,,,,{}
沙洋县职教中心,湖北,荆门市,沙洋县,中等专业学校,,湖北荆门市沙洋县,--,0724-8599048,--,--,--,--,湖北省荆门市沙洋县汉津大道21号,--,,,,,,,,{}
麻城市工业学校,湖北,黄冈市,麻城市,中等专业学校,公办,湖北黄冈市麻城市,--,--,--,,,--,--,--,,,,,,,,{}
黄冈华晟中等专业学校,湖北,黄冈市,黄州区,中等专业学校,,湖北黄冈市黄州区,--,--,--,,,--,--,--,,,,,,,,{}
鄂州市莲花山学校,湖北,鄂州市,鄂城区,中等专业学校,,湖北鄂州市鄂城区,http://www.hblhsxx.com/,0711-3869995,--,,,--,--,--,,,,,,,,{}
南漳县实创职业技术学校,湖北,襄阳市,南漳县,中等专业学校,,湖北襄阳市南漳县,http://www.hbnzsc.com/main.asp,0710-5245817,--,,,--,--,--,,,,,,,,{}
十堰市医学科技学校,湖北,十堰市,丹江口市,中等专业学校,,湖北十堰市丹江口市,--,--,--,,,--,--,--,,,,,,,,{}
湖北黄冈水利电力学校,湖北,黄冈市,黄州区,中等专业学校,公办,湖北黄冈市黄州区,--,--,--,,,--,--,--,,,,,,,,{}
汉江科技学校,湖北,十堰市,丹江口市,中等专业学校,公办,湖北十堰市丹江口市,--,--,--,1987,170,--,十堰市丹江口市三官殿办事处马湾村四组,--,,,,是,,,,"{'机械设计制造类': ['焊接技术应用'], '电子信息类': ['电子信息技术'], '计算机类': ['计算机网络技术'], '电子商务类': ['电子商务']}"
黄州理工中等专业学校,湖北,黄冈市,黄州区,中等专业学校,公办,湖北黄冈市黄州区,--,--,--,,,--,--,--,,,,,,,,{}
荆门市财经学校,湖北,荆门市,东宝区,中等专业学校,,湖北荆门市东宝区,--,--,--,,,--,--,--,,,,,,,,{}
湖北郧阳科技学校,湖北,十堰市,郧阳区,中等专业学校,,湖北十堰市郧阳区,--,--,--,--,--,--,湖北省十堰市郧县城关镇郧阳路5号,--,,,,,,,,{}
孝感市楚天职业学校,湖北,孝感市,孝南区,中等专业学校,,湖北孝感市孝南区,--,--,--,,,--,--,--,,,,,,,,{}
鄂东女子中等专业学校,湖北,黄冈市,黄州区,中等专业学校,,湖北黄冈市黄州区,--,--,--,,,--,--,--,,,,,,,,{}
荆州东方中等职业学校,湖北,荆州市,荆州区,中等专业学校,,湖北荆州市荆州区,--,--,--,,,--,--,--,,,,,,,,{}
