序号,地区,学校名,位置,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
187,甘肃,甘肃省庆阳第一中学,甘肃省 庆阳市 西峰区,省重点,公办,中学,甘肃省庆阳市西峰区南大街32号,0934-8213127地址：甘肃省庆阳市西峰区西大街178号,甘肃省,庆阳市,西峰区
188,甘肃,金川公司总校第一高级中学,甘肃省 金昌市 金川区,省重点,公办,中学,甘肃省金昌市金川区,0931-3685702,甘肃省,金昌市,金川区
189,甘肃,兰化公司第一中学,,,,,,,甘肃省,,
190,甘肃,静宁县第一中学,甘肃省 平凉市 静宁县,省重点,公办,中学,甘肃省平凉市静宁县城关镇中街170号,0933-2521643,甘肃省,平凉市,静宁县
191,贵州,贵阳市第一中学,贵州省 贵阳市 乌当区,省重点,公办,中学,贵州省贵阳市金阳新区兴筑东路1号,0851-7986565,贵州省,贵阳市,乌当区
192,贵州,兴义市第八中学,贵州省 黔西南 兴义市,普通,公办,中学,贵州省黔西南布依族苗族自治州兴义市富民路188号,,贵州省,黔西南,兴义市
193,贵州,遵义市第四中学,贵州省 遵义市,省重点,公办,中学,贵州省遵义市红花岗区石龙路14号,0852-8223172,贵州省,遵义市,
194,贵州,遵义市南白中学,贵州省 遵义市,普通,公办,中学,贵州省遵义市播州区遵南大道401号,0851-27250159,贵州省,遵义市,
195,贵州,贵阳市第三实验中学,贵州省 贵阳市 ,普通,公办,中学,贵阳市富水南路中山大厦B座,0851-8645477,贵州省,贵阳市,
196,贵州,贵阳市清华中学,贵州省 贵阳市 花溪区,省重点,公办,中学,贵阳市花溪区清华路30号,0851-3851955,贵州省,贵阳市,花溪区
197,贵州,贵州师范大学附属中学,贵州省 贵阳市 云岩区,省重点,公办,中学,贵州省贵阳市宝山北路199号,0851-—5934305,贵州省,贵阳市,云岩区
198,贵州,遵义航天高级中学,贵州省 遵义市 汇川区,省重点,公办,中学,遵义市汇川区宁波路176号,0852-8611619 8611987,贵州省,遵义市,汇川区
199,贵州,铜仁第一中学,贵州省 铜仁地区 铜仁市,省重点,公办,中学,贵州省铜仁市向阳路7号,0856-5223234,贵州省,铜仁地区,铜仁市
200,贵州,贵州省思南中学,贵州省 铜仁地区 思南县,省重点,公办,中学,贵州省思南县思唐镇文化街197号,0856-7225114,贵州省,铜仁地区,思南县
201,山西,山西大学附属中学,山西省 太原市 小店区,省重点,公办,中学,山西省太原市小店区坞城西街9号,0351-7073436,山西省,太原市,小店区
202,山西,太原市第五中学,山西省 太原市 迎泽区,省重点,公办,中学,山西省太原市迎泽区青年路49号,0351-4094288,山西省,太原市,迎泽区
203,山西,山西省实验中学,山西省 太原市 小店区,省重点,公办,中学,山西省太原市晋阳街201号,0351-7897022,山西省,太原市,小店区
204,山西,晋城市第一中学,山西省 晋城市,省重点,公办,中学,山西省晋城市东大街963号,0356-3096875,山西省,晋城市,
205,山西,忻州市第一中学,山西省 忻州市 忻府区,省重点,公办,中学,山西省忻州市忻府区和平街8号,0350-3025377,山西省,忻州市,忻府区
206,山西,康杰中学,山西省 运城市,省重点,公办,中学,山西省运城市空港新区康杰北路10号,0359-2576010,山西省,运城市,
207,山西,长治市第二中学,山西省 长治市 ,省重点,公办,中学,山西省长治市府上街25号,0355-2024118,山西省,长治市,
208,山西,临汾市第一中学,山西省 临汾市 尧都区,省重点,公办,中学,山西省临汾市尧都区鼓楼西街31号,0357-3377555,山西省,临汾市,尧都区
209,山西,大同市第一中学,山西省 大同市,省重点,公办,中学,山西省大同市向阳东街1号,0352-5196128,山西省,大同市,
210,山西,怀仁县第一中学,山西省 朔州市 怀仁县,普通,公办,中学,山西省怀仁市怀安大街77号,0349-3044031,山西省,朔州市,怀仁县
211,黑龙江,哈尔滨市第三中学,黑龙江 哈尔滨市 南岗区,省重点,公办,中学,黑龙江省哈尔滨市南岗区果戈里大街415号,0451-53636578,黑龙江,哈尔滨市,南岗区
212,黑龙江,大庆市实验中学,黑龙江 大庆市,省重点,公办,中学,大庆市高新技术产业开发园区秀水路6号,0459—8156179,黑龙江,大庆市,
213,黑龙江,牡丹江市第一高级中学,黑龙江 牡丹江市 东安区,省重点,公办,中学,牡丹江市江南新城区,0453-6471809,黑龙江,牡丹江市,东安区
214,黑龙江,哈尔滨师范大学附属中学,黑龙江 哈尔滨市 南岗区,省重点,公办,中学,黑龙江省哈尔滨市南岗区学府路30号,0451-86620973,黑龙江,哈尔滨市,南岗区
215,黑龙江,大庆铁人中学,黑龙江 大庆市 让胡路区,省重点,公办,中学,黑龙江省大庆市让胡路区乘风西路6号,0459－5683040,黑龙江,大庆市,让胡路区
216,黑龙江,哈尔滨市第九中学,黑龙江 哈尔滨市 香坊区,省重点,公办,中学,黑龙江省哈尔滨市香坊区和平路165号,0451-82801485,黑龙江,哈尔滨市,香坊区
217,黑龙江,哈尔滨市第六中学,黑龙江 哈尔滨市 香坊区,省重点,公办,中学,黑龙江省哈尔滨市公滨路467号,0451-55641821,黑龙江,哈尔滨市,香坊区
218,黑龙江,黑龙江省实验中学,黑龙江 哈尔滨市,省重点,公办,中学,黑龙江省哈尔滨市南岗区海城街1号,0451-86431159,黑龙江,哈尔滨市,
219,黑龙江,佳木斯市第一中学,黑龙江 佳木斯市,省重点,公办,中学,黑龙江省佳木斯市光复路1399号,0454-8605037,黑龙江,佳木斯市,
220,黑龙江,大庆第一中学,黑龙江 大庆市 让胡路区,市重点,公办,中学,黑龙江省大庆市让胡路区胜利路284号,0459-5168163  5168057,黑龙江,大庆市,让胡路区
221,安徽,安徽省马鞍山市第二中学,安徽省 马鞍山市 花山区,省重点,公办,中学,安徽省马鞍山市花山区健康路2号,0555--8331030,安徽省,马鞍山市,花山区
222,安徽,安徽省六安第一中学,安徽省 六安市 裕安区,省重点,公办,中学,安徽省六安市解放北路55号,0564-3387519,安徽省,六安市,裕安区
223,安徽,安庆市第一中学,安徽省 安庆市 大观区,省重点,公办,中学,安徽省安庆市大观区龙门口街38号,0556－5513669,安徽省,安庆市,大观区
224,安徽,安徽省淮北市第一中学,安徽省 淮北市 相山区,省重点,公办,中学,安徽省淮北市相山区石城路30号,0561-3024962,安徽省,淮北市,相山区
225,安徽,芜湖市第一中学,安徽省 芜湖市 鸠江区,省重点,公办,中学,安徽省芜湖市黄山路146号,0553-3830606 3839820,安徽省,芜湖市,鸠江区
226,安徽,安徽师范大学附属中学,安徽省 芜湖市,省重点,公办,中学,安徽省芜湖市银湖南路135号,0553-3832205,安徽省,芜湖市,
227,安徽,芜湖市第十二中学,,,,,,,安徽省,芜湖市,
228,安徽,芜湖田家炳实验中学,,,,,,,安徽省,芜湖市,
229,安徽,北京师范大学芜湖附属学校,,,,,,,安徽省,,
230,安徽,湾沚区第一中学,,,,,,,安徽省,,
231,北京,中国人民大学附属中学,北京市 海淀区,全国重点,公办,中学,北京市海淀区中关村大街37号,010-62512094  62515003,北京市,北京市,海淀区
232,北京,北京市第四中学,北京市 西城区,市重点,公办,中学,京市西城区西黄城根北街甲2号（近北大医院）,010-66175566,北京市,北京市,西城区
233,北京,北京师范大学附属实验中学,北京市 西城区,市重点,公办,中学,北京市西城区二龙路甲14号,010-66036431,北京市,北京市,西城区
234,北京,北京大学附属中学,北京市 海淀区,全国重点,公办,中学,北京市海淀区黄庄北大附中,010-62555594,北京市,北京市,海淀区
235,北京,北京市十一学校,北京市 海淀区,市重点,公办,中学,北京市海淀区玉泉路66号,010-68272381,北京市,北京市,海淀区
236,北京,清华大学附属学校,北京市 海淀区,区重点,民办,中学,北京市海淀区中关村北大街,010-62781662,北京市,北京市,海淀区
237,北京,北京市第一O一中学,北京市 海淀区,普通,公办,中学,北京市海淀区颐和园路11号,62566753,北京市,北京市,海淀区
238,北京,北京师范大学第二附属中学,北京市 西城区,市重点,公办,中学,北京市西城区新街口外大街12号,010-62354504,北京市,北京市,西城区
239,北京,北京八十学校,北京市 朝阳区,区重点,公办,中学,北京市朝阳区望京北路甲16号,010-58047000-7009（校长）010-58047000-7023（教学处）,北京市,北京市,朝阳区
240,北京,北京市第八中学,北京市 西城区,市重点,公办,中学,北京市西城区学院小街2号,010-66034661,北京市,北京市,西城区
241,福建,福州第一中学,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
242,福建,福建省厦门双十中学,福建省 厦门市 思明区,省重点,公办,中学,福建省厦门市镇海路33号/厦门市湖里区枋湖路789,0592-2117888,福建省,厦门市,思明区
243,福建,福建省厦门第一中学,福建省 厦门市 思明区,省重点,公办,中学,福建省厦门市思明区文园路93号,0592-2021908,福建省,厦门市,思明区
244,福建,厦门外国语学校,福建省 厦门市 思明区,省重点,公办,中学,（初中部）厦门市思明区湖滨北路88号/（高中部）海沧区嵩屿路89号,0592-5110967（8063273）,福建省,厦门市,思明区
245,福建,福建省莆田第一中学,福建省 莆田市 城厢区,省重点,公办,中学,福建省莆田市城厢区东大路217号,0594－2631666,福建省,莆田市,城厢区
246,福建,泉州市第五中学,福建省 泉州市 泉港区,省重点,公办,中学,福建省泉州市桂坛巷,0595-22274446,福建省,泉州市,泉港区
247,福建,福建师范大学附属中学,福建省 福州市 仓山区,省重点,公办,中学,福建省福州市仓山区对湖路15号,0591-83472889,福建省,福州市,仓山区
248,福建,福州第三中学,福建省 福州市 鼓楼区,普通,公办,中学,福州市鼓楼区湖东路43号,0591-87180610,福建省,福州市,鼓楼区
249,福建,福建省漳州第一中学,福建省 漳州市 芗城区,省重点,公办,中学,福建省漳州市芗城区芝山南麓,0596-2022008,福建省,漳州市,芗城区
250,福建,福建省龙岩第一中学,福建省 龙岩市 新罗区,普通,公办,中学,福建省龙岩市新罗区和平路40号（364000）,0597-2290302,福建省,龙岩市,新罗区
251,湖南,长沙市长郡中学,湖南省 长沙市 天心区,省重点,公办,中学,长沙市黄兴南路309号,0731-85287990,湖南省,长沙市,天心区
252,湖南,长沙市雅礼中学,湖南省 长沙市 雨花区,省重点,公办,中学,湖南省长沙市雨花区劳动西路428号,0731-5532038,湖南省,长沙市,雨花区
253,湖南,湖南师范大学附属中学,湖南省 长沙市 岳麓区,省重点,公办,中学,湖南长沙岳麓区桃子湖路48号,0731-88885855、88886669、88882315,湖南省,长沙市,岳麓区
254,湖南,湖南省长沙市第一中学,湖南省 长沙市 开福区,省重点,公办,中学,湖南省长沙市开福区清水塘路53号,（0731）82774885,湖南省,长沙市,开福区
255,湖南,长沙市明德中学,湖南省 长沙市 天心区,省重点,公办,中学,湖南省长沙市天心区新韶西路豹子岭　,0731-88237799　,湖南省,长沙市,天心区
256,湖南,长沙市南雅中学,湖南省 长沙市 雨花区,市重点,公办,中学,湖南省长沙市雨花区香樟东路178号,0731-85065645,湖南省,长沙市,雨花区
257,湖南,麓山国际实验学校,湖南省 长沙市 岳麓区,省重点,公办,中学,湖南省长沙市河西望月湖小区9片月华街59号,0731-8615610,湖南省,长沙市,岳麓区
258,湖南,株洲市第二中学,湖南省 株洲市,省重点,公办,中学,湖南省株洲市天元区珠江南路518号,0733--28827802,湖南省,株洲市,
259,湖南,湖南省石门县第一中学,湖南省 常德市 石门县,省重点,公办,中学,湖南省常德市石门县黄金路,0736-5323351,湖南省,常德市,石门县
260,湖南,岳阳市第一中学,湖南省 岳阳市,市重点,公办,中学,湖南省岳阳市岳阳楼区洞庭北路124号,0730-8318395,湖南省,岳阳市,
261,海南,海南中学,海南省 海口市 琼山区,省重点,公办,中学,海南省海口市琼山区府城镇大路街板桥路,0898-65885933,海南省,海口市,琼山区
262,海南,海南华侨中学,海南省 海口市,省重点,公办,中学,海南省海口市海秀路59号,0898-66712692,海南省,海口市,
263,海南,海口市第一中学,海南省 海口市,省重点,公办,中学,海南省海口市龙华路14号,0898—66225979,海南省,海口市,
264,海南,海南省农垦实验中学,广东省 湛江市 麻章区,省重点,公办,中学,广东省湛江市麻章正南街一号,0759-3307293,广东省,湛江市,麻章区
265,海南,琼海市嘉积中学,海南省 海口市,省重点,公办,中学,海南省琼海市嘉积镇富侨路1号,0898-31692345,海南省,海口市,
266,海南,文昌中学,海南省 三亚市,省重点,公办,中学,海南省三亚市教育路46号 海南岛文昌市,0898-63222395,海南省,三亚市,
267,海南,湖南师大附中海口中学,海南省 海口市,省重点,民办,中学,海口市滨海大道路48号,0898-68583993,海南省,海口市,
268,海南,海南师范大学附属中学,海南省 海口市,省重点,公办,中学,海南省海口市美兰区灵山镇新大洲大道机场北路,0898-65728566,海南省,海口市,
269,海南,三亚市第一中学,海南省 三亚市 ,省重点,公办,中学,海南省三亚市 三亚河东路82号,0898-88245478,海南省,三亚市,
270,海南,海南市琼山中学,海南省 海口市,省重点,公办,中学,:海口市琼山区文庄路10号,0898-65865927,海南省,海口市,
271,陕西,西北工业大学附属中学,陕西省 西安市 碑林区,省重点,公办,中学,陕西省西安市碑林区友谊西路127号,029 - 88492401 029 - 88494872,陕西省,西安市,碑林区
272,陕西,西安高新第一中学,陕西省 西安市 高新区,省重点,民办,中学,陕西省西安市高新区唐延路23号（西安海关南侧）,029-88323755,陕西省,西安市,高新区
273,陕西,西安市铁一中学,陕西省 西安市 碑林区,省重点,公办,中学,陕西省西安市友谊东路120号,029-82327079  029-82328008,陕西省,西安市,碑林区
274,陕西,西安交通大学附属中学,陕西省 西安市 碑林区,省重点,公办,中学,陕西省西安市兴庆南路135号/西安市雁翔路99号,029-82668353,陕西省,西安市,碑林区
275,陕西,陕西师范大学附属中学,陕西省 西安市 雁塔区,省重点,公办,中学,陕西省西安市翠华南路115号,029-85265803,陕西省,西安市,雁塔区
276,陕西,西安交通大学附属中学分校,陕西省 西安市 碑林区,省重点,公办,中学,陕西省西安市兴庆南路135号/西安市雁翔路99号,029-82668353,陕西省,西安市,碑林区
277,陕西,西安市第一中学,陕西省 西安市 莲湖区,省重点,公办,中学,陕西省西安市环城西路铁塔寺三号,029-88631130,陕西省,西安市,莲湖区
278,陕西,宝鸡中学,陕西省 宝鸡市,省重点,公办,中学,陕西省宝鸡市东开发区高新大道29号,0917-8625066,陕西省,宝鸡市,
279,陕西,西安市第二十六中学,陕西省 西安市 碑林区,省重点,公办,中学,陕西省西安市建国路118号,029-87457967,陕西省,西安市,碑林区
280,陕西,西安高级中学,陕西省 西安市 碑林区,省重点,公办,中学,陕西省西安市碑林区东厅门85号/西安市未央区谭家街道渭滨路,029-83259399,陕西省,西安市,碑林区
281,内蒙古,海拉尔第二中学,内蒙古 呼伦贝尔市 海拉尔区,市重点,公办,中学,海拉尔区兴安西路,0472-8323054,内蒙古,呼伦贝尔市,海拉尔区
282,内蒙古,包钢一中,内蒙古 包头市 昆都仑区,区重点,公办,中学,内蒙古包头市阿尔丁大街12号,0472-5951398,内蒙古,包头市,昆都仑区
283,内蒙古,平煤高级中学,内蒙古 赤峰市,市重点,公办,中学,内蒙古赤峰市煤城平庄,0476—3512143,内蒙古,赤峰市,
284,内蒙古,呼和浩特市第二中学,内蒙古 呼和浩特市,省重点,公办,中学,内蒙古呼和浩特市呼伦南路1号,0471-6920044,内蒙古,呼和浩特市,
285,内蒙古,通辽第五中学,,,,,,,内蒙古,,
286,内蒙古,包头市第九中学,内蒙古 包头市 ,省重点,公办,中学,内蒙古包头市昆区乌兰道17号,0472-2124402,内蒙古,包头市,
287,内蒙古,包头一中,内蒙古 包头市 东河区,市重点,公办,中学,内蒙古包头市东河区环城路37号,0472-4143088,内蒙古,包头市,东河区
288,内蒙古,北方重工第三中学,内蒙古 包头市 青山区,市重点,公办,中学,内蒙古包头市青山区青山路117号,0472-3135562 传真：0472-3158680 地址：内蒙古包头市青山区青山路117号,内蒙古,包头市,青山区
289,内蒙古,鄂尔多斯市一中,内蒙古 鄂尔多斯市,市重点,公办,中学,内蒙古鄂尔多斯市康巴什新区鄂尔多斯大街,0477-8390606,内蒙古,鄂尔多斯市,
290,内蒙古,内蒙古师范大学附属中学,内蒙古 呼和浩特市 赛罕区,市重点,公办,中学,内蒙古自治区呼和浩特市赛罕区大学路10号,0471-6283721,内蒙古,呼和浩特市,赛罕区
291,青海,青海湟川中学,青海省 西宁市 城西区,省重点,公办,中学,青海省西宁市城西区海晏路苏家河湾2号,0971-6318636,青海省,西宁市,城西区
292,青海,西宁二中,,,,,,,青海省,西宁市,
293,青海,青海师范大学附属中学,青海省 西宁市 城西区,省重点,公办,中学,青海省西宁市城西区五四西路40号,,青海省,西宁市,城西区
294,青海,西宁市第十四中学,青海省 西宁市 城中区,省重点,公办,中学,青海省西宁市城中区文化街,0971-8231379,青海省,西宁市,城中区
295,青海,青海师范大学附属第二中学,青海省 西宁市 城东区,省重点,公办,中学,青海省西宁市城东区八一中路35号康乐新村水电四局家属院内,0971-7129087,青海省,西宁市,城东区
296,青海,湟中县第一中学,青海省 西宁市 湟中县,省重点,公办,中学,青海省西宁市湟中县近郊和平路290号,0971-2232153,青海省,西宁市,湟中县
297,青海,西宁市第四中学,青海省 西宁市 城北区,省重点,公办,中学,青海省西宁市天津路69号,0971-4290370,青海省,西宁市,城北区
298,青海,西宁市第五中学,青海省 西宁市 城中区,省重点,公办,中学,青海省西宁市城中区南大街43号,0971－8246140、8248001,青海省,西宁市,城中区
299,青海,乐都县第一中学,青海省 海东地区 乐都县,省重点,公办,中学,青海省海东地区乐都县仓门街,0972-8622484,青海省,海东地区,乐都县
300,青海,互助县第一中学,青海省 海东地区 互助土族自治县,省重点,公办,中学,青海省互助县威远镇南街8号,0972-7311010,青海省,海东地区,互助土族自治县
301,西藏,拉萨中学,西藏 拉萨市,省重点,公办,中学,西藏自治区拉萨林廓西路32号,0891-6823198,西藏,拉萨市,
302,西藏,日喀则地区第二高级中学,西藏 日喀则地区 日喀则市,区重点,公办,中学,西藏自治区日喀则地区日喀则市普彰路,0892-8822154,西藏,日喀则地区,日喀则市
303,西藏,林芝地区第一高级中学,西藏 林芝地区,市重点,公办,中学,西藏自治区林芝地区八一镇学院路6号,0894-5824845,西藏,林芝地区,
304,西藏,拉萨北京中学,西藏 拉萨市 城关区,省重点,公办,中学,西藏自治区拉萨城关区解放东路,,西藏,拉萨市,城关区
305,西藏,拉萨市第二高级中学,西藏 拉萨市,市重点,公办,中学,西藏自治区拉萨市城关区东郊纳金路15号,0891-6353397,西藏,拉萨市,
306,西藏,山南地区第二高级中学,西藏 山南地区 乃东县,区重点,公办,中学,西藏自治区山南地区乃东县安徽大道32号,0893-7832382,西藏,山南地区,乃东县
307,西藏,日喀则地区上海实验中学,西藏 日喀则地区,市重点,公办,中学,西藏自治区日喀则地区,,西藏,日喀则地区,
308,西藏,拉萨市第三高级中学,西藏 拉萨市,普通,公办,中学,西藏自治区拉萨市布达拉宫西面德吉路北段,0891-6323317,西藏,拉萨市,
309,西藏,日喀则地区江孜高级中学,,,,,,,西藏,,
310,西藏,日喀则地区第一高级中学,西藏 日喀则地区,市重点,公办,中学,西藏自治区日喀则地区山东路23号,0892-8822415,西藏,日喀则地区,
