地区,省份,城市,学校名,省内排名,数据源名称,地域,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
华北地区,山西,太原,山西大学附属中学,1,山西大学附属中学,山西省 太原市 小店区,普通,公办,中学,山西省太原市小店区坞城西街9号,0351-7073436,山西省,太原市,小店区
华北地区,山西,太原,山西省实验中学,2,山西省实验中学（太原市第十中学）,山西省 太原市 小店区,省重点,公办,中学,山西省太原市晋阳街201号,0351-7897022,山西省,太原市,小店区
华北地区,山西,太原,太原市第五中学,3,太原市第五中学（太原五中）,山西省 太原市 迎泽区,省重点,公办,中学,山西省太原市迎泽区青年路49号,0351-4094288,山西省,太原市,迎泽区
华北地区,山西,运城市,康杰中学,4,山西省运城市康杰中学,山西省 运城市,省重点,公办,中学,山西省运城市空港新区康杰北路10号,0359-2576010,山西省,运城市,
华北地区,山西,忻州市,忻州第一中学,5,忻州市第一中学（忻州一中）,山西省 忻州市 忻府区,省重点,公办,中学,山西省忻州市忻府区和平街8号,0350-3025377,山西省,忻州市,忻府区
华北地区,内蒙古,呼和浩特市,呼和浩特市第二中学,1,呼和浩特市第二中学,内蒙古 呼和浩特市,省重点,公办,中学,内蒙古呼和浩特市呼伦南路1号,0471-6920044,内蒙古,呼和浩特市,
华北地区,内蒙古,鄂尔多斯市,鄂尔多斯市第一中学,2,鄂尔多斯市第一中学（鄂尔多斯市一中）,内蒙古 鄂尔多斯市,市重点,公办,中学,内蒙古鄂尔多斯市康巴什新区鄂尔多斯大街,0477-8390606,内蒙古,鄂尔多斯市,
华北地区,内蒙古,包头市,包头市第九中学,3,包头市第九中学,内蒙古 包头市 ,省重点,公办,中学,内蒙古包头市昆区乌兰道17号,0472-2124402,内蒙古,包头市,
华北地区,内蒙古,赤峰市,平煤高级中学,4,平煤高级中学,内蒙古 赤峰市,市重点,公办,中学,内蒙古赤峰市煤城平庄,0476—3512143,内蒙古,赤峰市,
华北地区,内蒙古,赤峰市,赤峰市第二中学,5,赤峰市第二中学（赤峰二中）,内蒙古 赤峰市,市重点,公办,中学,内蒙古赤峰新城区玉龙大街西段,0476-8821920,内蒙古,赤峰市,
华北地区,北京,海淀区,人民大学附属中学,1,中国人民大学附属中学（人大附中）,北京市 海淀区,全国重点,公办,中学,北京市海淀区中关村大街37号,010-62512094  62515003,北京市,北京市,海淀区
华北地区,北京,西城区,北京市第四中学,2,北京市第四中学,北京市 西城区,市重点,公办,中学,京市西城区西黄城根北街甲2号（近北大医院）,010-66175566,北京市,北京市,西城区
华北地区,北京,西城区,北京师范大学附属中学,3,北京师范大学附属中学,北京市 西城区,省重点,公办,中学,北京市西城区南新华街18号,010-63014680-207,北京市,北京市,西城区
华北地区,北京,西城区,北京师范大学第二附中,4,北师大二附中,北京市 西城区,市重点,公办,中学,北京市西城区新街口外大街12号,010-62042244,北京市,北京市,西城区
华北地区,北京,海淀区,清华大学附属中学,5,清华大学附属中学,北京市 海淀区,全国重点,公办,中学,北京市海淀区圆明园东路,010-62789541,北京市,北京市,海淀区
华北地区,天津,南开区,天津市南开中学,1,天津市南开中学,天津市 南开区,全国重点,公办,中学,天津市南开区南开四马路22号,022—27483391,天津市,天津市,南开区
华北地区,天津,和平区,天津市耀华中学,2,天津市耀华中学,天津市 和平区,全国重点,公办,中学,天津市和平区南京路106号,022-23394521,天津市,天津市,和平区
华北地区,天津,和平区,天津市第一中学,3,天津市第一中学,天津市 和平区,市重点,公办,中学,天津市和平区西安道117号,022-23391126,天津市,天津市,和平区
华北地区,天津,河西区,天津市新华中学,4,天津新华中学,天津市 河西区,全国重点,公办,中学,天津市河西区马场道99号,022-23288278,天津市,天津市,河西区
华北地区,天津,河西区,天津市实验中学,5,天津市实验中学,天津市 河西区,全国重点,公办,中学,天津市河西区平山道1号,022-23358689,天津市,天津市,河西区
华北地区,河北,衡水市,河北衡水中学,1,河北衡水中学,河北省 衡水市 桃城区,全国重点,公办,中学,河北省衡水市英才路228号/南门口街128号  （东校区）程富路6号  　,0318-2126903,河北省,衡水市,桃城区
华北地区,河北,石家庄市,石家庄市第二中学,2,石家庄市第二中学,河北省 石家庄市 新华区,省重点,公办,中学,河北省石家庄市兴凯路187号,0311--7022964 7022492,河北省,石家庄市,新华区
华北地区,河北,衡水市,衡水市第二中学,3,衡水市第二中学,河北省 衡水市,省重点,公办,中学,河北省衡水市问津北街98号/衡水市新华西路256号,0318-2135271 2817707,河北省,衡水市,
华北地区,河北,石家庄市,河北正定中学,4,河北正定中学,河北省 石家庄市 正定县,省重点,公办,中学,河北省正定县正定镇府西街80号,0311--8022837,河北省,石家庄市,正定县
华北地区,河北,唐山市,唐山市第一中学,5,唐山市第一中学（唐山一中）,河北省 唐山市 路北区,省重点,公办,中学,河北省唐山市路南区友谊路2号,0315-2595128,河北省,唐山市,路北区
