序号,学校名称,省市,数据源名称,地区,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
158,福建省南安第一中学,福建,南安第一中学（南安一中）,福建省 泉州市 南安市,县重点,公办,中学,福建省泉州市南安市,0595-86382402,福建省,泉州市,南安市
159,汕头市潮阳实验学校,广东,汕头市潮阳实验学校,广东省 汕头市 潮阳区,省重点,民办,中学,广东省汕头市潮阳区棉北街道城北四路东段,0754-88726528 88722222,广东省,汕头市,潮阳区
160,汕头市金山中学,广东,汕头市金山中学,广东省 汕头市 濠江区,省重点,公办,中学,广东省汕头市石海关顶,0754-87374368,广东省,汕头市,濠江区
161,沙市中学,湖北,湖北省沙市中学,湖北省 荆州市 沙市区,市重点,公办,中学,荆州市沙市区北京中路269号,0716-8222121,湖北省,荆州市,沙市区
162,山东烟台第二中学,山东,烟台第二中学高中部（烟台二中高中部）,山东省 烟台市 芝罘区,省重点,公办,中学,山东省烟台市芝罘区焕新路1号,0535-6696228,山东省,烟台市,芝罘区
163,太原五中,山西,太原市第五中学（太原五中）,山西省 太原市 迎泽区,省重点,公办,中学,山西省太原市迎泽区青年路49号,0351-4094288,山西省,太原市,迎泽区
164,忻州市第一中学校,山西,忻州市第一中学（忻州一中）,山西省 忻州市 忻府区,省重点,公办,中学,山西省忻州市忻府区和平街8号,0350-3025377,山西省,忻州市,忻府区
165,新疆生产建设兵团第二中学,新疆,新疆生产建设兵团第二中学,新疆 乌鲁木齐市,省重点,公办,中学,新疆乌鲁木齐市五星南路376号,0991-2633933  0991-2630704,新疆,乌鲁木齐市,
166,清华大学附属中学,北京,清华大学附属中学（清华附中）,北京市 海淀区,全国重点,公办,中学,北京市海淀区圆明园东路,010-62789541,北京市,北京市,海淀区
167,武汉外国语学校,湖北,武汉外国语学校（武汉外校）,湖北省 武汉市 江汉区,全国重点,公办,中学,武汉市经济技术开发区龙阳大道太子湖1号,027 - 84897315 85764750,湖北省,武汉市,江汉区
168,上海市七宝中学,上海,上海市七宝中学,上海市 闵行区,市重点,公办,中学,上海市徐汇区农南路22号,021-64592100,上海市,上海市,闵行区
169,天津英华国际学校,天津,天津英华国际学校,天津市 武清区,市重点,民办,中学,天津市武清区雍阳西道天津英华国际学校,022-59611188 4000-022-370,天津市,天津市,武清区
170,余姚市实验学校,浙江,浙江省余姚实验学校中学部,浙江省 宁波市 余姚市,市重点,民办,中学,浙江省宁波市余姚市潭家岭西路199号,0574-62779393   62779390,浙江省,宁波市,余姚市
171,芜湖市第二十七中学,安徽,芜湖二十七中,安徽省 芜湖市 镜湖区,普通,公办,中学,芜湖市镜湖区长江中路44号,,安徽省,芜湖市,镜湖区
172,北京市一零一中学,北京,北京市一零一中学,北京市 海淀区,普通,公办,中学,北京市海淀区颐和园路11号,62566753,北京市,北京市,海淀区
173,福建省长乐第一中学,福建,福建省长乐第一中学（长乐一中）,福建省 福州市 长乐区,省重点,公办,中学,福建省福州市长乐市吴航街道和平街56号,0591-28800711,福建省,福州市,长乐区
174,贵港市高级中学,广西,广西省贵港市高级中学,广西 贵港市 港北区,省重点,公办,中学,广西贵港市港北区金港大道674号,0775-4565422,广西,贵港市,港北区
175,佳木斯市第一中学,黑龙江,佳木斯市第一中学（佳木斯一中）,黑龙江 佳木斯市,省重点,公办,中学,黑龙江省佳木斯市光复路1399号,0454-8605037,黑龙江,佳木斯市,
176,荆州中学,湖北,湖北省荆州中学,湖北省 荆州市 荆州区,省重点,公办,中学,湖北省荆州市荆州区人民路,（0716）8495766,湖北省,荆州市,荆州区
177,株洲市第二中学,湖南,湖南省株洲市第二中学,湖南省 株洲市,省重点,公办,中学,湖南省株洲市天元区珠江南路518号,0733--28827802,湖南省,株洲市,
178,江苏省锡山高级中学,江苏,江苏省锡山高级中学,江苏省 无锡市 惠山区,省重点,公办,中学,江苏无锡惠山新城政和大道1号,0510-83579111　0510-83579333,江苏省,无锡市,惠山区
179,江苏省新海高级中学,江苏,江苏省新海高级中学,江苏省 连云港市 连云区,普通,公办,中学,连云区中华西路168号,0518-2310560,江苏省,连云港市,连云区
180,赣州中学,江西,赣州中学,江西省 赣州市 章贡区,普通,公办,中学,江西省赣州市章贡区赣康路20号,,江西省,赣州市,章贡区
181,晋城一中,山西,晋城市第一中学（晋城一中）,山西省 晋城市,省重点,公办,中学,山西省晋城市东大街963号,0356-3096875,山西省,晋城市,
182,浙江省萧山中学,浙江,萧山中学,浙江省 杭州市 萧山区,省重点,公办,中学,杭州市萧山区城厢街道拱秀路538号,82722091（办公室）82722092（教务处）82733448（学生处）,浙江省,杭州市,萧山区
183,重庆市育才中学校,重庆,重庆市育才中学,重庆市 九龙坡区,市重点,公办,中学,重庆市九龙坡区谢家湾正街92号,023-68822468 023-86051188,重庆市,重庆市,九龙坡区
184,淮南二中,安徽,安徽省淮南第二中学（淮南二中）,安徽省 淮南市,普通,公办,中学,田家庵区舜耕西路（二中）,0554-6414696 葛晓辉,安徽省,淮南市,
185,广州市第六中学,广东,广州市第六中学（广州六中）,广东省 广州市 海珠区,省重点,公办,中学,广州市海珠区新港西路179号,020-84452167,广东省,广州市,海珠区
186,兴义市第八中学,贵州,兴义八中,贵州省 黔西南 兴义市,普通,公办,中学,贵州省黔西南布依族苗族自治州兴义市富民路188号,,贵州省,黔西南,兴义市
187,河南师范大学附属中学,河南,河南师范大学附属中学,河南省 新乡市,省重点,公办,中学,河南省新乡市建设路164号,0373-3383049,河南省,新乡市,
188,哈尔滨德强学校,黑龙江,哈尔滨德强学校初中部,黑龙江 哈尔滨市 香坊区,市重点,民办,中学,哈尔滨香坊区公滨路58-3号,0451-55160688,黑龙江,哈尔滨市,香坊区
189,江西省宜春中学,江西,江西省宜春中学,江西省 宜春市,普通,公办,中学,化成路34号,0795-3222546,江西省,宜春市,
190,北重三中,内蒙古,北方重工集团第三中学（北重三中）,内蒙古 包头市 青山区,市重点,公办,中学,内蒙古包头市青山区青山路117号,0472-3135562,内蒙古,包头市,青山区
191,康杰中学,山西,山西省运城市康杰中学,山西省 运城市,省重点,公办,中学,山西省运城市空港新区康杰北路10号,0359-2576010,山西省,运城市,
192,上海外国语大学附属外国语学校,上海,上海外国语大学附属外国语学校（高中部）,上海市 虹口区,市重点,公办,中学,上海市虹口区中山北一路295号,021-65423105,上海市,上海市,虹口区
193,遂宁市安居育才中学校,四川,育才中学,江苏省 苏州市 吴中区,普通,公办,中学,扬东路211号,0512-67451666,江苏省,苏州市,吴中区
194,佛山市南海区南海中学,广东,佛山市南海区南海中学,广东省 佛山市 南海区,普通,公办,中学,广东省佛山市南海区西樵镇,0757-86898570,广东省,佛山市,南海区
195,玉林高级中学,广西,广西玉林高级中学,广西 玉林市,省重点,公办,中学,广西玉林市人民东路77号,0775-2684268,广西,玉林市,
196,安阳市一中,河南,,,,,,,,,,
197,焦作一中,河南,焦作市第一中学（焦作一中）,河南省 焦作市,省重点,公办,中学,民主中路１号,0391-2932411,河南省,焦作市,
198,江苏省启东中学,江苏,江苏省启东中学,江苏省 南通市 启东市,普通,公办,中学,江苏省启东市汇龙镇民乐中路580号,,江苏省,南通市,启东市
199,江苏省徐州市第一中学,江苏,江苏省徐州市第一中学（徐州一中）,江苏省 徐州市 云龙区,省重点,公办,中学,江苏省徐州市夹河前街26号,0516-85885002,江苏省,徐州市,云龙区
200,高安中学,江西,江西省高安中学,江西省 宜春市 高安市,省重点,公办,中学,江西省宜春市高安市筠阳镇碧落路185号,0795-5212125,江西省,宜春市,高安市
201,弋阳县第一中学,江西,弋阳县第一中学（弋阳一中）,江西省 上饶市 弋阳县,区重点,公办,中学,江西省上饶市弋阳县方志敏大道39号,0791-5883066,江西省,上饶市,弋阳县
202,包钢一中,内蒙古,包钢一中,内蒙古 包头市 昆都仑区,区重点,公办,中学,内蒙古包头市阿尔丁大街12号,0472-5951398,内蒙古,包头市,昆都仑区
203,赤峰二中,内蒙古,赤峰市第二中学（赤峰二中）,内蒙古 赤峰市,市重点,公办,中学,内蒙古赤峰新城区玉龙大街西段,0476-8821920,内蒙古,赤峰市,
204,通辽市第五中学,内蒙古,北京市第五中学（北京五中）,北京市 东城区,市重点,公办,中学,北京市东城区细管胡同13号,010-64042971/64040729,北京市,北京市,东城区
205,银川六中,宁夏,,,,,,,,,,
206,山东师范大学附属中学,山东,山东师范大学附属中学（山师附中）,山东省 济南市 历下区,省重点,公办,中学,山东省济南市历下区山师北街3号,0531-86187151,山东省,济南市,历下区
207,陕西师范大学附属中学,陕西,陕西师范大学附属中学（陕师大附中）,陕西省 西安市 雁塔区,省重点,公办,中学,陕西省西安市翠华南路115号,029-85265803,陕西省,西安市,雁塔区
208,克拉玛依市第一中学,新疆,克拉玛依市第一中学（克拉玛依一中）,新疆 克拉玛依市 克拉玛依区,省重点,公办,中学,克拉玛依市塔河路102号,0990-6246032,新疆,克拉玛依市,克拉玛依区
209,海亮高级中学,浙江,海亮高级中学,浙江省 绍兴市 诸暨市,普通,民办,中学,浙江省诸暨市西三环路197号,0575-87698666,浙江省,绍兴市,诸暨市
210,浙江金华第一中学,浙江,浙江金华第一中学（金华一中）,浙江省 金华市 ,省重点,公办,中学,浙江省金华市金东区光南路1588号,0579-82190728,浙江省,金华市,
211,阜阳一中,安徽,安徽省阜阳第一中学（阜阳一中）,安徽省 阜阳市,省重点,公办,中学,人民中路74号,0558--2265350,安徽省,阜阳市,
212,宿城第一高级中学,安徽,宿城一中,安徽省 宿州市 埇桥区,省重点,公办,中学,安徽省宿州市银河三路518号,0557-3917805,安徽省,宿州市,埇桥区
213,北京市第十二中学,北京,北京第十二中学（北京十二中）,北京市 丰台区,市重点,公办,中学,北京市丰台区益泽路15号,010-83666020,北京市,北京市,丰台区
214,贵阳市第三实验中学,贵州,贵阳市第三实验中学,贵州省 贵阳市 ,普通,公办,中学,贵阳市富水南路中山大厦B座,0851-8645477,贵州省,贵阳市,
215,海口中学,海南,海口中学,海南省 海口市,省重点,民办,中学,海口市滨海大道路48号,0898-68583993,海南省,海口市,
216,黄石二中,湖北,湖北省黄石第二中学（黄石二中）,湖北省 黄石市,省重点,公办,中学,下陆区桂林南路62号,0714-6355558,湖北省,黄石市,
217,衡阳市第八中学,湖南,衡阳八中（高中部）,湖南省 衡阳市,省重点,公办,中学,湖南省衡阳市黄白路81号,0734-8401598,湖南省,衡阳市,
218,四平市第一高级中学,吉林,日喀则地区第一高级中学（日喀则一高）,西藏 日喀则地区,市重点,公办,中学,西藏自治区日喀则地区山东路23号,0892-8822415,西藏,日喀则地区,
219,江苏省盐城中学,江苏,江苏省盐城中学,江苏省 盐城市,省重点,公办,中学,江苏省盐城市解放南路199号,0515-88887600,江苏省,盐城市,
220,吉安市白鹭洲中学,江西,吉安市白鹭洲中学,江西省 吉安市,普通,公办,中学,江西省吉安市沿江路２４８号,,江西省,吉安市,
221,江西省上饶中学,江西,江西上饶中学,江西省 上饶市,省重点,公办,中学,江西省上饶市三清山中大道476号,0793-8259016,江西省,上饶市,
222,包头九中,内蒙古,,,,,,,,,,
223,一机一中,内蒙古,内蒙古一机集团第一中学（内蒙古一机一中）,内蒙古 包头市 青山区,市重点,公办,中学,内蒙古包头市青山区文化路4号,0472-3632770,内蒙古,包头市,青山区
224,上海市曹杨第二中学,上海,上海市曹杨第二中学（曹杨二中）,上海市 普陀区,市重点,公办,中学,上海市普陀区梅川路160号,021-62548322  62853210 62548645,上海市,上海市,普陀区
225,上海市民办华育中学,上海,上海民办华育中学（华育中学）,上海市 徐汇区,区重点,民办,中学,上海市徐汇区龙吟路99号（老校区-罗秀路99号（,021-55350909,上海市,上海市,徐汇区
226,林芝市一中,西藏,,,,,,,,,,
227,下关一中,云南,下关镇第一中学（下关一中）,云南省 大理 大理市,省重点,公办,中学,云南省大理市下关龙溪路69号,0872—2121847,云南省,大理,大理市
228,苍南县嘉禾中学,浙江,广州市嘉禾中学,广东省 广州市 白云区,普通,公办,中学,广州市白云区嘉禾街鹤龙路上胜东街,020-86093426,广东省,广州市,白云区
229,蚌埠二中,安徽,安徽省蚌埠第二中学（蚌埠二中）,安徽省 蚌埠市,普通,公办,中学,安徽省蚌埠市胜利中路88号,（0552）2045104地址：安徽省蚌埠市胜利中路88号,安徽省,蚌埠市,
230,北京市第八十中学,北京,北京市第八十中学（北京八十中）,北京市 朝阳区,区重点,公办,中学,北京市朝阳区望京北路甲16号,010-58047000-7009（校长）010-58047000-7023（教学处）,北京市,北京市,朝阳区
231,深圳市高级中学,广东,深圳市高级中学（高中部）,广东省 深圳市 福田区,省重点,公办,中学,广东省深圳市福田区春田路2号,0755-83948694,广东省,深圳市,福田区
232,海南华侨中学,海南,,,,,,,,,,
233,牡丹江市第一高级中学,黑龙江,牡丹江市第一高级中学（牡丹江一中）,黑龙江 牡丹江市 东安区,省重点,公办,中学,牡丹江市江南新城区,0453-6471809,黑龙江,牡丹江市,东安区
234,江苏省海门中学,江苏,江苏省海门中学,江苏省 南通市 海门市,省重点,公办,中学,江苏省海门市海门镇育才路1号,0513-82212218,江苏省,南通市,海门市
235,赣州市第三中学,江西,赣州三中,江西省 赣州市,普通,公办,中学,江西省赣州市,,江西省,赣州市,
236,余江县第一中学,江西,余江县第一中学（余江一中）,江西省 鹰潭市 余江县,省重点,私立,中学,江西省鹰潭市余江县白塔路,0701-5885968,江西省,鹰潭市,余江县
237,海拉尔第二中学,内蒙古,海拉尔第二中学（海拉尔二中）,内蒙古 呼伦贝尔市 海拉尔区,市重点,公办,中学,海拉尔区兴安西路,0472-8323054,内蒙古,呼伦贝尔市,海拉尔区
238,山东省北镇中学,山东,滨州市北镇中学,山东省 滨州市 滨城区,省重点,公办,中学,山东省滨州市滨城区黄河十路,0543-3168025,山东省,滨州市,滨城区
239,山东省章丘第四中学,山东,济南市章丘第四中学,山东省 济南市 章丘市,省重点,公办,中学,山东省济南市章丘市明水白云路40号,0531-83213558 83861263,山东省,济南市,章丘市
240,上海市实验学校,上海,上海市实验学校高中（上实）,上海市 浦东新区,市重点,公办,中学,上海市浦东新区东明路300号,021-50866819 50866067,上海市,上海市,浦东新区
241,上海市松江二中,上海,上海市松江二中（集团）初级中学,上海市 松江区,区重点,公办,中学,上海市松江区邱家湾20号,021-57833817,上海市,上海市,松江区
242,浙江省富阳中学,浙江,富阳中学,浙江省 杭州市 富阳区,省重点,公办,中学,杭州市富阳区馆驿里1号,,浙江省,杭州市,富阳区
243,浙江省余姚市姚中书院,浙江,余姚市姚中书院,浙江省 宁波市 余姚市,普通,民办,中学,余姚市四明西路392号,0574-62795207 62720384,浙江省,宁波市,余姚市
244,浙江省诸暨中学,浙江,浙江省诸暨中学,浙江省 绍兴市 诸暨市,普通,公办,中学,诸暨市暨阳路47号,0575—87011543   邮编：311800地址：诸暨市暨阳路47号,浙江省,绍兴市,诸暨市
245,北京市第八中学,北京,北京市第八中学（北京八中）,北京市 西城区,市重点,公办,中学,北京市西城区学院小街2号,010-66034661,北京市,北京市,西城区
246,福建省惠安第一中学,福建,惠安一中,福建省 泉州市 惠安县,市重点,公办,中学,福建省泉州市惠安县,,福建省,泉州市,惠安县
247,福建省三明市第二中学,福建,北京市第二中学（北京二中）,北京市 东城区,市重点,公办,中学,北京市东城区内务部街15号,010-65274375,北京市,北京市,东城区
248,福建省漳平第一中学,福建,漳平一中,福建省 龙岩市 漳平市,普通,公办,中学,福建省龙岩市漳平市,0597-7533914,福建省,龙岩市,漳平市
249,佛山市第一中学,广东,佛山市第一中学（佛山一中）,广东省 佛山市,省重点,公办,中学,广东省佛山市禅城区文沙路25号,0757-8283 8610,广东省,佛山市,
250,郑州市第十一中学,河南,郑州市第十一中学,河南省 郑州市,普通,公办,中学,河南省郑州市金水区人民路7号,0371-66224246,河南省,郑州市,
251,十堰市郧阳中学,湖北,湖北省十堰市郧阳中学,湖北省 十堰市,市重点,公办,中学,十堰市郧阳中学北京北路60号,0719-8102388  8102991 8102908,湖北省,十堰市,
252,景德镇一中,江西,景德镇第一中学（景德镇一中）,江西省 景德镇市,省重点,公办,中学,江西省景德镇市天翼路66号,（0798）8441380,江西省,景德镇市,
253,内蒙古师大附中,内蒙古,,,,,,,,,,
254,莱州市第一中学,山东,莱州市第一中学高中部（莱州一中高中部）,山东省 烟台市 莱州市,省重点,公办,中学,山东省烟台市莱州市文昌路一中巷1号,0535-2282001,山东省,烟台市,莱州市
255,山东省日照第一中学,山东,日照第一中学（日照一中）,山东省 日照市 东港区,省重点,公办,中学,山东省日照市东港区日照北路30号,0633-8222086,山东省,日照市,东港区
256,莘县实验高级中学,山东,中山市实验高级中学,广东省 中山市,省重点,公办,中学,广东省中山市东区东江路12号,76088331091,广东省,中山市,
257,大同一中,山西,大同市第一中学（大同一中）,山西省 大同市,省重点,公办,中学,山西省大同市向阳东街1号,0352-5196128,山西省,大同市,
258,昆明市第一中学,云南,昆明市第一中学（昆明一中）,云南省 昆明市 五华区,省重点,公办,中学,云南省昆明市五华区西昌路233号,0871-5325970 15887078301,云南省,昆明市,五华区
259,浙江省江山中学,浙江,浙江江山中学,浙江省 衢州市 江山市,省重点,公办,中学,浙江省衢州市江山市凝秀中路2号,,浙江省,衢州市,江山市
260,浙江省瑞安中学,浙江,浙江省瑞安中学,浙江省 温州市 瑞安市,省重点,私立,中学,浙江省温州市瑞安市瑞湖路398号,0577- 65679017   65675130,浙江省,温州市,瑞安市
261,安徽省宿州市第二中学,安徽,宿州二中,安徽省 宿州市 埇桥区,省重点,公办,中学,宿州市埇桥区迎宾大道88号,,安徽省,宿州市,埇桥区
262,北京汇文中学,北京,北京汇文中学,北京市 东城区,市重点,公办,中学,北京市东城区培新街6号,010-67117375,北京市,北京市,东城区
263,北京市育英学校,北京,北京市育英学校,北京市 海淀区,市重点,公办,中学,北京市海淀区万寿路西街11号,010-68282370,北京市,北京市,海淀区
264,福建省泉州第一中学,福建,泉州一中,福建省 泉州市 晋江市,普通,公办,中学,泉州学府路31号,0595-22784689,福建省,泉州市,晋江市
265,厦门大学附属实验中学,福建,,,,,,,,,,
266,静宁一中,甘肃,甘肃省静宁县第一中学（静宁一中）,甘肃省 平凉市 静宁县,省重点,公办,中学,甘肃省平凉市静宁县城关镇中街170号,0933-2521643,甘肃省,平凉市,静宁县
267,平凉一中,甘肃,,,,,,,,,,
268,广东北江中学,广东,广东北江中学,广东省 韶关市 ,省重点,公办,中学,韶关市惠民北路66,,广东省,韶关市,
269,柳州铁一中学,广西,,,,,,,,,,
270,毕节梁才学校,贵州,毕节梁才学校,贵州省 毕节地区 毕节市,普通,民办,中学,贵州省毕节市七星关区梁才学校,0857—8416666,贵州省,毕节地区,毕节市
271,遵义市南白中学,贵州,遵义南白中学,贵州省 遵义市,普通,公办,中学,贵州省遵义市播州区遵南大道401号,0851-27250159,贵州省,遵义市,
272,定州中学,河北,河北定州中学,河北省 保定市 定州市,省重点,公办,中学,河北定州市内中心街定州中学,0312-2587001,河北省,保定市,定州市
273,大庆第一中学,黑龙江,大庆第一中学（大庆一中）,黑龙江 大庆市 让胡路区,市重点,公办,中学,黑龙江省大庆市让胡路区胜利路284号,0459-5168163  5168057,黑龙江,大庆市,让胡路区
274,长春市十一高中,吉林,长春市十一高中,吉林省 长春市 绿园区,省重点,公办,中学,长春市景阳大路2666号,0431-87624714,吉林省,长春市,绿园区
275,江苏省海安高级中学,江苏,,,,,,,,,,
276,上饶县中学,江西,,,,,,,,,,
277,樟树中学,江西,樟树中学,江西省 宜春市 樟树市,普通,公办,中学,樟树市东门42号,0795-7333540,江西省,宜春市,樟树市
278,石嘴山三中,宁夏,,,,,,,,,,
279,吴忠中学,宁夏,,,,,,,,,,
280,山东省平邑第一中学,山东,,,,,,,,,,
281,山东省烟台第一中学,山东,烟台一中（高中部）,山东省 烟台市 芝罘区,省重点,公办,中学,山东省烟台市芝罘区二马路17号,5354218848,山东省,烟台市,芝罘区
282,西藏民族大学附属中学,西藏,,,,,,,,,,
283,石河子第一中学,新疆,石河子市第一中学（石河子一中）,新疆,市重点,公办,中学,新疆维吾尔族自治区石河子市12小区北四路159号,0993-2037304,新疆,,
284,温州育英国际实验学校,浙江,温州育英国际实验学校,浙江省 温州市 瓯海区,市重点,民办,中学,中国浙江温州瓯海区梧田镇,0577-86362803 86367629,浙江省,温州市,瓯海区
285,安师大附中,安徽,,,,,,,,,,
286,福州三牧中学,福建,,,,,,,,,,
287,金川总校第一高级中学,甘肃,,,,,,,,,,
288,陇南市一中,甘肃,,,,,,,,,,
289,广州市执信中学,广东,广州市执信中学,广东省 广州市 越秀区,省重点,公办,中学,广东省广州市越秀区执信南路152号,020-87778382,广东省,广州市,越秀区
290,广西师范大学附属中学,广西,广西师范大学附属中学,广西 桂林市,省重点,公办,中学,中山北路15号,0773--2803103,广西,桂林市,
291,遵义航天高级中学,贵州,贵州遵义航天高级中学,贵州省 遵义市 汇川区,省重点,公办,中学,遵义市汇川区宁波路176号,0852-8611619 8611987,贵州省,遵义市,汇川区
292,河南省开封高级中学,河南,开封高级中学（开封高中）,河南省 开封市,省重点,公办,中学,河南省开封铁路北沿街223号,0378-5951776,河南省,开封市,
293,宜昌市第一中学,湖北,宜昌市第一中学（宜昌一中）,湖北省 宜昌市 西陵区,省重点,公办,中学,宜昌市西陵二路4号,0717-6774074,湖北省,宜昌市,西陵区
294,湖南省娄底市第一中学,湖南,娄底一中,湖南省 娄底市,省重点,公办,中学,湖南省娄底市娄星区贤童街10号娄底市第一中学,,湖南省,娄底市,
295,延边第二中学,吉林,吉林省延边第二中学（延边二中）,吉林省 延边 延吉市,省重点,公办,中学,吉林省延边朝鲜族自治州延吉市,,吉林省,延边,延吉市
296,江苏省镇江市第一中学,江苏,镇江一中,江苏省 镇江市 京口区,省重点,公办,中学,江苏省镇江市京口区谷阳路208号,0511-88722812,江苏省,镇江市,京口区
297,南昌县莲塘第一中学,江西,江西省南昌县莲塘第一中学（莲塘一中）,江西省 南昌市 南昌县,省重点,公办,中学,江西省南昌县莲塘镇澄湖西路1566号,0791-85761902,江西省,南昌市,南昌县
298,莒县第一中学,山东,,,,,,,,,,
299,新泰市第一中学,山东,新泰市第一中学（新泰一中）,山东省 泰安市 新泰市,省重点,公办,中学,山东省泰安市新泰市青云路789号,0538-7235936,山东省,泰安市,新泰市
300,太原市知达常青藤中学校,山西,,,,,,,,,,
301,长治二中,山西,山西省长治市第二中学（长治二中）,山西省 长治市 ,省重点,公办,中学,山西省长治市府上街25号,0355-2024118,山西省,长治市,
302,宝鸡中学,陕西,陕西宝鸡中学,陕西省 宝鸡市,省重点,公办,中学,陕西省宝鸡市东开发区高新大道29号,0917-8625066,陕西省,宝鸡市,
303,上海市格致中学,上海,上海市格致中学,上海市 黄浦区,市重点,公办,中学,上海市黄浦区广西北路66号,021-63615180 021-63510228,上海市,上海市,黄浦区
304,上海市世界外国语中学,上海,上海市世界外国语中学（世外中学）,上海市 徐汇区,市重点,民办,中学,上海市徐汇区虹漕南路602号,021-54198567,上海市,上海市,徐汇区
305,拉萨中学,西藏,西藏自治区拉萨中学,西藏 拉萨市,省重点,公办,中学,西藏自治区拉萨林廓西路32号,0891-6823198,西藏,拉萨市,
306,香港培正中學,香港,,,,,,,,,,
307,玉溪第一中学,云南,云南省玉溪第一中学（玉溪一中）,云南省 玉溪市 ,省重点,公办,中学,云南省玉溪市太极路21号,0877-2024003  0877-8882095,云南省,玉溪市,
308,慈溪市上林初级中学教育集团,浙江,,,,,,,,,,
309,温州市实验中学,浙江,温州市实验中学,浙江省 温州市,省重点,公办,中学,浙江省温州市府前街,0577-88291116,浙江省,温州市,
310,浙江省杭州高级中学,浙江,杭州高级中学钱江校区,浙江省 杭州市 上城区,市重点,公办,中学,浙江省杭州市上城区之江东路1958号,0571-86988717,浙江省,杭州市,上城区
311,重庆市第二外国语学校,重庆,温州第二外国语学校（温州二外）,浙江省 温州市 瓯海区,省重点,公办,中学,浙江省温州市瓯海区南白象街道南湖路,0577-85701188　0577-85701567,浙江省,温州市,瓯海区
312,合肥市第四十五中学,安徽,合肥四十五中（合肥45中）,安徽省 合肥市 庐阳区,省重点,公办,中学,安徽省合肥市六安路65号,0551-2647064,安徽省,合肥市,庐阳区
313,鏡平學校中學部,澳门,,,,,,,,,,
314,北京市第五中学,北京,北京市第五中学（北京五中）,北京市 东城区,市重点,公办,中学,北京市东城区细管胡同13号,010-64042971/64040729,北京市,北京市,东城区
315,福建省安溪第一中学,福建,福建省安溪一中,福建省 泉州市 安溪县,省重点,公办,中学,泉州市安溪县安溪县中心部,3232331,福建省,泉州市,安溪县
316,福建省长汀县第一中学,福建,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
317,福州时代中学,福建,福州市时代中学,福建省 福州市 仓山区,省重点,公办,中学,福建省福州市仓山区程埔路172号,0591-83473994/83476794,福建省,福州市,仓山区
318,广雅中学,广东,广东广雅中学,广东省 广州市 荔湾区,省重点,公办,中学,广东省广州市荔湾区西湾路1号,020-81261232,广东省,广州市,荔湾区
319,六盘水市第三中学,贵州,哈尔滨市第三中学（哈三中）,黑龙江 哈尔滨市 南岗区,省重点,公办,中学,黑龙江省哈尔滨市南岗区果戈里大街415号,0451-53636578,黑龙江,哈尔滨市,南岗区
320,石家庄一中,河北,石家庄市第一中学（石家庄一中）,河北省 石家庄市 桥东区,省重点,公办,中学,河北省石家庄市平安北大街13号,0311--6034130,河北省,石家庄市,桥东区
321,驻马店高级中学,河南,,,,,,,,,,
322,大庆铁人中学,黑龙江,大庆铁人中学,黑龙江 大庆市 让胡路区,省重点,公办,中学,黑龙江省大庆市让胡路区乘风西路6号,0459－5683040,黑龙江,大庆市,让胡路区
323,鹤岗市第一中学,黑龙江,鹤岗市第一中学（鹤岗一中）,黑龙江 鹤岗市 工农区,省重点,公办,中学,黑龙江省鹤岗市工农区禾友路12号,,黑龙江,鹤岗市,工农区
324,浏阳市第一中学,湖南,湖南省浏阳市第一中学（浏阳一中）,湖南省 长沙市 浏阳市,省重点,公办,中学,湖南省长沙市浏阳市车站中路34,0731-83612040,湖南省,长沙市,浏阳市
325,常州外国语学校,江苏,,,,,,,,,,
326,江苏省丹阳高级中学,江苏,江苏丹阳高级中学,江苏省 镇江市 丹阳市,省重点,公办,中学,江苏省丹阳市新民西路138号,0511-86522062　传真：0511-86522062,江苏省,镇江市,丹阳市
327,江苏省如东高级中学,江苏,江苏如东高级中学,江苏省 南通市 如东县,省重点,公办,中学,江苏省如东县掘港镇香格里大街9号,51384199670,江苏省,南通市,如东县
328,赣县中学,江西,赣县中学,江西省 赣州市 赣　县,省重点,公办,中学,梅林大街55号,0797-4441063,江西省,赣州市,赣　县
329,江西省萍乡中学,江西,江西省萍乡中学,江西省 萍乡市,普通,公办,中学,西城鳌头山,0799-6832817,江西省,萍乡市,
330,聊城第一中学,山东,聊城市第一中学（聊城一中）,山东省 聊城市 东昌府区,省重点,公办,中学,山东省聊城市东昌府区双街144号,0635-8249743,山东省,聊城市,东昌府区
331,山东省昌乐二中,山东,昌乐二中,山东省 潍坊市 昌乐县,省重点,公办,中学,山东省潍坊市昌乐县行政西街7号,0536-6295777,山东省,潍坊市,昌乐县
332,寿光市第一中学,山东,寿光一中,山东省 潍坊市 寿光市,市重点,公办,中学,山东省寿光市文圣街2396号,0536-5222378   0536-5265770,山东省,潍坊市,寿光市
333,淄博实验中学,山东,,,,,,,,,,
334,长治学院附属太行中学校,山西,,,,,,,,,,
335,陕西省西安中学,陕西,陕西省西安中学,陕西省 西安市 经开区,省重点,公办,中学,陕西省西安经济技术开发区凤城五路,029-86537091,陕西省,西安市,经开区
336,上海市建平中学,上海,上海市建平中学西校,上海市 浦东新区,市重点,公办,中学,上海市浦东区东方路420号,021-58310316,上海市,上海市,浦东新区
