集团名称,牵头单位,主管机构,成员数据来源,链接
完中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
完中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
完中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
完中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
完中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
完中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
完中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
长宁区复旦基础教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
长宁区复旦基础教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
长宁区复旦基础教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
长宁区复旦基础教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
长宁区复旦基础教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
长宁区复旦基础教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市西延安中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市西延安中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市西延安中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市娄山中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市娄山中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市娄山中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市天山初级中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市天山初级中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市天山初级中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
迎园教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
迎园教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
迎园教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
中科•嘉一教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
中科•嘉一教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
中科•嘉一教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
中科•嘉一教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
中科•嘉一教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
中科•嘉一教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
中科·实验教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
新城教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
新城教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
新城教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
新城教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
疁城教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
疁城教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
疁城教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
真新教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
青浦区实验中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
青浦区实验中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
世外·尚美中学集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
世外·尚美中学集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
七宝中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
七宝中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
七宝中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
七宝中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
七宝中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
七宝中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
七宝中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
七宝中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
七宝中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
七宝中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
七宝中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
七宝中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
交大附中（闵行）教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
交大附中（闵行）教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
交大附中（闵行）教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
交大附中（闵行）教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海师范大学附属中学（闵行）教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海师范大学附属中学（闵行）教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海师范大学附属中学（闵行）教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海师范大学附属中学（闵行）教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
华东师范大学闵行基础教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
松江区民乐学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
松江区民乐学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
松江区民乐学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
松江区民乐学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
松江区民乐学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
松江区民乐学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
松江区民乐学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
松江区第七中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
松江区第七中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
松江区第七中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
松江区第七中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
松江区第七中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
松江区第四中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
松江区第四中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
松江区第四中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
松江区第四中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
松江区第四中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
松江区第四中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
三新学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
三新学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
三新学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
三新学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
三新学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
三新学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区实验中学集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区实验中学集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区实验中学集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区实验中学集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区实验中学集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区实验中学集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区汇贤中学集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区汇贤中学集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区汇贤中学集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区汇贤中学集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区汇贤中学集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区汇贤中学集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区汇贤中学集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区育秀实验学校集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区育秀实验学校集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区育秀实验学校集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区育秀实验学校集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区育秀实验学校集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区育秀实验学校集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区青溪中学集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区青溪中学集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区青溪中学集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区青溪中学集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区弘文学校集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区弘文学校集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区弘文学校集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区弘文学校集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤区弘文学校集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤中学集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤中学集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
奉贤中学集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
蒙山教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
蒙山教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
蒙山教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
蒙山教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
金中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
金中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
罗星教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
罗星教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
罗星教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
罗星教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
枫泾中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
枫泾中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
天津外国语大学教育集团,,天津市,官网,http://tfsueg.tjfsu.edu.cn/jtjs.htm
天津外国语大学教育集团,,天津市,官网,http://tfsueg.tjfsu.edu.cn/jtjs.htm
天津外国语大学教育集团,,天津市,官网,http://tfsueg.tjfsu.edu.cn/jtjs.htm
天津外国语大学教育集团,,天津市,官网,http://tfsueg.tjfsu.edu.cn/jtjs.htm
天津外国语大学教育集团,,天津市,官网,http://tfsueg.tjfsu.edu.cn/jtjs.htm
天津外国语大学教育集团,,天津市,官网,http://tfsueg.tjfsu.edu.cn/jtjs.htm
天津外国语大学教育集团,,天津市,官网,http://tfsueg.tjfsu.edu.cn/jtjs.htm
天津外国语大学教育集团,,天津市,官网,http://tfsueg.tjfsu.edu.cn/jtjs.htm
天津外国语大学教育集团,,天津市,官网,http://tfsueg.tjfsu.edu.cn/jtjs.htm
天津外国语大学教育集团,,天津市,官网,http://tfsueg.tjfsu.edu.cn/jtjs.htm
天津南开学校教育集团,,天津市,,https://mp.weixin.qq.com/s?__biz=MzI1NDUxNTY5MA==&mid=2247522945&idx=1&sn=0d6458b181d74506c05dc99461ecb8d6&chksm=e9c6da04deb1531211421ee4ab54b01552c293e68e0bc0e4a21a5645b2172fe109e28ab979a1&scene=27
天津南开学校教育集团,,天津市,,https://mp.weixin.qq.com/s?__biz=MzI1NDUxNTY5MA==&mid=2247522945&idx=1&sn=0d6458b181d74506c05dc99461ecb8d6&chksm=e9c6da04deb1531211421ee4ab54b01552c293e68e0bc0e4a21a5645b2172fe109e28ab979a1&scene=28
天津南开学校教育集团,,天津市,,https://mp.weixin.qq.com/s?__biz=MzI1NDUxNTY5MA==&mid=2247522945&idx=1&sn=0d6458b181d74506c05dc99461ecb8d6&chksm=e9c6da04deb1531211421ee4ab54b01552c293e68e0bc0e4a21a5645b2172fe109e28ab979a1&scene=29
天津南开学校教育集团,,天津市,,https://mp.weixin.qq.com/s?__biz=MzI1NDUxNTY5MA==&mid=2247522945&idx=1&sn=0d6458b181d74506c05dc99461ecb8d6&chksm=e9c6da04deb1531211421ee4ab54b01552c293e68e0bc0e4a21a5645b2172fe109e28ab979a1&scene=30
天津南开学校教育集团,,天津市,,https://mp.weixin.qq.com/s?__biz=MzI1NDUxNTY5MA==&mid=2247522945&idx=1&sn=0d6458b181d74506c05dc99461ecb8d6&chksm=e9c6da04deb1531211421ee4ab54b01552c293e68e0bc0e4a21a5645b2172fe109e28ab979a1&scene=31
和平岳阳教育集团,,天津市,百家号：凤凰网房产,https://baijiahao.baidu.com/s?id=1718002390895796143&wfr=spider&for=pc
和平万全教育集团,,天津市,百家号：凤凰网房产,https://baijiahao.baidu.com/s?id=1718002390895796143&wfr=spider&for=pc
和平昆明教育集团,,天津市,百家号：凤凰网房产,https://baijiahao.baidu.com/s?id=1718002390895796143&wfr=spider&for=pc
上海道小学教育集团,,天津市,百家号：凤凰网房产,https://baijiahao.baidu.com/s?id=1718002390895796143&wfr=spider&for=pc
河东实验教育集团,,天津市,百家号：凤凰网房产,https://baijiahao.baidu.com/s?id=1718002390895796143&wfr=spider&for=pc
七中教育集团,,天津市,百家号：凤凰网房产,https://baijiahao.baidu.com/s?id=1718002390895796143&wfr=spider&for=pc
育婴里小学教育集团,,天津市,百家号：凤凰网房产,https://baijiahao.baidu.com/s?id=1718002390895796143&wfr=spider&for=pc
红桥区实验小学教育集团,,天津市,百家号：凤凰网房产,https://baijiahao.baidu.com/s?id=1718002390895796143&wfr=spider&for=pc
天津师范学校附属小学教育集团,,天津市,百家号：凤凰网房产,https://baijiahao.baidu.com/s?id=1718002390895796143&wfr=spider&for=pc
文昌教育集团,,天津市,百家号：凤凰网房产,https://baijiahao.baidu.com/s?id=1718002390895796143&wfr=spider&for=pc
天津市第三中学教育集团,,天津市,百家号：凤凰网房产,https://baijiahao.baidu.com/s?id=1718002390895796143&wfr=spider&for=pc
天津市第五中学教育集团,,天津市,百家号：凤凰网房产,https://baijiahao.baidu.com/s?id=1718002390895796143&wfr=spider&for=pc
天津市民族中学教育集团,,天津市,百家号：凤凰网房产,https://baijiahao.baidu.com/s?id=1718002390895796143&wfr=spider&for=pc
