中学名称,地区,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
襄樊市先达电脑培训中心,湖北省 襄阳市,全国重点,公办,职业学校,襄樊饭店三楼,0-13972075687,湖北省,襄阳市,
襄樊市农广校,湖北省 襄阳市 襄城区,全国重点,公办,职业学校,襄樊市襄城区陵园路1号,0710-3531247,湖北省,襄阳市,襄城区
天门市农广校,湖北省 恩施 恩施市,全国重点,公办,职业学校,天门市陆羽大道,0728-5332353,湖北省,恩施,恩施市
潜江市技工学校,湖北省 恩施 恩施市,全国重点,公办,职业学校,解放路3号,0728-6242738,湖北省,恩施,恩施市
潜江市农广校,湖北省 恩施 恩施市,全国重点,公办,职业学校,潜阳大道22号潜江市农技推广中心,0728-6236122,湖北省,恩施,恩施市
潜江市农经干校,湖北省 恩施 恩施市,全国重点,公办,职业学校,潜江市园林镇,0728-623829,湖北省,恩施,恩施市
利川市农机学校,湖北省 恩施 恩施市,全国重点,公办,职业学校,利川市龙船大道利川市农业局,0718-7210887,湖北省,恩施,恩施市
湖北省潜江市技校,湖北省 恩施 恩施市,全国重点,公办,职业学校,潜江市红梅路,0728-6240137,湖北省,恩施,恩施市
鄂州市农经干校,湖北省 恩施 恩施市,全国重点,公办,职业学校,鄂州市沼山镇,0711-2463998,湖北省,恩施,恩施市
鄂州中等专业学校,湖北省 恩施 恩施市,全国重点,公办,职业学校,鄂州市古城路123号,0711-3864044,湖北省,恩施,恩施市
鄂州市中南职业培训学校,湖北省 恩施 恩施市,全国重点,公办,职业学校,鄂州市古楼北路(百子畈科技大厦),0711-3864999,湖北省,恩施,恩施市
宣恩县农广校,湖北省 恩施 恩施市,全国重点,公办,职业学校,民族路16号,0718-5823340,湖北省,恩施,恩施市
张掖市技工学校,甘肃省,全国重点,公办,职业学校,张火公路500米处,0936-8212760,甘肃省,,
重庆南川市兴南中学,重庆市 南川市,全国重点,公办,职业学校,南川市南城办事处文化馆内,023-71436119,重庆市,重庆市,南川市
重庆江北区茳北计算机学校,浙江省 宁波市 江北区,全国重点,公办,职业学校,观音桥建新东路13号锦鑫大厦3楼,023-66714120,浙江省,宁波市,江北区
重庆市知研时尚职业培训学校,浙江省 宁波市 江北区,全国重点,公办,职业学校,重庆江北观音桥北城天街北岸星座十三楼,023-67738033 67730878 黄老师,浙江省,宁波市,江北区
湖南省长沙市化学工业局化工技校,湖南省 长沙市 长沙县,全国重点,公办,职业学校,韶山北路355号,0731-4136921,湖南省,长沙市,长沙县
湖南省醴陵市湘宏职业技术学校,湖南省,全国重点,公办,职业学校,醴陵市胜利路群英巷6号,0733-3244888,湖南省,,
湖南省株洲市北大星艺术学校,湖南省 株洲市,全国重点,公办,职业学校,荷塘区荷塘小学内,0733-8481698,湖南省,株洲市,
湖南省株洲市春之声艺术学校,湖南省 株洲市,全国重点,公办,职业学校,体育路5号,0733-6347401,湖南省,株洲市,
湖南省株洲市科学技术进修学院,湖南省 株洲市,全国重点,公办,职业学校,芦淞区新华西路5号,0733-8222340,湖南省,株洲市,
湖南省株洲市科教培训学校,湖南省 株洲市,全国重点,公办,职业学校,七一路口雅尔楼三楼,0733-8201998,湖南省,株洲市,
湖南省株洲市飞响职业技术学校,湖南省 株洲市,全国重点,公办,职业学校,荷塘区水仙路6号,0733-8418585　 谢件云,湖南省,株洲市,
湖南省常德富达电脑学校,湖南省 常德市,全国重点,公办,职业学校,德山开发区苏家渡,0736-7340560,湖南省,常德市,
湖南资兴市机电成人中等专业学校,湖南省,全国重点,公办,职业学校,星宁镇环城东路75号,0735-3331113,湖南省,,
益阳市第二技工学校,湖南省,全国重点,公办,职业学校,栖霞路8号,0737-4111305,湖南省,,
湖南怀化铁路总公司运输技工学校,湖南省 怀化市,全国重点,公办,职业学校,桐冲村10号,0745-2766108,湖南省,怀化市,
抚顺市女职专,辽宁省 抚顺市,全国重点,公办,职业学校,顺城区新城路西段18号,0413-7101272,辽宁省,抚顺市,
抚顺市广播电视中专,辽宁省 抚顺市,全国重点,公办,职业学校,新抚区新抚路65号,0413-2334043,辽宁省,抚顺市,
抚顺市实用技术学校,辽宁省 抚顺市,全国重点,公办,职业学校,小西街55号,0413-5214365,辽宁省,抚顺市,
丹东市劳动局第一技工学校,辽宁省 丹东市,全国重点,公办,职业学校,振兴区春三路8号,0415-6161192,辽宁省,丹东市,
振华企业教练咨询中心,江西省 南昌市 南昌县,全国重点,公办,职业学校,江西南昌洪都中大道248号,0791-2975821,江西省,南昌市,南昌县
金溪县环宇现代教育学校,江西省,全国重点,公办,职业学校,金溪县秀谷西大道（财政局对面）,0794-5299763,江西省,,
吉安影视芝术学校,江西省,全国重点,公办,职业学校,青原大道2号,0796-8882198,江西省,,
西藏农业广播学校,西藏 拉萨市,全国重点,公办,职业学校,西藏自治区拉萨市金珠中路金农巷5号,0891-6866570,西藏,拉萨市,
大庆市新视觉艺术学校,黑龙江 大庆市,全国重点,公办,职业学校,大庆市萨尔图区新村湖滨小区1＃楼331,0459-6610012,黑龙江,大庆市,
牡丹江希望外语学校,黑龙江 牡丹江市,全国重点,公办,职业学校,牡丹江市新华影剧院内,0453-6547555,黑龙江,牡丹江市,
福州逸仙业余职业学校,福建省 福州市,全国重点,公办,职业学校,福建省福州市鼓楼区实验学校内,0791-87826765,福建省,福州市,
福建省兰德职业培训学校,福建省 福州市,全国重点,公办,职业学校,福建省政府大院后山省政府办公厅干部培训中心内,0591-87825085 练小姐,福建省,福州市,
福建财会管理干部学院,福建省 福州市,全国重点,公办,职业学校,福州津泰路238号,0591-87538427 陈老师,福建省,福州市,
福建省泉州光电信息职业学院,福建省 福州市,全国重点,公办,职业学校,石狮市厝仔工业区,0595-88911680,福建省,福州市,
福建省武夷山市中等技术学校,福建省 福州市,全国重点,公办,职业学校,党校路33号,0599-5303497,福建省,福州市,
福建省福州市新时代成人职业技术学校,福建省 福州市,全国重点,公办,职业学校,福兴投资区福光路138号,0591-83629786,福建省,福州市,
福建烹饪商务中等技术学校,福建省 福州市,全国重点,公办,职业学校,福清城关屏西路69号,0591-5166778,福建省,福州市,
福建省泉州市鲤中现代电脑学校,福建省 福州市,全国重点,公办,职业学校,泉州西街鲤中文化中心三楼 (影剧院对面),0591-223767,福建省,福州市,
福建省技术监督干部学校,福建省 福州市,全国重点,公办,职业学校,杨桥西路山头角121号,0591-3717144,福建省,福州市,
南平市成人中等专业学校,福建省,全国重点,公办,职业学校,福建省南平市马坑路34号汽配厂大门口正对面,0599-8610604,福建省,,
福建省宁德市霞浦中等技术学校,福建省,全国重点,公办,职业学校,青龙土门子乡,0593-8892790,福建省,,
福鼎市卫生职工中专学校,福建省,全国重点,公办,职业学校,福鼎市城关山前174号,0593-7853063,福建省,,
刚化美容职业技能培训学校,天津市 和平区,全国重点,公办,职业学校,天津市和平区保定道59号,022-23322269,天津市,天津市,和平区
丽人美容美发学校,天津市 和平区,全国重点,公办,职业学校,东站公交广场两侧天桥旁通达饭店四楼,022-24451206,天津市,天津市,和平区
天津市经济管理职业是等专业学校,天津市 和平区,全国重点,公办,职业学校,天津市和平区西藏路1号(原经济管理干部学院附属职专),022-27229068,天津市,天津市,和平区
天津经济技术开发职业中等专业学校,天津市 和平区,全国重点,公办,职业学校,天津市和平区气象台路同安道,022-23042294,天津市,天津市,和平区
天津市华夏艺术职专,天津市 河东区,全国重点,公办,职业学校,天津市河东区华昌大街育才路3号,022-24550154 刘安娜,天津市,天津市,河东区
天津市北方友谊职专,天津市 河西区,全国重点,公办,职业学校,河西区广东路211号（天津乐园附近,022-28228444,天津市,天津市,河西区
天津市实验职业学校,天津市 河西区,全国重点,公办,职业学校,天津市河西区沽海路春阳大街6号,022-28279080  28277600    28277575,天津市,天津市,河西区
天津世纪发职业技能培训学校,天津市 河西区,全国重点,公办,职业学校,天津市河西区友谊路39号,022-2835805,天津市,天津市,河西区
天津统计职业中专,天津市 河西区,全国重点,公办,职业学校,天津市河西区土城春阳大街4-6号,022-88227960,天津市,天津市,河西区
天津市斯波泰克现代高级技术学校,天津市 河西区,全国重点,公办,职业学校,黑牛城道洪泽路南26号,022-28333871,天津市,天津市,河西区
多姿美容美发学校,天津市 南开区,全国重点,公办,职业学校,天津市南开区服装街26号(东门),022-27340400,天津市,天津市,南开区
天津涉外工贸职业中专美发美容培训学校,天津市 南开区,全国重点,公办,职业学校,天津市南开区密云路39号,022-27369944,天津市,天津市,南开区
天津市环境管理中等职业学校,天津市 南开区,全国重点,公办,职业学校,天津市南开三纬路49号,021-83710541,天津市,天津市,南开区
天津市涉外综合职业学校,天津市 南开区,全国重点,公办,职业学校,南开区育梁道2号与水上公园路交口处（卫生培训中心院内）,022-23698266,天津市,天津市,南开区
天津市博仁职业技术学校,天津市 南开区,全国重点,公办,职业学校,鞍山西道玉泉路北段（工业用呢厂以西）义兴里140号,022-27482302 陈秀英　丁介歧,天津市,天津市,南开区
天津标榜发型美容职业技能培训中心,天津市 河北区,全国重点,公办,职业学校,天津市河北水树林新大路189号五金城5楼,022-24306760,天津市,天津市,河北区
天津市渤海职业中等专业学校,天津市 河北区,全国重点,公办,职业学校,靖江桥乌江道南头,022-26330256 王立,天津市,天津市,河北区
塘沽奥丽美发美容艺术学校,天津市 塘沽区,全国重点,公办,职业学校,天津市塘沽杨柳路3号,022-25858301,天津市,天津市,塘沽区
兴化顺达驾驶培训学校,江苏省 泰州市,全国重点,公办,职业学校,江苏省兴化市顺达路1号,0523-6888777,江苏省,泰州市,
靖江财校,江苏省 泰州市,全国重点,公办,职业学校,靖江市新建路,0523-4823648,江苏省,泰州市,
广州市中华会计成人中等专业学校,广东省 广州市,全国重点,公办,职业学校,广州市中山六路将军西路26号,020-83380970,广东省,广州市,
梅州市工业学校,广东省 梅州市,全国重点,公办,职业学校,广东省梅州市城东金盘桥,0753-2161898,广东省,梅州市,
柳州市技术监督技工学校,广西 柳州市,全国重点,公办,职业学校,广西柳州市潭中大道海关路7号,0772-2610774,广西,柳州市,
西安外事服务培训学院,陕西省 西安市,全国重点,公办,职业学校,西安市鱼化寨西安外事服务培训学院内,029-8511110,陕西省,西安市,
西安市碑林区新世纪电脑职业技能培训学校,陕西省 西安市,全国重点,公办,职业学校,西安文艺北路48号,029-7890085,陕西省,西安市,
西安群利技术学校,陕西省 西安市,全国重点,公办,职业学校,潘家庄工业园区５号,029-85332577,陕西省,西安市,
西安新城驰骋国际英语培训学校,陕西省 西安市,全国重点,公办,职业学校,金花北路169号天彩大厦,029-82501233,陕西省,西安市,
西安新城瑞友新时空培训学校,陕西省 西安市,全国重点,公办,职业学校,西安市通济坊小学内,029-7445059,陕西省,西安市,
陕西金才技术学校,陕西省 西安市,全国重点,公办,职业学校,友谊路23号,029-88056016,陕西省,西安市,
西安莲湖圣亚外语培训学校,陕西省 西安市,全国重点,公办,职业学校,西安药王洞128号,029-4626081,陕西省,西安市,
西安陆奇文化教育培训学校,陕西省 西安市,全国重点,公办,职业学校,西安市劳动南路187号草阳饭店316房,029-84698166,陕西省,西安市,
西安欧朋语言培训学校,陕西省 西安市,全国重点,公办,职业学校,西安含光路７４号,029-5253639,陕西省,西安市,
陕西银河乒乓球职业中等专业学校,陕西省 西安市,全国重点,公办,职业学校,西安市文艺北路139号,029-87487802 张明,陕西省,西安市,
陕西五洲经济贸易职业学校,陕西省 西安市,全国重点,公办,职业学校,西安市大兴西路84号,029-84428157 姚庆伟,陕西省,西安市,
陕西省建材技工学校,陕西省 铜川市,全国重点,公办,职业学校,陕西省铜川市耀州区东关,0919-6232511,陕西省,铜川市,
陕西服装艺术学院,陕西省 咸阳市,全国重点,公办,职业学校,陕西咸阳南郊开发区,0910-8114111,陕西省,咸阳市,
陕西省定边县职业技能培训学校,陕西省,全国重点,公办,职业学校,陕西省定边县劳动服务科金龙饭店,0912-4224482,陕西省,,
陕西省高效设施农业技术培训学校,陕西省,全国重点,公办,职业学校,陕西省渭南市大荔县,0913-3222296 岳海亮,陕西省,,
陕西铁路工程职业技术学院,陕西省,全国重点,公办,职业学校,陕西省渭南市临渭区站北路,0913-2221126,陕西省,,
中国水利水电第三工程局技工学校,陕西省,全国重点,公办,职业学校,陕西省安康市汉滨区江北办前张岭,0915-3434635,陕西省,,
山西省长治市教育学院,山西省 长治市,全国重点,公办,职业学校,城西北路11号,0355-2088594,山西省,长治市,
少林寺嵩岳文武学校,河南省,全国重点,公办,职业学校,河南省登封市少林寺嵩岳文武学校,0371-62803278 释行生,河南省,,
丽声音乐艺术学校,河南省,全国重点,公办,职业学校,郑州西大街105号南顺城街交叉口,0371-66283808 66240318,河南省,,
郑州优尼卡外国语学校,河南省,全国重点,公办,职业学校,农科路38号金城国际广场西侧,0371－65861466 65861488,河南省,,
独树外语学校,河南省,全国重点,公办,职业学校,文化路91号独树外语学校三楼305、306室,0371－63584137 63584138 65062706 李云帆 主任,河南省,,
郑州众力外语学校,河南省,全国重点,公办,职业学校,陇海路与铁文路交叉口向南苗圃小区林管所二楼,0371-61539219 杨老师，李老师,河南省,,
郑州会计专修学校,河南省,全国重点,公办,职业学校,大学路77号,0371-67448630 6580882 68886642 李老师,河南省,,
郑州大学远程教育学院,河南省,全国重点,公办,职业学校,郑州大学南校区逸夫楼四楼,0371-67762463,河南省,,
北京经济管理函授学院郑州函站,河南省,全国重点,公办,职业学校,郑州工人路市委党校大门口临街楼二楼党校会计培训中心,0371-66689307,河南省,,
郑州工业安全职业学院,河南省,全国重点,公办,职业学校,河南郑州新郑永宁街,0371-62600174,河南省,,
河南化学工业高级技工学校,河南省,全国重点,公办,职业学校,河南开封东郊益农路,0378-2918608,河南省,,
河南省质量工程学校,河南省,全国重点,公办,职业学校,河南省平顶山市叶宝路中段,0375-4966438,河南省,,
河南省延津县英杰文武学校,河南省,全国重点,公办,职业学校,河南省延津县城南关,0373-7674671,河南省,,
安阳文武学校,河南省,全国重点,公办,职业学校,安阳市汤阴县永通路西段路南,0372-6205305,河南省,,
衡东县武术职业学校,河南省,全国重点,公办,职业学校,衡东县城关南正街杨山路,0734-8216658 赵老师,河南省,,
濮阳广播电视中等专业学校,河南省,全国重点,公办,职业学校,濮阳市建设路12号,0375-4417271,河南省,,
河南省三门峡市中等专业学校,河南省,全国重点,公办,职业学校,河南省三门峡市文化路,0398-2976255,河南省,,
济源市卫生职业中等专业学校,河南省,全国重点,公办,职业学校,健康路东段,0391-6652497,河南省,,
河南周口卫生学校,河南省,全国重点,公办,职业学校,河南省周口市七一路东段７１号,0394-8228647,河南省,,
周口市四通镇兴华职业技术学校,河南省,全国重点,公办,职业学校,周口市四通镇兴华技校  （市内乘鹿邑、商丘公共汽车到四通镇下车即到）,0394-2732778,河南省,,
安徽省国际公共关系协会职业技能培训,安徽省 合肥市,全国重点,公办,职业学校,宿州路317号,0551-2614998 张向阳,安徽省,合肥市,
肥东县科协科普活动中心,安徽省 合肥市 肥东县,全国重点,公办,职业学校,肥东县乡企委科技大厦5楼,0551-7738936,安徽省,合肥市,肥东县
安徽铜陵有色技工学校,安徽省 铜陵市,全国重点,公办,职业学校,淮河路186号,0562—2837414,安徽省,铜陵市,
安徽省农业广播电视学校铜陵县分校,安徽省 铜陵市,全国重点,公办,职业学校,铜陵县职成教中心农广校（城东路72号）,0562-2211718 郜金海,安徽省,铜陵市,
安徽省铜陵市工业学校,安徽省 铜陵市,全国重点,公办,职业学校,长江东路劳动新村（长江路东端）,0562-2117188 鲍老师、汪老师,安徽省,铜陵市,
芜湖思锐培训学校,安徽省 芜湖市,全国重点,公办,职业学校,南瑞新城AF－19－1,0553-4116262,安徽省,芜湖市,
芜湖市总工会职工学校,安徽省 芜湖市,全国重点,公办,职业学校,芜湖市沿河路百龙商城一幢,0553-3863179,安徽省,芜湖市,
芜湖市劳动局技工学校南陵分校,安徽省 芜湖市,全国重点,公办,职业学校,城关镇陵阳路五局大楼４楼,0553-3338755 柯亚莉,安徽省,芜湖市,
淮南豆腐宴专科学校,安徽省 淮南市,全国重点,公办,职业学校,安徽省淮南市谢家集区芳草园社区服务中心二楼,0554-5674877,安徽省,淮南市,
淮南华夏技术学校,安徽省 淮南市,全国重点,公办,职业学校,安徽省淮南市洞山中路,0554-6661120,安徽省,淮南市,
淮南市新星技术学校,安徽省 淮南市,全国重点,公办,职业学校,淮南市田区人民路,0554-3623338,安徽省,淮南市,
安徽省六安市第二高级职业中学,安徽省 安庆市,全国重点,公办,职业学校,六安市龙河路,0564-3309429 张家鼐,安徽省,安庆市,
枞阳县向阳电脑学校,安徽省 安庆市,全国重点,公办,职业学校,枞阳镇湖滨路53号,0556-2811698 周旭东,安徽省,安庆市,
安徽省农业广播电视学校枞阳县分校,安徽省 安庆市,全国重点,公办,职业学校,枞阳镇渡江路一号,0556-2817290 疏长俊,安徽省,安庆市,
太湖县乡镇企业培训中心,安徽省 安庆市,全国重点,公办,职业学校,太湖县乡镇企业局（新城人民路２９号）,0556-4162456 占福学,安徽省,安庆市,
安徽省太湖县职业技术培训中心,安徽省 安庆市,全国重点,公办,职业学校,太湖县新城龙山路43号,0556-4161124 毛晓兵,安徽省,安庆市,
安徽省宁国市中溪职业高级中学,安徽省 黄山市,全国重点,公办,职业学校,宁国市中溪镇,0563-4675178 陈万全,安徽省,黄山市,
琼琼电机缝纫培训中心,安徽省 黄山市,全国重点,公办,职业学校,休宁县海阳镇厚田里64号,0559-3311639 唐月红,安徽省,黄山市,
歙县南源口乡成人文化技术学校,安徽省 黄山市,全国重点,公办,职业学校,歙县南源口乡,0559-6539100 方光钦,安徽省,黄山市,
安徽阜阳科技职业学院,安徽省,全国重点,公办,职业学校,安徽省阜阳市颍州区阜临路83号,0551-2823795,安徽省,,
阜阳向阳美容美发专业学校,安徽省,全国重点,公办,职业学校,人民中路121号典式二号,0-13855841089 白启山,安徽省,,
阜阳乾坤电脑培训学校,安徽省,全国重点,公办,职业学校,阜阳清河西路,0558-2566267 孙艳梅,安徽省,,
安徽省阜阳机械技工学校,安徽省,全国重点,公办,职业学校,阜阳市泉河北红旗路25号,0558-2626246,安徽省,,
颍州区程集镇慧兴服装学校,安徽省,全国重点,公办,职业学校,程集镇开发区,0558-3801749,安徽省,,
程集王恒服装技校,安徽省,全国重点,公办,职业学校,利辛县程家集镇,0558-8981398,安徽省,,
款新服装技校,安徽省,全国重点,公办,职业学校,巩店镇魏寨村,0558-8088676,安徽省,,
安徽马鞍山钢铁设计研究院,安徽省 马鞍山市,全国重点,公办,职业学校,安徽省马鞍山市湖南路25号,0555—2323221,安徽省,马鞍山市,
安徽省马鞍山市职业教育中心,安徽省 马鞍山市,全国重点,公办,职业学校,金字塘路2号,0555-2810690 季跃波,安徽省,马鞍山市,
当涂县石桥成人文化技术学校,安徽省 马鞍山市,全国重点,公办,职业学校,当涂县石桥镇,0555-6215142,安徽省,马鞍山市,
宁国市农业机械化学校,安徽省,全国重点,公办,职业学校,宁国市工业东路51号,0563－4022394 徐福宝,安徽省,,
宣城市宣州寒亭高级职业中学,安徽省,全国重点,公办,职业学校,宣城市宣州区寒亭镇新街,0563-3975120 程延文,安徽省,,
宁国市烹饪协会（宁国市中式烹调培训中心）,安徽省,全国重点,公办,职业学校,宁国市宁阳宾馆一楼,0-13865321338 徐义胜,安徽省,,
郎溪县第二高级职业中学,安徽省,全国重点,公办,职业学校,郎溪县,0563-7031334 杨思国,安徽省,,
郎溪县劳动就业培训管理中心,安徽省,全国重点,公办,职业学校,郎溪县中港路,0563-7021370 李宝华,安徽省,,
安徽省宁国市就业培训指导中心,安徽省,全国重点,公办,职业学校,宁国市宁城北路,0563-4035001 揭厚胜,安徽省,,
宁国市电动缝纫培训,安徽省,全国重点,公办,职业学校,宁国市津河西路126号,0563-4100084 陈卫星,安徽省,,
滁州市南谯区农广校,安徽省 滁州市,全国重点,公办,职业学校,滁州市南谯路58号,0550-3026364,安徽省,滁州市,
定远县姐弟培训学校,安徽省 滁州市,全国重点,公办,职业学校,定远县东城路,0550-4027440 李文,安徽省,滁州市,
定远县第一职业中等专业学校,安徽省 滁州市,全国重点,公办,职业学校,定远县,0550-4022091 燕登朝,安徽省,滁州市,
定远县农业广播电视学校,安徽省 滁州市,全国重点,公办,职业学校,定远县农业委员会,0550-4021807 何明基,安徽省,滁州市,
济南长清区聋校,山东省 济南市 长清区,全国重点,公办,职业学校,长清区平安镇,0531-7412143,山东省,济南市,长清区
山东济南市公用事业技工学校,山东省 济南市,全国重点,公办,职业学校,马轻路152号,0531-8596310,山东省,济南市,
山东省物资学校,山东省 济南市,全国重点,公办,职业学校,前进路22号,0531-2874620,山东省,济南市,
青岛凯敦科技培训学校,山东省 青岛市 市南区,全国重点,公办,职业学校,市南区大尧三路３２号丙,0532-5718380,山东省,青岛市,市南区
平度市聋哑学校,山东省 青岛市 平度市,全国重点,公办,职业学校,平度市青岛路140号,0532-8382284,山东省,青岛市,平度市
普润德印制设计学校,山东省 青岛市,全国重点,公办,职业学校,辽宁路228号电子信息城科信大厦14层,0532-3823016,山东省,青岛市,
山东省青岛满天星职业技能培训学校,山东省 青岛市,全国重点,公办,职业学校,青岛江西路97号,0532-8080860,山东省,青岛市,
淄博艾梯英才网络科技培训学校,山东省 淄博市,全国重点,公办,职业学校,齐赛电脑城126号,0533-2777099,山东省,淄博市,
淄博市周村区卫生学校,山东省 淄博市,全国重点,公办,职业学校,淄博市周村区育才街,0533-6580173,山东省,淄博市,
高青县卫生学校,山东省 淄博市,全国重点,公办,职业学校,高青县青年路16号,0533-9660789,山东省,淄博市,
沂源县卫生学校,山东省 淄博市,全国重点,公办,职业学校,沂源县县城南环路,0533-3241167,山东省,淄博市,
淄博市交通技工学校,山东省 淄博市,全国重点,公办,职业学校,张店区张南路101号,0533-2990558,山东省,淄博市,
山东省淄博市直信息工程学校,山东省 淄博市,全国重点,公办,职业学校,淄博张店共青团东路23号,0533-2284595,山东省,淄博市,
山东省高青县职业教育中心,山东省 淄博市,全国重点,公办,职业学校,淄博市高青县田镇唐北路81号,0533-6962876,山东省,淄博市,
山东省淄博市高级技校,山东省 淄博市,全国重点,公办,职业学校,淄博市颜北路257号,0533-4231512,山东省,淄博市,
山东丝绸工业学校,山东省 淄博市,全国重点,公办,职业学校,山东省淄博市周村区未山路36号,0533-6812846,山东省,淄博市,
山东省高密市财经职业中专,山东省 潍坊市,全国重点,公办,职业学校,高密市西关路南首1号,0536-2343907,山东省,潍坊市,
济宁商业学校,山东省 济宁市,全国重点,公办,职业学校,市中区三二七国道226号,0537-2223625,山东省,济宁市,
昌龙电脑艺术设计专修学校,山东省,全国重点,公办,职业学校,渤海五路黄河四路交叉口北行 100 米路东,0543-3223458,山东省,,
滨州卫生学校,山东省,全国重点,公办,职业学校,渤海八路527号,0543-3364360,山东省,,
山东省枣庄工业学校,山东省 枣庄市,全国重点,公办,职业学校,滕州市龙山路31号,0632-5594388,山东省,枣庄市,
山东省菏泽卫校,山东省,全国重点,公办,职业学校,山东省单县文化路2号,0530-4682009 张怀举,山东省,,
山东省临沂万发汽车维修技术学校,山东省 聊城市,全国重点,公办,职业学校,临沂市金雀山六路8号,0539-8122179,山东省,聊城市,
莱芜市技工学校,山东省 莱芜市,全国重点,公办,职业学校,鲁中大街65号,0634-8806805,山东省,莱芜市,
郭巷职业中学,江苏省 苏州市 ,全国重点,公办,职业学校,郭巷镇郭新东路221号,0512-65961925,江苏省,苏州市,
长沙县开慧职业中专,湖南省 长沙市 长沙县,全国重点,公办,职业学校,长沙县开慧乡,0731-86430873,湖南省,长沙市,长沙县
儿童情商教育咨询及培训认证（淄博、东营、潍坊三地咨询中心）,山东省 淄博市 张店区,全国重点,公办,职业学校,淄博市张店区柳泉路与美食街交汇口华夏国际1512,0533-6120421,山东省,淄博市,张店区
广东青瑞职业培训学院,广东省,全国重点,公办,职业学校,深圳市福田区梅林路11号,0755-36520988,广东省,,
上海琴韵业余音乐学校,上海市 长宁区,普通,公办,职业学校,古北新区里昂花园荣华东道59弄3号301室,021-62786154,上海市,上海市,长宁区
上海电视大学国际交流学院,上海市 杨浦区,普通,公办,职业学校,上海市国顺路288号,021-25653150,上海市,上海市,杨浦区
安徽省接待服务技术培训中心职业技能培训,安徽省 合肥市,全国重点,公办,职业学校,桐城南路405号,0551-3649524 肖昌茂 62657626,安徽省,合肥市,
北京博韬科讯研究院,北京市 西城区,普通,公办,职业学校,宣外大街6号庄胜广场西翼713-716,010-63109952,北京市,北京市,西城区
北京市崇文区卫生学校,北京市 东城区,普通,公办,职业学校,崇文区长青园1号,010-67114493,北京市,北京市,东城区
北京艺沁职业培训学校（赵公口开怡学校）,北京市 东城区,普通,公办,职业学校,赵公口桥向北150米，路西工商银行右侧定安里27号院内,010—87278802,北京市,北京市,东城区
上海体育职业学院,上海市 徐汇区,普通,公办,职业学校,上海市百色路1333号,021-64770058,上海市,上海市,徐汇区
世新进修学院,上海市 黄浦区,全国重点,公办,职业学校,复兴中路369号大同商务大厦4层,021-63743365,上海市,上海市,黄浦区
上海华侨艺术进修学校,上海市 黄浦区,全国重点,公办,职业学校,复兴路1197号,021-64714654,上海市,上海市,黄浦区
上海市终身教育进修学院,上海市 黄浦区,全国重点,公办,职业学校,南昌路127弄9号（瑞金二路口）,021-64739103,上海市,上海市,黄浦区
乾安县教师进修学校,吉林省 辽源市,普通,公办,职业学校,吉林省乾安县乾安镇东北,0438-8222983,吉林省,辽源市,
北京怀柔区第一职业高中,北京市 怀柔区,区重点,公办,职业学校,北京市怀柔区城北雁栖工业开发电话：（010）61667352,（010）61667352,北京市,北京市,怀柔区
山东省特殊教育中等专业学校,山东省 济南市,全国重点,公办,职业学校,山东省济南市济微公路96号,0531-6225984,山东省,济南市,
淄博中韩国际跆拳道学院,山东省 淄博市,普通,私立,职业学校,淄博电视大学（张店世纪路31号）淄博市青少年宫,,山东省,淄博市,
南平师范高等专科学校,福建省 南平市 武夷山市,普通,公办,职业学校,福建省武夷山市武夷大道16号,(0599)5136288,福建省,南平市,武夷山市
北京市大兴区红星中学,北京市 大兴区,全国重点,公办,职业学校,北京市大兴区瀛海镇东一,,北京市,北京市,大兴区
中南林业科技大学楚材教学部,湖南省 长沙市 开福区,普通,公办,职业学校,中南林业科技大学本部成教学院,0731-85011012,湖南省,长沙市,开福区
北京食界风尚国际餐饮管理有限责任公司,北京市 大兴区,普通,民办,职业学校,北京市大兴区旧宫工业区北东区甲八号,010-56212695,北京市,北京市,大兴区
上海英武武术培训中心(卢湾教学点),上海市 黄浦区,普通,公办,职业学校,上海市卢湾区重庆南路308号四楼,021-62160371,上海市,上海市,黄浦区
上海商业职业技术学院,上海市 徐汇区,全国重点,公办,职业学校,中山西路2271号,021-64870020,上海市,上海市,徐汇区
淄博科技职业学 院,山东省 淄博市,全国重点,私立,职业学校,山东省淄博新区联通路西首,0533-2828000,山东省,淄博市,
北京市金都职业技能培训学校,北京市 东城区,全国重点,公办,职业学校,洋桥海户西里12号教学楼金都职业技校站,010-87251784,北京市,北京市,东城区
上海音乐学院,上海市 徐汇区,全国重点,公办,职业学校,汾阳路20号电教大楼116室,021-64370137,上海市,上海市,徐汇区
滁州市南谯区农机化技术学校,安徽省 滁州市,全国重点,公办,职业学校,滁州市滁定路27号,0550-3114328,安徽省,滁州市,
米脂县卫生学校,陕西省,全国重点,公办,职业学校,陕西延安米脂县银南路县医院新门诊楼右侧,0911-623681,陕西省,,
石浦镇社区教育学院,浙江省 宁波市 象山县,普通,公办,职业学校,浙江省象山县石浦镇南屏路68-70,0574-65982558,浙江省,宁波市,象山县
博雅英才教育,四川省 攀枝花市 东　区,普通,私立,职业学校,人民街486号,18282874825,四川省,攀枝花市,东　区
济南纺织工业学校,山东省 济南市,全国重点,公办,职业学校,高远路11号,0531-2796350,山东省,济南市,
