,中学名称,地区,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
4191,成都市启明学校,四川省 成都市 武侯区,区重点,民办,中学,四川省成都市武侯区李家祠,028-85040116,四川省,成都市,武侯区
4192,重庆两江中学,重庆市 渝北区,市重点,公办,中学,重庆市渝北现代农业园区宝圣大道207号,023-67192256,重庆市,重庆市,渝北区
4193,淄博市沂源县韩旺中心学校（中学部）,山东省 淄博市 沂源县,市重点,公办,中学,山东省淄博市沂源县东里镇马家沟村,0533-3380081,山东省,淄博市,沂源县
4194,郑州二砂寄宿学校,河南省 郑州市 中原区,区重点,公办,中学,河南省郑州市中原西路159号,0371-7834963,河南省,郑州市,中原区
4195,上海市清流中学,上海市 浦东新区,区重点,公办,中学,上海市浦东新区上南路801号,021-58837482,上海市,上海市,浦东新区
4196,南宁市江西中学,广西 南宁市 江南区,区重点,公办,中学,广西南宁市江南区江西镇东街,0771—3361145　,广西,南宁市,江南区
4197,南宁市苏圩中学,广西 南宁市 江南区,区重点,公办,中学,南宁市江南区苏圩镇解放街11-1号,0771—4178053 0771-4179023,广西,南宁市,江南区
4198,辽宁省实验中学北校（初中）,辽宁省 沈阳市 于洪区,省重点,民办,中学,辽宁省沈阳市于洪区西江北街117号,024-89293107,辽宁省,沈阳市,于洪区
4199,杭州市翠苑中学（文华校区）,浙江省 杭州市 西湖区,区重点,公办,中学,浙江省杭州市西湖区古墩路580号,0571—56187952,浙江省,杭州市,西湖区
4200,南京市育英外国语学校,江苏省 南京市 鼓楼区,市重点,民办,中学,江苏省南京市福建路25号,025 - 83426664 - 8002,江苏省,南京市,鼓楼区
4201,聊城市水城中学,山东省 聊城市 东昌府区,市重点,公办,中学,山东省聊城市东昌府区卫育北路,0635-8387711,山东省,聊城市,东昌府区
4202,无锡市吴风中学（吴风实验学校）,江苏省 无锡市 滨湖区,市重点,民办,中学,江苏省无锡市梅村镇梅育路,0510-88157170,江苏省,无锡市,滨湖区
4203,莱芜市第一中学（莱芜一中）,山东省 莱芜市 莱城区,省重点,公办,中学,山东省莱芜市莱城区 凤城西大街,0634-6412099,山东省,莱芜市,莱城区
4204,绍兴市元培中学,浙江省 绍兴市,市重点,公办,中学,绍兴市胜利西路877号,0575-85155026,浙江省,绍兴市,
4205,威县第一中学（威县一中）,河北省 邢台市 威　县,省重点,公办,中学,河北省邢台市威县北关外大街,0319-6162002,河北省,邢台市,威　县
4206,衡阳市第六中学,湖南省 衡阳市 蒸湘区,市重点,公办,中学,湖南省衡阳市蒸湘区衡祁路青化山5号,0734--8210465,湖南省,衡阳市,蒸湘区
4207,郑州市第三十四中学,河南省 郑州市 惠济区,市重点,公办,中学,河南省郑州市金水区红旗路73号,0371-85943024,河南省,郑州市,惠济区
4208,苏州市第二十四中学校,江苏省 苏州市 金阊区,普通,公办,中学,苏州市金阊区久福里七号,0512-82112801,江苏省,苏州市,金阊区
4209,新疆吐鲁番实验中学,新疆 吐鲁番地区 吐鲁番市,普通,公办,中学,新疆维吾尔自治区吐鲁番地区吐鲁番市柏孜克里克路6号,0995-8613212,新疆,吐鲁番地区,吐鲁番市
4210,岳阳市第三中学,湖南省 岳阳市 君山区,市重点,公办,中学,湖南省岳阳市岳阳楼区 乾明寺,0730-8313834,湖南省,岳阳市,君山区
4211,肇庆市第十二中学,广东省 肇庆市 端州区,市重点,公办,中学,广东省.肇庆市黄塘东路5号,0758-2843373,广东省,肇庆市,端州区
4212,武汉市友谊路中学,湖北省 武汉市 江汉区,区重点,公办,中学,武汉市汉口江汉区友谊路141号,027-85834715 85859599,湖北省,武汉市,江汉区
4213,衡阳县第三中学,湖南省 衡阳市 衡阳县,市重点,公办,中学,湖南省衡阳市衡阳县西渡镇米子路82号,0734--6827399,湖南省,衡阳市,衡阳县
4214,珠海市第二中学,广东省 珠海市 香洲区,省重点,公办,中学,广东珠海市香洲人民东路65号,（0756）2227792,广东省,珠海市,香洲区
4215,滕州市墨子中学,山东省 枣庄市 滕州市,省重点,公办,中学,山东省枣庄市滕州市经济开发区腾飞路468号,0632-5883088,山东省,枣庄市,滕州市
4216,宁波东海实验学校,浙江省 宁波市,市重点,民办,中学,宁波市北仑区新大路1008号,（0574）86861861 86876282,浙江省,宁波市,
4217,枣庄市第二十三中学,山东省 枣庄市 台儿庄区,普通,公办,中学,山东省枣庄市台儿庄区张山子镇侯孟村,0632-6911022,山东省,枣庄市,台儿庄区
4218,上海市高行中学（初中）,上海市 浦东新区,区重点,公办,中学,上海市浦东区行泰路210号,021-58651132,上海市,上海市,浦东新区
4219,大同南洋国际学校学校,山西省 大同市,普通,公办,中学,大同市宾西路南30号,,山西省,大同市,
4220,福建省福清第三中学（福清三中）,福建省 福州市 福清市,区重点,公办,中学,福建省福州福清市龙田镇龙东路1号,0591－85771045,福建省,福州市,福清市
4221,韶关市新丰县马头中学,广东省 韶关市 新丰县,县重点,公办,中学,韶关市新丰县,020-88888888,广东省,韶关市,新丰县
4222,重庆市忠县忠州中学,重庆市 忠　县,市重点,公办,中学,重庆市忠县忠州镇东坡路40号,023-54248073,重庆市,重庆市,忠　县
4223,广州市番禺区石碁第三中学,广东省 广州市 番禺区,区重点,公办,中学,广东省广州市番禺区石碁镇市莲路129号电话：020-84553976,020-84553976 84850572,广东省,广州市,番禺区
4224,南昌市八一中学,江西省 南昌市 南昌县,市重点,公办,中学,江西省南昌市东湖区叠山路469号,0791-6817687,江西省,南昌市,南昌县
4225,上海市宝山中学,上海市 宝山区,区重点,公办,中学,上海市宝山区盘古路247弄20号,021-56692144,上海市,上海市,宝山区
4226,英德市第一中学（英德一中）,广东省 清远市 英德市,市重点,公办,中学,广东省清远市英德市光明路,（0763）2272901,广东省,清远市,英德市
4227,上海市松江区小昆山学校,上海市 松江区,普通,公办,中学,上海市松江区小昆山镇中德路1151号,021-57764990  021-57764919,上海市,上海市,松江区
4228,萧山金山初中,浙江省 杭州市 萧山区,市重点,公办,中学,浙江省杭州市萧山区山阴路1268号,0571-82890607,浙江省,杭州市,萧山区
4229,北京实验学校（立新学校）,北京市 海淀区,区重点,公办,中学,北京市海淀区阜成路甲3号,010-68351747,北京市,北京市,海淀区
4230,淮安市第一中学（淮安一中）,江苏省 淮安市 清江浦区,市重点,公办,中学,江苏省淮安市清江浦区解放西路166号,0517-83986100,江苏省,淮安市,清江浦区
4231,湘潭市第二中学,湖南省 湘潭市,省重点,公办,中学,湖南省湘潭市解放南路207,0731---58215520,湖南省,湘潭市,
4232,温州乐清市精益中学,浙江省 温州市 乐清市,普通,民办,中学,乐清市柳市镇潭头村,0577-61752222   61750000  62754756,浙江省,温州市,乐清市
4233,佛山市南海区西樵镇西樵中学,广东省 佛山市 南海区,市重点,公办,中学,广东省佛山市西樵镇锦湖路,0757-86886254,广东省,佛山市,南海区
4234,井冈山市宁冈中学,江西省 吉安市 井冈山市,普通,公办,中学,江西省吉安市井冈山市,,江西省,吉安市,井冈山市
4235,茂名市电白县春华学校（中学部）,广东省 茂名市 电白县,区重点,民办,中学,广东省茂名市电白县向洋大道,0668-5111778,广东省,茂名市,电白县
4236,石河子市第一中学（石河子一中）,新疆,市重点,公办,中学,新疆维吾尔族自治区石河子市12小区北四路159号,0993-2037304,新疆,,
4237,天津市第六十三中学,天津市 南开区,区重点,公办,中学,天津市南开区天拖南华宁道盈江里平房七号,022- 83614426,天津市,天津市,南开区
4238,泉州一中,福建省 泉州市 晋江市,普通,公办,中学,泉州学府路31号,0595-22784689,福建省,泉州市,晋江市
4239,上外静安外国语中学,上海市 静安区,区重点,民办,中学,上海市静安区北京西路653号,021-62533232 021-62558704,上海市,上海市,静安区
4240,于都二中,江西省 赣州市 于都县,普通,公办,中学,江西省赣州市于都县贡江河畔,,江西省,赣州市,于都县
4241,宁波镇海蛟川书院,浙江省 宁波市 镇海区,市重点,民办,中学,浙江省宁波市镇海区庄市逸夫路　,0574-86685208  86685218,浙江省,宁波市,镇海区
4242,上海市第五十二中学（初中部）,上海市 虹口区,区重点,公办,中学,上海市虹口区广灵二路122号,021-65447628,上海市,上海市,虹口区
4243,厦门音乐学校,福建省 厦门市 思明区,普通,公办,中学,厦门市思明区鼓浪屿漳州路32号,"0592-2068439,0592-2069326",福建省,厦门市,思明区
4244,郑州第四十四中学,河南省 郑州市 惠济区,市重点,公办,中学,河南省郑州市庆丰街12号,0371--68719495,河南省,郑州市,惠济区
4245,南昌市第十五中学,江西省 南昌市 东湖区,市重点,公办,中学,江西省南昌市东湖区丹霞路,0791-8633296,江西省,南昌市,东湖区
4246,淄博市临淄区实验中学,山东省 淄博市 临淄区,省重点,公办,中学,山东省淄博市临淄区辛店镇桑坡路177号,0533-7316134,山东省,淄博市,临淄区
4247,滨州市博兴二中,山东省 滨州市 博兴县,市重点,公办,中学,山东省滨州市博兴县博城四路西首,0543-2301031,山东省,滨州市,博兴县
4248,中山市石岐区启发中学,广东省 中山市,市重点,公办,中学,中山市石岐孙文中路龙母庙街70号,0760-8823105,广东省,中山市,
4249,南宁市第十九中学（高中）,广西 南宁市 青秀区,区重点,公办,中学,广西南宁长岗路68号,0771--2234309,广西,南宁市,青秀区
4250,贺兰山高考补习学校,宁夏 银川市 永宁县,市重点,私立,中学,银川市北方置业教育园区N5,15226217215,宁夏,银川市,永宁县
4251,山东省泰安第三中学,山东省 泰安市 岱岳区,市重点,公办,中学,山东省泰安市岱岳区大汶口兴华,0538-8711059,山东省,泰安市,岱岳区
4252,宁波市鄞州五乡中学,浙江省 宁波市 鄞州区,区重点,公办,中学,宁波市鄞州区五乡镇五乡西路999号,0574-82830333,浙江省,宁波市,鄞州区
4253,济南市历城区双语实验学校,山东省 济南市 历城区,市重点,公办,中学,济南市历城区农干院路200号,0531-89000062,山东省,济南市,历城区
4254,福州教育学院第二附属中学,福建省 福州市 晋安区,区重点,公办,中学,福州晋安区桂山路172号,0591-87052789,福建省,福州市,晋安区
4255,温州市龙湾区海城中学,浙江省 温州市 龙湾区,普通,公办,中学,温州市龙湾区海城中学,,浙江省,温州市,龙湾区
4256,苏州市昆山市葛江中学,江苏省 苏州市 昆山市,普通,公办,中学,江苏省昆山市合兴路764号,0512-57304424,江苏省,苏州市,昆山市
4257,烟台市第十四中学（初中部）,山东省 烟台市 芝罘区,省重点,公办,中学,山东省烟台市芝罘区凤凰台路86号,0535-6531860,山东省,烟台市,芝罘区
4258,金溪二中,江西省 抚州市 金溪县,市重点,公办,中学,江西省抚州市金溪县秀谷镇象山南路20号,0794-5292480,江西省,抚州市,金溪县
4259,北京市第一五九中学（159中）,北京市 西城区,区重点,公办,中学,北京市西城区王府仓胡同23号,010-66039705,北京市,北京市,西城区
4260,梅州市蕉岭中学,广东省 梅州市 蕉岭县,省重点,公办,中学,梅州市蕉岭县蕉城镇镇山路24号,0753—7861401,广东省,梅州市,蕉岭县
4261,道县一中,湖南省 永州市 道　县,省重点,公办,中学,湖南省永州市道县道江镇寇公街242号,0746-5235066,湖南省,永州市,道　县
4262,西安锦园国际学校,陕西省 西安市 未央区,市重点,民办,中学,陕西省西安市未央区玄武路,029-86172280,陕西省,西安市,未央区
4263,寻乌县第一中学（寻乌一中）,江西省 赣州市 寻乌县,市重点,公办,中学,寻乌县城新罗开发区,0797-2851991,江西省,赣州市,寻乌县
4264,洛阳市第二实验中学,河南省 洛阳市 西工区,普通,公办,中学,洛阳市西工区唐宫中路63号,0379－65638528,河南省,洛阳市,西工区
4265,寻乌县第二中学,江西省 赣州市 寻乌县,普通,公办,中学,江西省赣州市寻乌县县城东面,,江西省,赣州市,寻乌县
4266,广州市第八十中学,广东省 广州市 白云区,省重点,公办,中学,广州市白云区竹料路口,020-87440140,广东省,广州市,白云区
4267,高密市第四中学（初中部）,山东省 潍坊市 高密市,市重点,公办,中学,山东省潍坊市阚家镇双羊社区驻地,0536-2835014,山东省,潍坊市,高密市
4268,上海金山区世界外国语学校,上海市 金山区,普通,民办,中学,上海市金山区龙皓路1388号,021-57239090,上海市,上海市,金山区
4269,上海松江教师进修学院附属立达中学,上海市 松江区,普通,公办,中学,上海市松江区松汇西路1260号,021-57811395,上海市,上海市,松江区
4270,东莞市第十高级中学（原沙田中学）,广东省 东莞市,市重点,公办,中学,广东省东莞市沙田镇湖景路,769-88665795,广东省,东莞市,
4271,天津市第二十一中学（天津21中）,天津市 和平区,市重点,公办,中学,天津市和平区西宁道10号（西开天主堂对面）电话：（022）27815706,022-27815706,天津市,天津市,和平区
4272,杭州市朝晖中学,浙江省 杭州市 下城区,区重点,公办,中学,浙江省杭州市朝晖三区3号,0571-28883251,浙江省,杭州市,下城区
4273,苏州大学附属中学（苏大附中）,江苏省 苏州市 吴中区,省重点,公办,中学,江苏省苏州市苏州工业园区东振路29号,0512-62520260,江苏省,苏州市,吴中区
4274,惠州市龙门县龙城第一中学（龙城一中）,广东省 惠州市 龙门县,省重点,公办,中学,惠州市龙门县龙城街道甘南路16号,0752-7780666,广东省,惠州市,龙门县
4275,武汉南湖中学,湖北省 武汉市 武昌区,市重点,公办,中学,武汉市武昌区南湖花园平安路888号,027-88778877,湖北省,武汉市,武昌区
4276,抚州市资溪县第一中学（资溪一中）,江西省 抚州市 资溪县,省重点,公办,中学,资溪县鹤城镇苗圃路2号,0794-5798108,江西省,抚州市,资溪县
4277,广州市第16中学,广东省 广州市 越秀区,省重点,公办,中学,广东省广州市越秀区中山二路37号,020－37633227/37633303,广东省,广州市,越秀区
4278,梅州市梅县华侨中学,广东省 梅州市,市重点,公办,中学,广东省梅州市城北教溪口　,0753－2380399　,广东省,梅州市,
4279,福建省政和第一中学（）政和一中,福建省 南平市 政和县,省重点,公办,中学,福建省南平市政和县城关北大路122号,,福建省,南平市,政和县
4280,郑州一八联合国际学校,河南省 郑州市 金水区,区重点,民办,中学,河南省郑州市索凌路与国基路交叉口西北角普罗旺世小区内,0371—63701931,河南省,郑州市,金水区
4281,人大附中翠微学校初中部,北京市 海淀区,普通,公办,中学,北京市海淀区复兴路21号,68166309  88272507,北京市,北京市,海淀区
4282,上海市青浦区东湖中学,上海市 青浦区,普通,公办,中学,朱家角镇漕平支路121弄8号,021-59242035,上海市,上海市,青浦区
4283,福州市连江华侨中学,福建省 福州市 连江县,市重点,公办,中学,连江,电&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;话,福建省,福州市,连江县
4284,北京市第三十一中学（31中）,北京市 西城区,普通,公办,中学,北京市西城区西绒线胡同33号,010-66056317,北京市,北京市,西城区
4285,梧州高级中学,广西 梧州市,省重点,公办,中学,广西梧州市文澜路 11号,0774－3865680 、3865703、3865756、3860596,广西,梧州市,
4286,安阳市第二十中学（南京师范大学安阳实验中学）,河南省 安阳市 文峰区,普通,公办,中学,河南省安阳市文峰区解放大道104号,,河南省,安阳市,文峰区
4287,东莞市中堂镇实验中学,广东省 东莞市,市重点,公办,中学,中堂镇袁家涌新湾村,0769-88122962,广东省,东莞市,
4288,乌鲁木齐市实验学校（中学部）,新疆 乌鲁木齐市 新市区,省重点,公办,中学,乌市经济技术开发区中亚大道95号,0991 3734461,新疆,乌鲁木齐市,新市区
4289,珠海市金湾区三灶中学,广东省 珠海市 金湾区,普通,公办,中学,珠海市金湾区琴石路466号,0756-7766300,广东省,珠海市,金湾区
4290,深圳市罗芳中学,广东省 深圳市 罗湖区,区重点,公办,中学,广东省深圳市罗湖区罗芳路124号,0755-25662776,广东省,深圳市,罗湖区
4291,赣州市第一中学（赣州一中）,江西省 赣州市,省重点,公办,中学,江西省赣州市,0797-8112448,江西省,赣州市,
4292,唐山市第二十七中学,河北省 唐山市 路北区,市重点,公办,中学,河北省唐山市路北区朝阳道70号小区,0315-2037874,河北省,唐山市,路北区
4293,中山市港口镇大南中学,广东省 中山市,市重点,公办,中学,广东省中山市港口镇下南村,0760-88402927,广东省,中山市,
4294,寒亭六中,山东省 潍坊市 寒亭区,市重点,公办,中学,山东省潍坊市寒亭区幸福路276号,0536-2864286,山东省,潍坊市,寒亭区
4295,寒亭外国语学校（中学部）,山东省 潍坊市 寒亭区,区重点,公办,中学,山东省潍坊市寒亭区富亭街3033号,0536-8855156,山东省,潍坊市,寒亭区
4296,杭州第十四中学（杭十四中）凤起校区,浙江省 杭州市 下城区,省重点,公办,中学,杭州市下城区凤起路580号,0571-85061809,浙江省,杭州市,下城区
4297,东莞玉兰中学（原东莞市第二中学）,广东省 东莞市 莞城区,市重点,公办,中学,东莞市寮步横坑横塘路3号,076983301472,广东省,东莞市,莞城区
4298,昌乐第一中学高中部（昌乐一中高中部）,山东省 潍坊市 昌乐县,省重点,公办,中学,山东省潍坊市县城永康路1358号,0536-6297407,山东省,潍坊市,昌乐县
4299,日照市实验学校（初中部）,山东省 日照市 东港区,市重点,公办,中学,山东省日照市大学科技园学林路89号,0633-8177788,山东省,日照市,东港区
4300,苏州工业园区唯亭学校初中部,江苏省 苏州市 吴中区,市重点,公办,中学,江苏省苏州市吴中区唯亭镇葑亭路,0512-82163003,江苏省,苏州市,吴中区
4301,上海市曹杨中学附属学校（曹杨附校）,上海市 普陀区,普通,公办,中学,上海市普陀区香樟路386号,021-52982549 021-52982877 021-52983993,上海市,上海市,普陀区
4302,华东师范大学松江实验高级中学,上海市 松江区,区重点,公办,中学,上海市松江区新城区江学路450号,021-67712078,上海市,上海市,松江区
4303,合川区南屏中学,重庆市 合川区,普通,公办,中学,重庆市合川市南办处中南路,023-42722108,重庆市,重庆市,合川区
4304,重庆市合川瑞山中学,重庆市 合川区,市重点,公办,中学,重庆合川区青竹湾42号,023-42897222,重庆市,重庆市,合川区
4305,邯郸市第十一中学,河北省 邯郸市,普通,公办,中学,河北省邯郸市丛台路37号,0310-3044285,河北省,邯郸市,
4306,上海市曙光中学,上海市 奉贤区,区重点,公办,中学,上海市奉城镇川南奉公路9915号,021-37551104,上海市,上海市,奉贤区
4307,北师大二附中未来科技城学校,北京市 西城区,区重点,公办,中学,北京市西城区新街口外大街12号,010-81750120,北京市,北京市,西城区
4308,重庆市长寿第二中学（长寿二中）,重庆市 长寿区,市重点,公办,中学,重庆长寿区凤城镇东街64号,023-40514084,重庆市,重庆市,长寿区
4309,北京市第十三中学,北京市 西城区,市重点,公办,中学,北京市第十三中学坐落在西城区柳荫街27号,010 - 6185970,北京市,北京市,西城区
4310,唐山市友谊中学,河北省 唐山市 路南区,省重点,公办,中学,河北省唐山市路南区国防道39号,0315-72176178,河北省,唐山市,路南区
4311,哈尔滨市第三十七中学,黑龙江 哈尔滨市 南岗区,市重点,公办,中学,黑龙江省哈尔滨市南岗区哈双路478号,0451-87549437,黑龙江,哈尔滨市,南岗区
4312,南昌市实验中学,江西省 南昌市 东湖区,普通,公办,中学,江西省南昌市东湖区南京西路166号,0791-8695093,江西省,南昌市,东湖区
4313,藁城市第八中学,河北省 石家庄市 藁城市,普通,公办,中学,河北省石家庄市藁城市育才路东段,88193866,河北省,石家庄市,藁城市
4314,徐水县遂城中学,河北省 保定市 徐水县,普通,公办,中学,河北省保定市徐水县遂城镇,0312-8989884,河北省,保定市,徐水县
4315,温州瑞安市第五中学,浙江省 温州市 瑞安市,市重点,公办,中学,瑞安市飞云镇马道村&#8195;,0577-65562142,浙江省,温州市,瑞安市
4316,南雄市黎口中学,广东省 韶关市 南雄市,市重点,公办,中学,广东省韶关市南雄市黎口路44号,0751-3825406,广东省,韶关市,南雄市
4317,重庆市万州上海中学,重庆市 万州区,市重点,公办,中学,重庆市万州区五桥移民新城上海大道298号,（023）85794800,重庆市,重庆市,万州区
4318,郑州市第二十四中学,河南省 郑州市 中原区,市重点,公办,中学,郑州市中原区建设西路109号,0731-67628825,河南省,郑州市,中原区
4319,韶关市翁源县翁源中学,广东省 韶关市 翁源县,省重点,公办,中学,广东省韶关市翁源县建国路175号,0751-2872722,广东省,韶关市,翁源县
4320,泰州姜堰区励才实验学校,江苏省 泰州市 姜堰区,普通,民办,中学,泰州市姜堰区长江东路125号,,江苏省,泰州市,姜堰区
4321,抚顺市朝鲜族第一中学（抚顺朝一中）,辽宁省 抚顺市,市重点,公办,中学,北京路7号（近理光大厦）,0431-6584563,辽宁省,抚顺市,
4322,上海市久隆模范中学,上海市 静安区,区重点,公办,中学,上海市闸北区岭南路115号,021-56910260,上海市,上海市,静安区
4323,东莞市厚街海月学校,广东省 东莞市,市重点,民办,中学,厚街镇新塘三路38号,0769—85966667,广东省,东莞市,
4324,五华县梅林中学,广东省 梅州市 五华县,普通,公办,中学,广东省梅州市五华县梅林镇梅中路电话：0753-4601563,0753-4601563,广东省,梅州市,五华县
4325,滨州市无棣一中,山东省 滨州市 无棣县,市重点,公办,中学,山东省滨州市无棣县北环路168号,0543-6387007,山东省,滨州市,无棣县
4326,广西苍梧县实验中学,广西 梧州市,普通,公办,中学,苍梧县龙圩镇坡尾,0774-2687521,广西,梧州市,
4327,惠州市博罗县三乡中学,广东省 惠州市 博罗县,市重点,公办,中学,广东省惠州市博罗县218县道,0752-6100374,广东省,惠州市,博罗县
4328,天津市塘沽区第二中学（塘沽二中）,天津市 塘沽区,区重点,公办,中学,天津市塘沽区浙江路74号,022-5893475,天津市,天津市,塘沽区
4329,唐山第一中学（唐山一中）,河北省 唐山市 路北区,普通,公办,中学,河北省唐山市路北区翔云道369号,0315-2595071,河北省,唐山市,路北区
4330,重庆市奉节夔门高级中学,重庆市 奉节县,市重点,公办,中学,重庆市白帝城风景区（宝塔坪）鱼复路55号,023-56536207,重庆市,重庆市,奉节县
4331,上海师范大学二附中,上海市 金山区,普通,公办,中学,石化隆安路48号,021-021-57941720,上海市,上海市,金山区
4332,吉林大学附属中学高中部,吉林省 长春市,省重点,公办,中学,吉林省长春市南关区解放大路3059号,0431-88499352,吉林省,长春市,
4333,东莞市低涌中学,广东省 东莞市,市重点,公办,中学,东莞市高埗镇高埗大道中3号,0769-38855849 38855850,广东省,东莞市,
4334,枣庄市第十六中学,山东省 枣庄市 市中区,省重点,公办,中学,山东省枣庄市市中区光明东路1号,0632-3690000,山东省,枣庄市,市中区
4335,上饶广丰一中,江西省 上饶市 广丰县,普通,公办,中学,江西省上饶市广丰区智博路1号,,江西省,上饶市,广丰县
4336,郑州第三十一中学,河南省 郑州市 惠济区,市重点,公办,中学,河南省郑州市群英路15号,0371-63757748/63721143/63757747,河南省,郑州市,惠济区
4337,重庆市黔江新华中学,重庆市 黔江区,市重点,公办,中学,重庆市黔江区城东办事处花鼓苑路99号,023-79226125,重庆市,重庆市,黔江区
4338,南宁市第二十五中学,广西 南宁市,区重点,公办,中学,广西南宁市边阳新街七号,0771-3159224,广西,南宁市,
4339,安徽省铜陵市第四中学,安徽省 铜陵市,普通,公办,中学,安徽省铜陵北京西路615号,0562-2822614,安徽省,铜陵市,
4340,青海昆仑中学,青海省 西宁市 城中区,省重点,公办,中学,西宁市共和南路11,0971-8176031,青海省,西宁市,城中区
4341,菏泽市曹县一中,山东省 荷泽市 曹　县,市重点,公办,中学,山东省菏泽市曹县,0530-7454771,山东省,荷泽市,曹　县
4342,北京师范大学成都实验中学（北师大成都实验中学）,四川省 成都市 锦江区,市重点,民办,中学,成都市红星路一段37号,028-86932875   86918258,四川省,成都市,锦江区
4343,广州市番禺区实验中学,广东省 广州市 番禺区,区重点,公办,中学,番禺区市桥光明南路69号,020-84820235,广东省,广州市,番禺区
4344,上海南汇第一中学（南汇一中）,上海市 浦东新区,普通,公办,中学,上海市浦东区卫星东路16号,021-58026126 58013415,上海市,上海市,浦东新区
4345,福州第三十中学,福建省 福州市,普通,公办,中学,金山新区,电&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;话,福建省,福州市,
4346,云浮市郁南县西江中学,广东省 云浮市 郁南县,省重点,公办,中学,广东省云浮市郁南县城金鱼山上,0766-7592402,广东省,云浮市,郁南县
4347,珠海市斗门区城东中学,广东省 珠海市 斗门区,市重点,公办,中学,珠海市斗门区白蕉镇城东金山市场后山,0756-5506530,广东省,珠海市,斗门区
4348,湘潭市湘乡二中,湖南省 湘潭市 湘乡市,市重点,公办,中学,湖南省湘乡市红仑上,0731-58888888,湖南省,湘潭市,湘乡市
4349,济南市商河县第一中学（商河一中）,山东省 济南市 商河县,市重点,公办,中学,山东省济南市商河县明辉路,0531-84880139,山东省,济南市,商河县
4350,安徽省铜陵市第十二中学,安徽省 铜陵市,市重点,公办,中学,铜官山区新光路十二中,0562-5812624 钟士标,安徽省,铜陵市,
4351,江苏泗阳中学,江苏省 宿迁市 泗阳县,省重点,公办,中学,宿迁市泗阳县众兴镇文城中路16号,,江苏省,宿迁市,泗阳县
4352,江西婺源天佑中学,江西省 上饶市 婺源县,市重点,公办,中学,婺源县紫阳镇天佑路6号,0793-7351056,江西省,上饶市,婺源县
4353,重庆市江北中学,重庆市 北碚区,市重点,公办,中学,重庆市北碚区水土镇新华路171号,（023）68230292,重庆市,重庆市,北碚区
4354,湖北省宜昌市第六中学,湖北省 宜昌市 伍家岗区,普通,公办,中学,伍家岗区胜利四路13号,0717-6230956,湖北省,宜昌市,伍家岗区
4355,北京西藏中学,北京市 东城区,普通,公办,中学,北京市北四环东路高原街1号,010-84637179,北京市,北京市,东城区
4356,上海市亭林中学,上海市 金山区,区重点,公办,中学,上海市金山区亭林镇和平南路86号,021-67230063,上海市,上海市,金山区
4357,北京市大兴区狼垡中学,北京市 大兴区,普通,公办,中学,北京市大兴区黄村镇狼垡村,010-61222224,北京市,北京市,大兴区
4358,上海虹口高级中学,上海市 虹口区,区重点,公办,中学,上海市虹口区广粤路138号,65927063,上海市,上海市,虹口区
4359,衡阳市外国语学校,湖南省 衡阳市 珠晖区,市重点,公办,中学,湖南省衡阳市石鼓区易赖街72号,0734---8191334,湖南省,衡阳市,珠晖区
4360,广州市第十三中学,广东省 广州市 越秀区,区重点,公办,中学,广东省广州市越秀区文德路83号,020-83335285,广东省,广州市,越秀区
4361,郑州一中经开区实验学校,河南省 郑州市 经开区,市重点,民办,中学,郑州经济技术开发区第十五大街与经南八路交叉口,0371-56785737/ 56785215/ 56785760,河南省,郑州市,经开区
4362,哈尔滨市第一二二中学,黑龙江 哈尔滨市 香坊区,市重点,公办,中学,黑龙江省哈尔滨市香坊区旭升街308号,0451-87951002,黑龙江,哈尔滨市,香坊区
4363,临沂市第十三中学,山东省 临沂市 兰山区,区重点,公办,中学,山东省临沂市兰山区水田路133号,0539-8290975,山东省,临沂市,兰山区
4364,内丘县第三中学,上海市,普通,公办,中学,河北省邢台市内丘县京广路107号电话：0319-6865982,0319-6865982,上海市,,
4365,天津市大港区油田实验中学,天津市 大港区,市重点,公办,中学,天津市大港区海滨街二号院育才路,022-25926411,天津市,天津市,大港区
4366,中山市横栏中学,广东省 中山市,市重点,公办,中学,中山市横栏镇顺兴北路8号,（0760）87766519,广东省,中山市,
4367,北京育才学校通州分校,北京市 通州区,市重点,公办,中学,北京市通州区梨园镇群芳中二街3号,010-81576606,北京市,北京市,通州区
4368,上海市娄山中学,上海市 长宁区,区重点,公办,中学,上海市长宁区玉屏南路158-162号 玉屏南路640号,021-62410246,上海市,上海市,长宁区
4369,常州市河海中学,江苏省 常州市,普通,私立,中学,常州河海东路6号,0519-85165862,江苏省,常州市,
4370,长沙市望城县星城镇大湖中学,湖南省 长沙市 望城区,,公办,中学,望城县星城镇东马集镇,0731-8383908,湖南省,长沙市,望城区
4371,韶关市曲江区第一中学（曲江一中）,广东省 韶关市 曲江区,市重点,公办,中学,广东省韶关市曲江区马坝镇环山北路33号,0751-6667982,广东省,韶关市,曲江区
4372,深圳市皇岗中学,广东省 深圳市 福田区,省重点,公办,中学,福田区金田南路2008号,0755-83822059   83822059,广东省,深圳市,福田区
