,地址,电话,网址,城市
上海市三林中学北校,浦东新区南林路733号,021-58491265,,上海
上海市青浦区西译中学,,,,上海
上海市世界中学,,,,上海
上海市民办华育中学,上海市徐汇区龙吟路99号,021-55350909,www.hy.sh.cn,上海
上海市西南模范中学,上海市徐汇区百色路汇成一村67号,021-64232457,xnmf.xhedu.sh.cn/...,上海
上海市扬子中学,,,,上海
上海市文来中学,上海市闵行区农南路68号,021-54792062,www.wlhs.icampus....,上海
上海新加坡国际学校,,,,上海
上海市香山中学,灵山路1672弄36号,021-68564467,,上海
上海市上南中学北校,,,,上海
上海市西郊学校,上海市福泉路506号,021-52191500,222.66.36.82:82,上海
上海市贸易学校,,,,上海
上海市嘉定区丰庄中学,嘉定区清峪路801号,021-59184616,,上海
上海市东格致中学,,,,上海
上海市南汇区吴迅中学,上海市南汇区康桥镇上南路6818好,021-68132514,,上海
上海市民办双翼学校,上海市南汇区惠南镇拱极路2151号,021-58009274,,上海
上海外国语大学附属外国语学校,上海市虹口区中山北一路295号,021-65423105,http://www.sfls.cn,上海
上海市奉贤区教师进修学院附属实验中学,奉贤区南桥镇新建中路586号,021-57187367,,上海
上海市外国语大学附属大境中学,上海市黄浦区保屯路210号,021-53070037,dj.hpe.sh.cn,上海
上海市同济大学第一附属中学,上海市杨浦区国浩路100号,021-65136828,http://218.78.245.81,上海
上海育辛高级中学,浦东新区浦三路385号(近浦三路),021-68731899 021-68738841,http://www.yuxin.org,上海
上海市新中高级中学,原平路400号,021-56518033 021-56518288,www.xzschool.edu....,上海
上海市育诚高级中学,桂林路567号,021-64851162 021-64855532,ycgz.xhedu.sh.cn,上海
上海市莘格高级中学,上海市腾冲路168号,021-54155415,xgzx.edu.sh.cn,上海
上海市田园高级中学,闵行区田园路455号,021-54435818 021-54438528,www.tygz.icampus....,上海
上海西南高级中学,徐汇区番禺路800弄22号(近上海交通大学),021-62814829 021-62830134,,上海
上海戏剧学院附属高级中学,康定路770号(近胶州路),021-62552723 021-62564808,,上海
上海市行知中学,宝山区子青路99号,021-56104504 56113042,http://www.xzhs.org,上海
上海市向明中学,上海市瑞金一路151号,021-53063368  53065791,www.xiangming.lwe...,上海
上海市延安中学,茅台路1111号,021-62901188,http://www.shyahs.com,上海
上海市吴淞中学,宝山区泰和路99号,021-56172985 021-56179607,http://www.shwusong.com,上海
上海市田家炳中学,闸北区景凤路185号,021-36120889 021-56836868,,上海
上海市云台中学,昌里东路190弄13号,021-58808832 021-68702503,,上海
上海市紫竹园中学,浦北路948弄80号,021-54189165 021-54620283,zzzx.xhedu.sh.cn/...,上海
上海市浦东新区洋泾中学南校,浦东新区龙阳路666号,021-58307858 021-58817478,,上海
上海市中原中学,杨浦区中原路开鲁六村50号,021-65233663,www.zyzx.edu.sh.c...,上海
上海市罗山中学,浦东新区博山东路41弄18号,021-58609873 021-58600629,,上海
上海市仙霞高级中学,水城路450弄1号,021-62590198,http://www.shxxgz.com,上海
上海市淞浦高级中学,宝山区德都路168弄87号,021-56931486 021-56931792,http://www.songpu.cn,上海
上海市实验学校,东明路300号,021-50866819,www.ses.sh.edu.cn...,上海
上海市建青实验学校,上海市古羊路900号,021-62754970,www.jqsyschool.co...,上海
上海建平实验中学 ,上海市浦东区枣庄路111号,021-58505098,,上海
上海民办杨浦实验学校 ,开鲁路601号,021-65327483,tt.yp.edu.sh.cn/y...,上海
上海市浦东新区教育学院实验中学,,,,上海
虹口区教育学院实验中学,,,,上海
华实大松江实验高级中学,,,,上海
华东师范大学松江实验中学 ,上海市松江新城区南青路100号,021- 67739445,,上海
上海交通大学附属中学浦东实验中学,,,,上海
虹口区实验中学,,,,上海
上海尚德实验学校 ,上海市秀沿路1688号,021-68180017 68180018,,上海
上海教科实验中学,万源路55号,021-64807208 021-64807218,http://www.jksz.com,上海
上海市松江九峰实验学校,上海市松江方塔北路319号,021-67830310,,上海
崇明县实验中学,,,,上海
上海市师资培训中心实验基地附属中学,上海市闵行区莘庄镇中春路4949号,021-54531072,,上海
上海市奉贤区实验中学,,,,上海
上海市青浦区实验中学,,,,上海
上海市世界外国语中学,上海市徐汇区虹漕南路602号,021-54190200/54198567,www.wflms.cn,上海
华东师范大学第一附属中学 ,上海市虹口区虹关88号,021-65033319  55958855,www.sdfz.sh.cn,上海
上海市嘉定区第一中学,上海市嘉定区嘉行公路701号,021-69983668,www.jdyz.com,上海
上海市松江区第一中学,松江区松汇中路601号,021- 57822996,school.sjyz.sjedu...,上海
青浦区第一中学,上海市青浦区青浦镇青安路126号,021-69220171,,上海
上海复旦大学第二附属中学 ,政修路215号,021-65643392,www.2fz.fudan.edu...,上海
上海市曹杨第二中学,上海市梅川路160号（近杨柳青路）,021-62548322  62853210 62548645,www.hscyez.pte.sh...,上海
上海市宝山区长江第二中学,,,,上海
上海市青浦区第二中学,,,,上海
上海交通大学第二附属中学,上海市闵行区德宏路2188号,021-64351257,www.jd2fz.sjtu.ed...,上海
上海市奉贤县奉城第二中学,,,,上海
上海师范大学第二附属中学,金山区石化隆安路48号,021-57941720,,上海
上海市南汇区第二中学,上海市浦东新区惠南镇拱北路2300号,021-68036042,,上海
上海市第三女子中学,江苏路155号,021-62526860,http://www.ssnz.sh.cn,上海
上海市闵行第三中学,,,,上海
上海市民办西南高级中学,番禺路800弄22号,021-62839349,xngz.xhedu.sh.cn,上海
上海市民办中大高级中学,老沪闵路1300号,021-64537928,,上海
上海铭远双语高级中学,,,,上海
上海浦东新区祝桥高级中学,,,,上海
上海梅山高级中学,,,,上海
上海市嘉定区中光高级中学,上海市嘉定区塔城路257号,021-69990668,www.zggjzx.com/Sc...,上海
上海市奉贤区景秀高级中学,上海市奉贤四团镇四新路2号,021-57532001,,上海
上海市继光高级中学,上海市虹口区高阳路690号,021-65371988,jggj.hkedu.sh.cn/...,上海
上海市澄衷高级中学,上海市东余杭路800号,021-65371972,czgj.hkedu.sh.cn,上海
上海市和衷高级中学,宝山区牡丹江路454弄100号,02021-56172014,,上海
上海黎鸣高级中学,,,,上海
上海市金山区教师进修学院附属中学,,,,上海
上海市第四中学,上海市徐汇区天钥桥路100号,021-64380780,sh4z.xhedu.sh.cn/...,上海
上海市闵行第五中学,上海市闵行区兰坪路301弄2号,021-54710370,,上海
上海美国国际中学,,,,上海
上海国际中学,,,,上海
华师大二附中,,,,上海
上海市第六十二中学,,,,上海
上海市第十五中学,,,,上海
上海大学市北附属中学,中山北路600号（共和新路口）,021-56327300,www.sdsbfz.edu.sh.cn,上海
上海复旦大学附属中学,上海市杨浦区国权路383号,021-65640560,www.fdfz.cn/index.aspx,上海
上海市长宁区教育学院附属中学,,,,上海
虹口区教育学院附属中学,,,,上海
上海理工大学附属中学,上海市杨浦区水丰路240号,021-65303979,yanji.edu.sh.cn,上海
上海大学附属中学,宝山区上大路688号,021-66133695,www.shdfz.net/ind...,上海
上海市南洋中学,徐汇区中山南二路225号(近大木桥路),021-64048199,www.nyzx.com.cn,上海
崇明县三烈中学,,,,上海
上海市崇明县合兴中学,,,,上海
上海市崇明县堡镇中学,,,,上海
上海市民立中学,上海市威海路414号,021-62531592,www.minli.edu.sh....,上海
上海市民办风范中学,共和新路1700弄49号,021-66526661 021-56030849,www.fhschool.edu....,上海
上海市鲁迅中学,广中路132号,021-56901325,,上海
上海平和双语学校 ,上海市浦东新区黄杨路261号,021-50310417 021-58541617,,上海
崇明县崇西中学 ,上海市崇明县庙镇大街76号,021-59361736,,上海
上海浦发中学 ,上海市南汇区沪南路2588号,021-58121957,,上海
上海市奉贤区古华中学,上海市奉贤县南桥镇曙光路158号,021-37100702,,上海
上海嘉定区南苑中学 ,上海市嘉定区嘉黄路254号,021-69160437,,上海
上海市长桥中学,,,,上海
上海市第八中学,上海市陆家浜路650号,021-63770235,shiba.hpe.sh.cn,上海
松江立达中学,,,,上海
上海市育民中学,上海浦东高桥西街217号,021-50405845,,上海
崇明县大新中学,,,,上海
华理大附中,,,,上海
上海市娄山中学,,,,上海
上海市长宁区紫荆中学,上海市甘溪路280号,021-52171202,,上海
上海淮海中学,,,,上海
上海市静安区第七一中学,上海市陕西北路461号,021-62585601,www.71school.edu....,上海
上海市长乐学校,,,,上海
上海市北海中学,,,,上海
上海市闸北区回民中学,沪太路1000号,021-56612040 021-56612050,www.hmschool.edu....,上海
上海市闸北区和田中学,,,,上海
上海市闸北第五中学,,,,上海
上海市闵行中学,,,,上海
上海上宝中学,,,,上海
上海市闵行区明星学校,上海市闵行区黎安路339号,021-64125678,,上海
上海市宝山区光明中学,,,,上海
上海市求真中学,,,,上海
上海市嘉定区安亭中学,,,,上海
上海交大附中,,,,上海
上海市金山区新农中学,,,,上海
上海市松江区第六中学,,,,上海
上海市松江区新桥中学,,,,上海
上海市奉贤区奉贤中学,,,,上海
上海安亭中学,,,,上海
上海市奉贤县奉贤中学,,,,上海
上海西渡学校,,,,上海
上海华亭学校,,,,上海
上海崇明中学,上海市崇明县陈海公路2801号,021-69672018,www.cmzx.sh.cn/in...,上海
崇明县三星中学,,,,上海
崇明县城桥中学,,,,上海
崇明县建设中学,,,,上海
崇明县三乐中学,,,,上海
上海崇明县长江中学,,,,上海
上海市第六十中学,青云路323号,021-56628125,www.no60school.ed...,上海
上海市民办邦德第四中学,大木桥路日晖六村1号,021-64433440,,上海
上海市光明中学,,,,上海
上海市浦东新区陆行中学,金桥路1288号(近金杨路),021-50701621 021-50716316,,上海
上海市浦东川沙中学华夏西校,,,,上海
上海长宁中学,,,,上海
上海市闸北区第八中学,场中路2950弄80号,021-66240378,,上海
上海市第十中学,永宁街25号,021-63770024,d10.hpe.cn,上海
上海市浦南中学,浦东南路689号,021-58874430,,上海
上海南汇中学,,,,上海
虹口区第四中学,,,,上海
上海莘庄中学,,,,上海
上海市闵行区梅陇中学,,,,上海
闵行区第四中学,,,,上海
上海市嘉定区徐行中学,上海市嘉定区徐行镇新建一路215号,021-59558791,,上海
上海市金山区蒙山中学,近郊金山区龙胜路100号,021-67244447 021-67244998,,上海
上海市民办立达中学,松江区松汇西路1260号,021-57828061,lida.hpe.cn,上海
上海市控江中学,上海市杨浦区双阳路388号,021-65193808    65180500*830,www.kj.edu.sh.cn/kjxxgk,上海
上海市进才中学,浦东新区杨高中路2788号,021-68543810,www.jincai.sh.cn,上海
上海市上海中学,上海市百色路989号（南大门：上中路400号）,021-64100430,www.shs.sh.cn,上海
上海市少云中学,上海市杨浦区黄兴路1980号,021-55056328,,上海
上海市张堰中学,上海市金山区张堰镇留溪路128号,021-57217502,,上海
上海市凌桥中学,,,,上海
上海市青浦区尚美中学,青浦区青浦镇万寿路401号(近盈港路),021-59203143 021-59204677,http://smzx.qp.edu.sh.cn,上海
青浦区颜安中学,,,,上海
上海市青浦区华新中学,,,,上海
青浦区朱家角中学,青浦区朱家角新镇区泽溪路88号,021-59230298,www.zhuzhong.cn,上海
上海市青浦区东方中学,,,,上海
上海市青浦区重固中学,,,,上海
上海市储能中学,上海市重庆北路270号,021-63724843,chun.hpe.sh.cn,上海
上海海运学校,,,,上海
上海市风华中学,上海市闸北区大宁路1000号,021-66113960,www.fh.edu.sh.cn,上海
上海华东师范大学附属东昌中学,上海市浦东新区栖霞路34号,021-58784015,,上海
上海市民办文绮中学,上海市闵行区江川东路980号,021-64356371,www.wqzx.com.cn,上海
上海市青云中学,青云路437号,021-56629204 021-56900651,,上海
崇明县新光中学,,,,上海
上海市崇明县中华中学,,,,上海
上海市闵行区颛桥中学,,,,上海
嘉定区嘉一联合中学,上海市嘉定区菊园新区棋盘路1580号,021-69900258,jylz.ijd.cn/INDEX...,上海
上海市南洋模范中学,上海市徐汇区零陵路453号（本部）,021-34690246,www.nanmo.cn,上海
上海市青浦区东湖中学,青浦区朱家角镇漕平支路121弄8号,021-59242035,dhzx.qpedu.cn,上海
上海市民办东光明中学,上海延吉东路99号,021-55834639,,上海
崇明县民本中学,上海市崇明县堡镇向阳路216号,021-59411773,www.mbzx.com.cn,上海
崇明县大公中学,崇明县中兴镇育林路,021-69444824,,上海
上海市嘉定区封浜中学,上海市嘉定区江桥镇乡思路200号,021-59137745,,上海
上海市民星中学,民星二村6号,021-65565515,120.136.168.136:1...,上海
上海市崇明中学,上海市崇明县鼓浪屿路801号,021-69615157 021-69672018,,上海
崇明县新民中学,,,,上海
上海市青浦区金泽中学,,,,上海
上海市干巷学校,上海市金山区干巷镇新溪街35号,021-57201085　57205995,,上海
上海桃浦中学 ,红棉路286号,021-66272720  李金龙,,上海
上海市定西中学,,,,上海
上海市松隐中学,,,,上海
崇明县马桥中学,,,,上海
上海市东城高级中学,东昌路369号,021-58760052 021-58888108,,上海
上海崇明县中华高级中学,,,,上海
崇明县扬子高级中学,,,,上海
上海市奉贤区奉城高级中学,,,,上海
上海市大同中学,上海市黄浦区南车站路353号,021-63770973 021-63162590,http://dt.hpe.sh.cn,上海
上海华东师范大学第二附属中学,上海市浦东新区张江镇晨晖路555号（近地铁二号线张江高科站）,021-50801890,www.hsefz.com,上海
上海市奉贤区曙光中学,上海市奉贤区奉城镇川博路100号,021-57524322,http://www.sgzx.fx.edu.sh.cn,上海
上海市闸北区实验中学,闸北区中华新路977号,"021-56558953,56559859",,上海
上海市东方曹杨外国语高级中学,上海市香樟路429号,021-52924050 021-62644415,http://www.secedu.com,上海
上海金融学院附属东辉外国语高级中学,上海市浦东新区锦绣路2081号,021-38763847 021-58332622,,上海
上海市晋元高级中学,上海市新村路2169号,021-66097811,www.hsjy.pte.sh.cn/po,上海
上海燎原高级中学,闵行区平阳路150号,021-64805828 021-64808243,,上海
上海市北郊高级中学,上海市虹口区曲阳路497号,021-65221552 021-65222018,http://www.beijiaoedu.com,上海
上海市冠龙高级中学,沪太路1060号,021-56951476 021-56957282,http://www.topdragon.net,上海
上海市北虹高级中学,南浔路281号,021-63241012 021-63242024,hgj.hkedu.sh.cn/index1.asp,上海
上海市民办黄河高级中学,上海市长寿路652号,021-52520542 021-62986773,,上海
上海市民办东元高级中学,中山南路张家东宅121号,021-63169622 021-63778295,,上海
上海市古美高级中学,闵行区龙茗路1628号,021-51198921,,上海
上海市民办育英高级中学,嘉定区马陆镇育英街353号,021-59151353,,上海
上海澳大利亚国际中学,浦东新区巨峰路1555号行政楼A楼6楼,021-31262688 021-68689655,,上海
上海市格致中学,上海市广西北路66号,021-63510228,www.gezhi.sh.cn,上海
上海中学,上海市百色路989号（南大门：上中路400号）,021-64100430,http://www.shs.sh.cn,上海
上海市彭浦中学,三泉路604号,021-56400325,www.shppzx.com,上海
上海市久隆模范中学,岭南路115号,021-56910260 021-66973842,www.jlmfzx.edu.sh...,上海
上海市上南中学,浦东新区昌里路93弄1号,021-58475643 021-58835664,,上海
上海师范大学附属中学,上海市桂林路120号,021-64089571,http://www.fz.shtu.edu.cn,上海
上海市川沙中学,浦东新区川沙镇新川路324号,021-58921330 021-58981232,http://www.hschsh.pudong-edu.sh.cn,上海
上海市复旦中学,华山路1626号,021-62800172   62800437,http://www.fdhs.org,上海
上海市敬业中学,上海市黄浦区蓬莱路345号,021-63685200,jy.hpe.cn,上海
上海外高桥中学,上海浦东新区高桥镇欧高路钟家弄74号,021-58671938 021-68660211,,上海
上海市三林中学,上海市浦东新区三林路658号,021-58410313 021-58410314,,上海
上海市七宝中学,上海闵行区七宝镇农南路22号,021-64592100,www.qbhs.icampus.cn,上海
上海财经大学附属中学,杨浦区宁武路151号(近平凉路),021-65435260,,上海
上海市第五十四中学,康平路34号,021-64373403 021-64716900,wszx.xhedu.sh.cn/...,上海
上海金陵中学,黄浦区金陵东路4号,021-63304025 021-63306169,,上海
上海市兰田中学,中山北路2605弄50号,021-62050898,,上海
上海市金山中学,上海市金山区朱泾镇城南新区众益街899号,021-57321456,http://jszx.jsedu.sh.cn,上海
上海市长征中学,上海真光路919号,021-52704602 021-62063865,www.czzx.sh.cn,上海
上海市华东模范中学,上海市富民路43号,021-62473989  021-62793187,www.huamo.com,上海
上海市时代中学,静安区武定路476号(陕西北路武定路),021-62534541,,上海
上海曹行中学,闵行区金都路325号(虹梅南路口),021-4971018,,上海
上海市东林中学,浦东新区浦三路2796号(近板泉路),021-50854316 021-50858709,,上海
上海市民办明珠中学,上海市黄浦区云南中路35号,021-63600400,www.mingzhu.hpe.c...,上海
上海市三好中学,卢湾区汝南街55号,021-53075899 021-63010466,,上海
上海市泸定中学,长宁区中山西路911弄1号,021-62194509 021-62708728,,上海
上海市浦东模范中学,浦东新区博兴路918号(菏泽路附近),021-68511535 021-68511995,,上海
上海闵行龙柏中学,兰竹路8,021-64027471 021-64490508,,上海
上海市北桥中学,上海市闵行区沪闵路1785号(北桥镇南500米),021-64901029 021-64901971,,上海
上海市龙茗中学,上海市闵行区虹莘路1888号,021-34173566 34173960,,上海
上海虹口高级中学,虹口区广粤路138号(近广中路),021-63242043 021-65927063,,上海
上海市复兴高级中学,上海市车站南路28号,021-65428736 021-65606715,www.fuxing.sh.cn,上海
上海市民办普陀前进高级中学,中山北路2605弄35号,021-52908812 021-52908817,,上海
上海实验学校中学,上海市浦东新区东明路300号,021-50866819 50866067,,上海
上海浦江第一中学,浦江镇立建路88号,021-64296525,,上海
上海茸第一中学,松江区茸北镇五昆路268号,021-57786427,www.ryzx.sjedu.cn...,上海
上海泗塘第二中学,上海市宝山区共江路668号,021-56745379,,上海
上海民办邦德第二中学,闵行区七宝镇民主路26号,021-64593249,,上海
上海市长宁第二中学,,,,上海
上海天山第二中学,,,,上海
上海市彭浦第三中学,,,,上海
上海同济大学附属第七一中学,上海市静安区陕西北路461号,021-62532662,,上海
彭浦第四中学,上海市闸北区闻喜路1000弄32号,021-66243419 66247097,,上海
上海曹杨第五中学,曹杨八村118号,021-62607363 章兰根,,上海
上海建峰中学,,,,上海
上海师范大学附属罗店中学,,,,上海
上海曹杨第九中学,上海市香樟路429号,021-52850460,,上海
上海第五十六中学,延吉六村16号,021-65484797,tt.yp.edu.sh.cn/5...,上海
上海第五十二中学,上海市虹口区广灵二路122号,021-65420468,,上海
上海市第六中学,,,,上海
南汇区周浦镇第八一中学,,,,上海
上海第十二中学,,,,上海
上海石化第四中学,,,,上海
上海杨浦实验学校 ,上海市杨浦区开鲁路40号,021-65065691,,上海
上海实验学校东校,上海市浦东区黑松路251号,021-50308661 021-50308660 021-27464785,,上海
上海七宝实验中学,上海市漕宝路1467弄6区8号,021-33583028,,上海
上海外国语大学闵行实验学校 ,上海外国语大学闵行实验学校（申滨路615号）。,021-34539542,,上海
上海外国语大学实验学校 ,上海市嘉定区安亭镇墨玉北路888号,021-59562222,,上海
浦东新区教院实验中学,,,,上海
上海成功教育实验中学,,,,上海
上海复旦万科实验学校,,,,上海
上海教科院实验中学,,,,上海
上海实验中学,,,,上海
上海行知实验中学,宝山区行知路180号,021-66364930,www.shsxzsyzx.com...,上海
上海外国语大学嘉定外国语实验学校,上海市金沙路168号,021-59535017,,上海
上海裘锦秋实验学校,,,,上海
上海萌芽实验中学,塘桥路445号,021-68736469,,上海
上海教育科学研究院实验中学,,,,上海
上海市西实验中学,上海市漕宝路1467弄6区8号,021-54781402,,上海
上海华东师范大学实验高级中学,松江区江学路450号,,www.hsgz.sjedu.cn...,上海
上海市宝山实验学校,,,,上海
上海民办师大实验中学,,,,上海
上海上外外国语中学,,,,上海
上海外国语大学双语学校,,,,上海
上海工商外国语学校,,,,上海
上海大学附属外国语中学,松江区九亭镇涞亭南路559号,021-67636271,www.wflms.com,上海
上海震旦外国语中学,,,,上海
上海华师大第一附属中学,上海市虹口区虹镇老街158号,021-65033319 55958855-8009,,上海
上海鲁矿第一中学,,,,上海
奉城第一中学,,,,上海
上海市黄浦区第一中学,,,,上海
上海民第一中学,,,,上海
上海市浦东新区第三中学,,,,上海
闸北区第三中学,,,,上海
上海市宝山区第三中学,,,,上海
上海市虹口区第三中学,,,,上海
上海华东师范大学第三附属中学,上海金山区石化卫新路115号,021-57960500,hdsdsfz.jsedu.sh....,上海
上海师范大学第三附属中学,,,,上海
上海第三女子中学附属学校,,,,上海
上海民办汇民高级中学,上海市虹口区辉河路40弄40号,021-65552400,,上海
上海七宝德怀特高级中学,,,,上海
上海复兴高级中学游泳馆,,,,上海
上海万州高级中学,,,,上海
上海汇民高级中学,,,,上海
上海普元高级中学,,,,上海
上海民办久慧高级中学,,,,上海
上海海事大学附属高级中学,,,,上海
上海西郊民办高级中学,,,,上海
上海复旦大学视觉艺术学院附属高级中学,,,,上海
上海市南汇区大团高级中学,,,,上海
上海民办行知高级中学,,,,上海
上海华实高级中学,,,,上海
上海民办沪北高级中学,永兴路365号,021-56310258,www.shibei.edu.sh...,上海
上海民办新高级中学,上海市水电路1588号,021-65170010,,上海
上海民办槎溪高级中学,上海市嘉定区南翔镇翔乐路265号,021-59123545,www.52921234.com/...,上海
上海交大附中分校,,,,上海
嘉定区方泰中心学校,,,,上海
上海理工大学附中,上海市杨浦区水丰路247号,021-65301494,,上海
上海华东师大一附中,,,,上海
上海复旦二附中,,,,上海
上海华师大一附中,,,,上海
上海徐匯職業高級中學,,,,上海
上海戏剧学院附属中学,上海市静安区康定路770号（胶州路口）,021-62531793,www.pj.edu.sh.cn,上海
上海教育发展研究院附属中学,,,,上海
上海市普陀区教育学院附属中学,,,,上海
上海华东师范大学第四附属中学,,,,上海
上海交通大学附属中学,上海市宝山区殷高路42号,021-65911010,www.jdfz.sh.cn,上海
上海华东政法大学附属中学,上海市番禺路270号,021-62811416,www.hzfz.sh.cn,上海
上海教科院附属中学,上海市怀德路1000号,021-65377000,,上海
上海师范大学第四附属中学,,,,上海
上海市西中学 ,上海市静安区愚园路404号,021-62521018,,上海
上海崇明中学 ,上海市崇明县城桥镇鼓浪屿路801号,021-69672002,,上海
上海民办平和学校,上海市浦东新区黄杨路261号,021-50312340,,上海
上海民办存志中学,上海市杨浦区许昌路1474号,021-65036236  021-65029970,,上海
上海控江中学附属民办学校,上海市杨浦区长阳路965号,021-65351640,,上海
上海莘城学校,上海市闵行区普洱路158号,021-64601078 021-64602078,,上海
上海松江区小昆山学校 ,上海市松江区小昆山镇中德路1151号,021-57764990  021-57764919,,上海
上海高东中学 ,上海市浦东区光明路476号,021-58480820 58480918,,上海
上海老港中学 ,上海市浦东区老港镇建中路1001号,58051045,,上海
上海澄源中学,上海市普陀区延长西路661号,66110017 66110023 66110019,,上海
上海罗南中学 ,上海市宝山区罗南镇东太路465号,021-56011902,,上海
上海民办奉浦学校,上海市工业综合开发区韩村路333号,021-67102210,,上海
上海齐贤学校,金汇镇齐贤社区文明街90号,021-37187085 高安平,,上海
上海南汇县黄路中学 ,上海市南汇区惠南镇黄路振欣路1号,021-58270646,,上海
上海松江区叶榭中学 ,上海市松江区叶榭镇新源路258号,021- 57801280,,上海
上海泥城中学 ,上海市浦东区泥城镇泥城路2号,58070744,,上海
上海奉贤区青溪中学 ,上海市奉贤区褚家路276号,021-37527390,,上海
上海青浦区白鹤中学 ,白鹤镇朱家村,021-39741031 邱永春,,上海
上海民办金苹果学校,上海市浦东区巨峰路1555号,021-68970368   021-68973866,,上海
上海中山学校,鲁班路６１８号,021-53012325,,上海
上海民办交大南洋中学,上海市金山区松隐镇亭枫公路1915号,021-57381777,,上海
上海铜川学校,上海市普陀区北石路610弄28号,021-62656301,,上海
上海民办日日学校,上海市宝山区通河六村166号,021-56736868 36110593,,上海
上海第五三中学,,,,上海
上海交大南洋中学,,,,上海
上海四平中学,,,,上海
上海明珠中学,,,,上海
上海男子中学,,,,上海
上海外国语大学附属浦东外国语学校,,,,上海
上海樱花中学,,,,上海
上海徐教院附中,,,,上海
上海西南工程学校,,,,上海
上海新虹桥中学,,,,上海
上海培明中学,,,,上海
上海爱国学校,,,,上海
上海当代中学,,,,上海
上海风范中学,,,,上海
上海水电中学,,,,上海
上海外国语大学民办沪东外国语学校,,,,上海
上海中学东校,,,,上海
上海马桥强恕学校,,,,上海
上海莘光学校,,,,上海
上海陈伯吹中学,,,,上海
上海启良中学,,,,上海
嘉定区江桥中学,,,,上海
嘉定区华亭中学,,,,上海
上海西林中学,,,,上海
上海淮安中学,,,,上海
上海市松江区大港中学,,,,上海
上海松江区九亭中学,,,,上海
上海市青浦区白鹤中学,,,,上海
青浦区沈巷中学,,,,上海
上海青浦区凤溪中学,,,,上海
青浦区凤溪中学,,,,上海
上海徐泾中学,,,,上海
上海师范学校,,,,上海
上海工商信息学校,,,,上海
上海民办震旦中学,,,,上海
上海飞飞中学,,,,上海
上海四团中学,,,,上海
上海星火学校,,,,上海
上海市崇明县裕安中学,,,,上海
崇明县正大中学,,,,上海
上海邦德第四中学,,,,上海
上海港湾学校,,,,上海
上海清华中学,,,,上海
上海市卢湾中学,,,,上海
上海进华中学,,,,上海
上海民办槎溪中学,,,,上海
上海和平中学,,,,上海
上海古美中学,,,,上海
上海长岛学校,,,,上海
上海市朱家角中学,,,,上海
上海新中中学,,,,上海
上海东新中学,,,,上海
上海北郊中学,,,,上海
上海文建中学,,,,上海
上海市闵行区纪王中学,,,,上海
上海市宝山区罗泾中学,,,,上海
上海市宝山区江湾中心校,,,,上海
上海大众工业学校,,,,上海
上海唐镇中学,,,,上海
上海市黄楼中学,,,,上海
上海市莘庄中学,上海市莘庄镇莘中路35号,021-54949661,xzzx.mh.edu.sh.cn...,上海
上海市奉贤中学,上海市奉贤区南桥镇南奉公路7058号,021-67186846,www.fxzx.fx.edu.s...,上海
上海梅川中学,,,,上海
上海通河中学,宝山区呼玛路888号,021-36115761,,上海
上海民乐学校,,,,上海
上海泗塘中学,,,,上海
上海吴泾中学,上海市龙吴路5455号,02164507107-8012,wjzx.mh.edu.sh.cn...,上海
上海新陆中学,,,,上海
上海市罗店中学,罗店罗太路352弄15号,021-56860611,shsldzx.eicbs.com...,上海
上海明德学校,,,,上海
上海蓬莱中学,,,,上海
上海民办文来中学,上海市农南路66号,021-54792038,www.wlms.icampus.cn,上海
上海培佳双语学校,上海市普陀区宜川路351弄70号,021-56611143,www.peijia.com,上海
上海树人中学,,,,上海
上海金汇中学,,,,上海
上海市奉贤县南桥中学,,,,上海
上海金苹果双语学校,,,,上海
上海民办行中中学,上海市宝山区月浦塘南街52号,021-56195474,,上海
南汇县大团中学,,,,上海
上海市北蔡中学,上海市浦东莲园路246号,021-58912358,,上海
上海中学南校,上海市浦东新区川环南路1295号,021-50921386,,上海
上海市东昌中学北校,,,,上海
上海民办兰生复旦中学,杨浦区世界路8号,65561661,lansheng.fdfz.cn,上海
南汇县老港中学,,,,上海
上海清流中学,,,,上海
上海市闵行区建虹中学,闵行区环镇南路110号,021-64460851,,上海
上海民办申江中学,,,,上海
上海飞虹中学,,,,上海
上海民办迅行中学,上海市虹口区玉田路211号,021-65537273,www.xunxingschool...,上海
上海东方世纪学校,,,,上海
上海金沙中学,,,,上海
上海师范大学附属西岑中学,,,,上海
上海上外民办劲松中学,,,,上海
上海求是中学,,,,上海
上海建光中学,,,,上海
上海市枫泾中学,上海市金山区枫泾镇白牛路188号,021-57355821,,上海
上海市龚路中学,,,,上海
上海东昌东校,,,,上海
上海民办田家炳中学,上海市闸北区景凤路185号,021-56835111,www.tjb.edu.sh.cn...,上海
上海豫园中学,,,,上海
上海城市工程学校,,,,上海
上海多稼中学,,,,上海
上海市吕巷中学,,,,上海
上海古田中学,,,,上海
上海求知中学,,,,上海
上海市高行中学,上海市浦东新区行泰路210号,021-58651132,,上海
上海市桃浦中学,上海市普陀区红棉路286号,021-66272720,www.hstp.pte.sh.c...,上海
上海市龙华中学,,,,上海
上海培华学校,,,,上海
上海甘泉中学,,,,上海
上海市南汇县新场中学,,,,上海
上海市南汇区下沙中学,,,,上海
上海民办上宝中学,闵行区宝南路88号,021-54866016,www.shsb.cn,上海
上海市闵行区华漕中学,上海市闵行区吴漕路895号,021-62200436,,上海
上海江南中学,,,,上海
