网页id,学校名称,省份,城市,区县,办学类型,办学性质,官方地址,官方网址,官方电话,电子邮箱,创建时间,占地面积(亩),隶属于,学校地址,学历证书,电子简章,国家级示范学校,国家级重点学校,省级示范学校,省级重点学校,市级重点学校,省级高水平中等职业学校,市级示范学校,其他可补充字段,职业
1243,陕西省华夏职业学校,陕西,西安市,蓝田县,中等专业学校,民办,陕西西安市蓝田县,--,029-87556114,--,,,--,--,--,,,,,,,,,,{}
1244,扶风县职业教育中心,陕西,宝鸡市,扶风县,中等专业学校,公办,陕西宝鸡市扶风县,--,0917-2651310,--,--,30,扶风县教育体育局,扶风县城新区西大街,--,--,,,,,,,,,"{'机械设计制造类': ['数控技术应用'], '电子信息类': ['电子电器应用与维修'], '计算机类': ['计算机应用']}"
1245,陇县职业教育中心,陕西,宝鸡市,陇县,中等专业学校,公办,陕西宝鸡市陇县,--,0917-4586008,lxzjzx4586@163.com,1964,25,陇县教育体育局,宝鸡市陇县东南镇梁家村,--,--,,,,,,,,,"{'机械设计制造类': ['机械加工技术', '焊接技术应用'], '纺织服装类': ['服装制作与生产管理'], '计算机类': ['计算机应用']}"
1246,渭滨区职业教育中心,陕西,宝鸡市,渭滨区,中等专业学校,公办,陕西宝鸡市渭滨区,--,0917-3387113,--,,,--,--,--,,,,,,,,,,{}
1247,眉县职业教育中心,陕西,宝鸡市,眉县,中等专业学校,公办,陕西宝鸡市眉县,--,0917-5550143,--,1999,138,眉县教育体育局,宝鸡市眉县县城城东2公里,--,--,是,是,是,,,,,,"{'机械设计制造类': ['焊接技术应用', '机械加工技术'], '自动化类': ['工业机器人技术应用(校企合作)', '电气设备运行与控制'], '道路运输类': ['汽车运用与维修(校企合作)', '新能源汽车运用与维修(校企合作)'], '电子信息类': ['电子信息技术(校企合作)'], '计算机类': ['计算机应用(平面设计)', '计算机应用(影视动画制作)', '数字媒体技术应用'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理(酒店)', '旅游服务与管理(汉语导游)'], '艺术设计类': ['美容美体艺术'], '教育类': ['幼儿保育']}"
1248,岐山县职业技术教育中心,陕西,宝鸡市,岐山县,中等专业学校,公办,陕西宝鸡市岐山县,--,0917-8212474,--,,,--,--,--,,,,,,,,,,{}
1249,凤县职业教育中心,陕西,宝鸡市,凤县,中等专业学校,公办,陕西宝鸡市凤县,--,0917-2653356,--,2008,51,凤县教育体育局,宝鸡市凤县凤州镇学府路,--,--,,,,,,,,,{}
1250,千阳县职业中等专业学校,陕西,宝鸡市,千阳县,中等专业学校,公办,陕西宝鸡市千阳县,http://qyxzyzz.com/,0917-4241362,qyzyzx@126.com,1983,120,千阳县教育体育局,宝鸡市千阳县东海路,--,--,,,是,,,,,,"{'机械设计制造类': ['数控技术应用', '焊接技术应用'], '自动化类': ['工业机器人技术应用'], '电子信息类': ['电子电器应用与维修'], '计算机类': ['计算机应用'], '电子商务类': ['电子商务'], '物流类': ['物流服务与管理']}"
1251,凤翔区职业教育中心,陕西,宝鸡市,凤翔县,中等专业学校,公办,陕西宝鸡市凤翔县,--,0917-8925063,--,2003,--,凤翔县教育体育局,宝鸡市凤翔区城关镇太白巷46号,--,--,,,,,,,,,"{'机械设计制造类': ['数控技术应用', '焊接技术应用'], '纺织服装类': ['服装设计与工艺'], '电子信息类': ['电子电器应用与维修'], '计算机类': ['计算机应用'], '表演艺术类': ['舞蹈表演'], '民族文化艺术类': ['民间传统工艺']}"
1252,宝鸡市陈仓区职业教育中心,陕西,宝鸡市,陈仓区,中等专业学校,公办,陕西宝鸡市陈仓区,http://www.ccqzjzx.com/,0917-6212121,ycc1961@126.com,2003,105,陈仓区教育体育局,宝鸡市陈仓区虢镇工业园区,--,--,,,是,是,,,,,{'自动化类': ['工业机器人技术应用']}
1253,太白县职业技术教育中心,陕西,宝鸡市,太白县,中等专业学校,公办,陕西宝鸡市太白县,--,0917-4951906,--,2000,25,太白县教育体育局,太白县咀头镇南大街中段,--,--,,,,,,,,,"{'机械设计制造类': ['机械加工技术'], '电子信息类': ['电子技术应用'], '计算机类': ['计算机应用']}"
1254,金台区职业教育中心,陕西,宝鸡市,金台区,中等专业学校,公办,陕西宝鸡市金台区,--,0917-3516656,--,1981,--,金台区教育体育局,宝鸡市金台区中山东路4号,--,--,,,,是,,,,,"{'机械设计制造类': ['增材制造技术应用'], '电子信息类': ['电子技术应用'], '计算机类': ['计算机应用'], '物流类': ['物流服务与管理'], '艺术设计类': ['工艺美术'], '表演艺术类': ['音乐表演']}"
1255,陕西振华职业中等专业学校,陕西,宝鸡市,金台区,中等专业学校,民办,陕西宝鸡市金台区,http://www.sxzh.net/,0917-6262688,--,1988,528,金台区教育体育局,宝鸡市蟠龙新区6号,--,--,,,是,,,,,,"{'计算机类': ['计算机网络技术', '计算机平面设计'], '物流类': ['物流服务与管理'], '餐饮类': ['中餐烹饪'], '体育类': ['运动训练'], '公共事业类': ['社区公共事务管理']}"
1256,陕西亚太职业中等专业学校,陕西,宝鸡市,金台区,中等专业学校,民办,陕西宝鸡市金台区,http://www.sxytzyzz.com/,0917-6557000,--,2001,127,金台区教育体育局,宝鸡市金台区蟠龙新区1号,--,--,,,是,,,,,,"{'铁道运输类': ['铁道运输服务'], '道路运输类': ['新能源汽车运用与维修'], '计算机类': ['计算机应用(大数据技术应用)', '移动应用技术与服务'], '护理类': ['护理'], '教育类': ['幼儿保育'], '公共服务类': ['老年人服务与管理']}"
1257,宝鸡商贸交通职业学校,陕西,宝鸡市,陈仓区,中等专业学校,民办,陕西宝鸡市陈仓区,http://www.bjsmjtxx.com/,0917-3433636,--,--,200,高新区教育体育局,宝鸡市陈仓区陈仓大道657号,--,--,,,,,,,,,"{'航空运输类': ['航空服务'], '计算机类': ['计算机应用']}"
1258,陕西工贸职业中等专业学校,陕西,宝鸡市,金台区,中等专业学校,民办,陕西宝鸡市金台区,http://www.shxgm.net/,0917-3666607,shxgmzhyzhzh@163.com,1995,170,金台区教育体育局,宝鸡市金台区宝福路118号,--,--,,,是,,,,,,{}
1259,陕西中北职业中等专业学校,陕西,宝鸡市,渭滨区,中等专业学校,民办,陕西宝鸡市渭滨区,http://www.zbzyzz.com,0917-8813900,--,,,--,--,--,,,,是,,,,,,{}
1260,咸阳市秦都区职业教育中心,陕西,咸阳市,秦都区,中等专业学校,公办,陕西咸阳市秦都区,http://www.xyteach.cn,029-33698922,xy_gyz@163.com,1985,127,秦都区教育局,咸阳市秦皇路东段83号,--,--,,是,是,,,,,,"{'自动化类': ['机电技术应用'], '道路运输类': ['新能源汽车运用与维修', '汽车运用与维修', '汽车车身修复'], '计算机类': ['网络信息安全', '网站建设与管理', '计算机平面设计', '数字媒体技术应用']}"
1261,三原县职业技术教育中心,陕西,咸阳市,三原县,中等专业学校,公办,陕西咸阳市三原县,--,029-32591992,--,,,--,--,--,,,,是,,,,,,"{'机械设计制造类': ['焊接技术应用'], '自动化类': ['机电技术应用'], '道路运输类': ['汽车运用与维修'], '航空运输类': ['航空服务'], '计算机类': ['计算机应用'], '电子商务类': ['电子商务'], '教育类': ['幼儿保育']}"
1262,咸阳市礼泉县职业教育中心,陕西,咸阳市,礼泉县,中等专业学校,公办,陕西咸阳市礼泉县,--,--,--,1983,150,礼泉县教育局,咸阳市礼泉县朝阳大街东段,--,--,,,,,,,,,"{'电力技术类': ['供用电技术'], '机械设计制造类': ['机械加工技术'], '自动化类': ['机电技术应用'], '道路运输类': ['汽车运用与维修'], '电子信息类': ['电子技术应用'], '计算机类': ['计算机应用'], '电子商务类': ['电子商务'], '教育类': ['幼儿保育']}"
1263,乾县职业教育中心,陕西,咸阳市,乾县,中等专业学校,公办,陕西咸阳市乾县,--,029-35519998,--,1996,107,乾县教育局,咸阳市乾县工业区83号,--,--,,,,,,,,,"{'机械设计制造类': ['机械加工技术', '数控技术应用', '焊接技术应用'], '自动化类': ['机电技术应用', '工业机器人技术应用'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用'], '电子商务类': ['电子商务'], '旅游类': ['高星级饭店运营与管理'], '教育类': ['幼儿保育']}"
1264,永寿县职业教育中心,陕西,咸阳市,永寿县,中等专业学校,公办,陕西咸阳市永寿县,--,--,--,,,--,--,--,,,,,,,,,,{}
1265,彬州市职业教育中心,陕西,咸阳市,彬县,中等专业学校,公办,陕西咸阳市彬县,http://www.bxzjzx.com,029-34924119,--,--,--,彬州市教育局,彬州市泾河新区教育园区 ,--,--,,,,,,,,,"{'机械设计制造类': ['焊接技术应用', '数控技术应用'], '自动化类': ['机电技术应用', '工业机器人技术应用'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用', '计算机平面设计', '数字媒体技术应用'], '教育类': ['幼儿保育']}"
1266,长武县职业教育中心,陕西,咸阳市,长武县,中等专业学校,公办,陕西咸阳市长武县,--,029-34202143,--,1982,50,长武县教育局,长武县牛弘南路北段,--,--,,,,,,,,,"{'自动化类': ['机电技术应用'], '计算机类': ['计算机应用'], '教育类': ['幼儿保育']}"
1267,淳化县职业技术教育培训中心,陕西,咸阳市,淳化县,中等专业学校,公办,陕西咸阳市淳化县,--,029-32777687,--,,,--,--,--,,,,,,,,,,{}
1268,咸阳中铁工程职业技术学校,陕西,咸阳市,秦都区,中等专业学校,民办,陕西咸阳市秦都区,http://www.ztgy.cn/zhongzhi,029-32879529,1468869450@qq.com,,,--,--,--,,,,,,,,,,{}
1269,咸阳卫生职业学校,陕西,咸阳市,秦都区,中等专业学校,民办,陕西咸阳市秦都区,http://www.xywszyxx.com,029-38835466,--,2009,10,秦都区教育局,陕西科技大学(南校区),--,--,,,,,,,,,"{'计算机类': ['计算机应用'], '护理类': ['护理'], '药学类': ['药剂'], '财务会计类': ['会计事务']}"
1270,咸阳协和职业学校,陕西,咸阳市,秦都区,中等专业学校,民办,陕西咸阳市秦都区,http://www.xyxhzx.cn,029-33352155,--,1994,--,秦都区教育局,咸阳市秦都区建民路南段,--,--,,,,,,,,,"{'护理类': ['护理'], '药学类': ['药剂'], '医学技术类': ['口腔修复工艺'], '康复治疗类': ['康复技术'], '工商管理类': ['市场营销'], '电子商务类': ['电子商务'], '教育类': ['幼儿保育']}"
1271,咸阳未来科技职业学校,陕西,咸阳市,秦都区,中等专业学校,民办,陕西咸阳市秦都区,http://www.xywlkjzyxx.com,400-663-6693,xywlkjzyxx@163.com,--,70,秦都区教育局,咸阳市秦都区人民西路49号陕西科技大学北校区,--,--,,,,,,,,,"{'航空运输类': ['航空服务'], '计算机类': ['计算机应用'], '电子商务类': ['电子商务']}"
1272,铜川市印台区职业技术学校,陕西,铜川市,印台区,中等专业学校,公办,陕西铜川市印台区,https://ytqzyjsxxsch.91yunxiao.com,0919-2691078,--,,,--,--,--,,,,,,,,,,{}
1273,"<img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAJIAAAAwCAYAAAD6ryNrAAAAAXNSR0IArs4c6QAAFp5JREFUeNrtnHl4VtWdxz/nvm/2kAQCMYGg7AphsYgLKrhUBbQ6U7XasY7t02rV6agjLuNWW9exbnWrS4darcNQa221toALFR2jgqCsssm+JGAgkAABkrxn/jj3vvecc8998wbp09Zynuc+9825a+75nu9vPT/BfjQ556hCPt83HSnHpDsFUh309wjpuPJaceaixznYvnRNdBpEUyfkITb8ESlP278niivEhIXPHPz0X67mdZKJcmD9b/cbROouT8mpQ7978NP/gzKSnD5yALL1BaQ87gA8NwXiDgrK7xWnzGw7OAz/IECS04ddhuSnSFlkHCg5Ao79BSRL9LOtPbB1Fsy9Ctr32k+fDd4lYsKCZQeH4ksMJDlt2GjgdqQcHznYpT8c80vI7Zrdkxpq4eOroX2f/QotCG6ltPhpcfwHLQeH5EsCJCm/kWD60nOBibFirGoc1NwOOSWde9rWWbDgFtizxfUm24Bn8bwnxbgFqw8Ozd8hkOTU4dV44hRk6lQkp4Ps5Tw7pxiG3Ao9v7b/T2xrgsV3w6ZpmfSn1/GYiUzMpkvRXHFibfPBofobB5KcNnQFkgEdnll+DAy/G/KrDsyT61+HxXfBvh0dn5vwoKgApATZrvQvmYKU9puU36f9ltqxlLWX2hbcI7inEP4cExZxC4ex66l+AUjrPOEpVVGI6B7rN3YfZr/9fM/vF546P9i7+kTwjiJ6rueZfwd9rr1xTaIOmElO4Y1ixOQNQk4dKuNh5kHFydD329B15IGH8b6tsO5FWPcS7G3IfG6XQnPApQ0IH2RSmqCyz0MqsNgA0o/rEl+KKACwB9oCm/A0e8M6J7hX+ncAuphnuJ4vRHSAhecGhg0k+xohHMB0XB8Pwm0k8ke4gZQshJ5nQ99LoPDQvzwvyjaoex3W/i9sX+A+p6RQYxMHM7mAEYAm3a8BLRWc327eF2kOdISBRJRxYtlDAwkuNrIAJzTwoB2PgNHFQo6/vYR1vgN0iAwgy8R2xu8pUSCNfgFKh4JI/nWE7c5VsH0eLPyRxUgF8WwSAUwqylypLBhMpuJFmVPkdMA4OpCki410BiILtvNCgAlrwCPsEdMnAtHoYimvY7Zzs1Rd1LNdduRfD0QAxf2g+twY5pLaYPpTOa0HEQIk6A/oQv/t8ndJbbMPp8HgMnQdv6XVnwaP9rd9LLhGf6b9fIPdbADa9rdQNxX+ecJSV4T1P0nrn9bf2T43DR7Tjvf4u2pSYyN/E/pHEOExgQUqLMBYwEFGP6DUABz96lF9SsT8NkAjoxNDYCrj9vWyA6BiiUKhi0VMNk0/X5jA0HW7uPc3/n/9mYK/HyClxY41ewwmsVgmPVg2K8koq7kYxJj90qELiegrCWH+Tu81hrBFl7RmvE0z6efrbCCswRVRlhMOFjMYRsQwnQVSl7i2zv3bBFJqT7zf1CW6ImLNBpUOPE0M6hkvUkalX+QdRBTIwn4/N5FGzPs48MbdAxEvXoWI8RAKd/DCmCwZHmqDygU2/72SINpBJgx/YCZ8TRvm7h/9gtKv4tq866DuDbOv55kw4icOt4DlW/I0AAn/FYNJKiUU9oPda0DuCz9OsgzKT4JNL5vsJQQUDYTmZUB7CCzhmJ1eERRUQfse3xvfHlWGJeDlQlEf2LsVWhvDfttKs1kqWQKtzdHx1lmtS39IFkNrE+xeF6/wC2vzcpU1LGL+N6ExjWexbKBHBcdcIjsNLAl4eCAbjUFr/Qs4kTe9FgVRQSXU3OY+v3V7Bh1JY52cHlDzABz3J+hzZXi8xzgYOwtGPAFdjzNnXF4ljPkznPIhVJ4dFY+68tt9NJyxACYshx5j3GIxvxLO2QSnzYL+V4Tg1gfK0IH9jupz4YwPoOsIx201MXbENXDyq3D88zHKtUO8ltTACb83IxAiAXnlkNMNcrupffp3V2srC/eZGFZj2iSIbSC7G4OYUxoPin5+KtH636pZ0lHbUwef3hulzOH3QrJLjKNye/R8AaQsfah9twKK8KDvFbD5T7BzKez4OFQcB/8I3jsjvGbYg2qGdxkMJUOg7hXTGhR0IGMsJti7GXYshrLhauCW/Jf2kaVl5vvXFFTByIcVaxw/Gd49H3Yud+hExIumyG8feIkiOOpJFQcdfJv6/tvnQclgGDWpk+GsZvj4ItMJmnYDmKzkIdiaUazY7fBr1ZZbmp2VteBWaN1pdvf5NnQ7OoPHu9Eh02VUwW5vhuV3+WIoF6ov8sFbD+tfUL+LBkJRf1+UngeVZ6rfjXNh+f0aiETUDHd5DIr6wuE3+Nv1MOh6SLX6TtMjoOaHcPjEcBt0bejUDXTilnpYeKfqy+0Ko59T+4CJZAyAnCDS2U9CajcsfcD/JkmouQuSpW49qtNhWRmqFNY7JYFt2YmV/WirfwVbP7Ici4Ng0NWZr2taYulIlmWVUwp9rwlFWXuLGkwvDwbfq/pzy9W5296HflcqXajqn7T/cweMeERd3/gRrH1e8/slgYQCZ/odctRWPAiG3Bb/7oP+I9rX+DHsXm+OyapnofQI6HMxFPWGo5+B9y9STlJdpwneQe+343O2xVY3FcqPVQyZXwH9vw9rfgWrJ0UZLLc7VPkivnEO7Pw0PJZqdehXImphKiDJetOzvBJ6jD0AHuoVsOIxK/iaC0fepwYkU9s+zwKSp80ECYkC6HWBde8CqP5m9F4Vp7ufUXGqFhIqhjXPheLwrA1R8X787/xg85v75f4yrLtA1M3/oYphlg5RLCrbNWD4emAi37eB9plKuBdnQfnbsgeh2zFKPK3+BbTtgLXPRT3TxYeHQNoxR4n6iIc7gzPVU/skiI9Afi8cxAUHJnY2/+ZoEtugq6F4YMfX7lhsAUmY5r0d+G1twmk/S2KciH4r7Ouzj+3wy9C21sLC/1Sm5KCJSgyveT68R//LwCuAFY+HfXvqo34mANkKH12pjI6512nuAc3c9/L8d+0dXh9hBoc61b4LFt0KLesUmGwHpHC5BmKckHEWnsFIIvkhslVjg/lfHEjLH4MmK3u2/BilG3XUmpaaKblpxVPXj3Tx+RSse9YRV9NiaZFgrX/u6UuU2W6HAFY8qpig4rQw62H9S7B7LTS8p+KBZUdC7wsUEAsq4aPvQ//Lod+lvkidDWunWCZ6YNF5IWCaV8KH39UGxXK95JWHgfTCntBSp/k+PJOhpH9ewDjNK3wXh69HFfSC7mOUyGqcBfu2RKnT6SuSVnzQdlNIkowbsIjpS3YiKVaK6udqBuVX7h+Its2B1c+bfTklykrLpjW8b4ksYYo1F20U9vVN1QA0gT9MWnlJ2r55mXs2SgnL7gORA4d+Kzy85W1YN9lnyDw46umQzTa9pj7qpj/AgB9AYS848iHY+zlsnuEzjT+L+/4rDLnJfPTmd2DuNY54olAgTcchByhFXXcO6jpTfgWc9Lp57/W/gc8eVf9eQW/o/++qf8mPoWGLI0bnYKIgaJs2Wq1JITySQrzULqcNnQOcHA5mLVSf13kQte1SVpodzqi5DfIPye4eG16JAklanuy2XbBhsuprXgIDrodDJnTuXWd/C9ZPVkp549xoWKD6G2oGB23kE8rdsPEVGHyLstAANv4BNr6mrmmph/cvhJOmq2zSUT+Hd8bDzs98EAvFdHaee7LIHTvLKYEczUXSZYAaG1tPylZPy2QBghLJydIwyi/bVJQhzlmqPd+fUmIGyBBIG17dPyB9ei+0bIp6r6smZM9munUTAMmO4rdth2V3hAzU++L9CwAvudM093WxMuAq66N7MOq/oagfDPSPtTaFpjb+7GzdDnN/AMc+p8B07PPwzgSlp0hg90bY8p4v7keFynQwu9OOVwHdrZT58lE+2wuHBYdSCTa+qn5XneUzpghTRyIhF0tPOvQStaXHoxZWPWCeG6Mn+UBK/A+i7U6kf9fGT9SAFvbOflzq31SzM1vvtZONfmfN1ASWu9nyQvvMt/weWPmYFj/Tco4SBYqxdCutfpqa2RIrkOp/4IrToGyEhbt2ZW3W3G6K7K/8FN4dH77i6CmKcXavg6LDVIjjiOtVfpVA5apvmqaeefoHyvTHElXBzK840bI0xyonbvtOTU/SlOf2Zlhyt+o75DTLkJBu31xn3EsxbITwo/9iwrw1wEzjogDZ2bY1L3TOe+0Ki9imdTKYTRnyiaSElvXQvEhtTQuhaRHsWKi81yOfDUHUshFmfxM++DrsrY9mBQQOwaH3aH/7ben9kGoLnY+71ql9t1FwyDiffc+CsmFQWK2+35aZsGuNMj4Mx3hMANjOUKjwwzI7PlXP9nKh57h4q0s6LEPhCLrGBYt3r4XG2bD9I7XtXum4xnM6N5PaCc8hU6cY7ND/UvDys5QUsnPea7uteEoFR/V/MmEzkIxG//XgrT4Y3cfCkU/6Ppg2WPUkLL3bN4WlZY5rFtNh31EZogAbXlKWGcDWD6H268r52fsCWPognDFHsdKQW2DzWzDYV6L3blPg8fKVjrN3qzvuFqfkBuZ+0WHq96pfwSEnQ8/xSlXQmVuImBQUMpv2Lj3p8zeg3vcjeZ4p7iMpK6ZCrgGJlxH8zLDeVr+g/CKdbdl4r/W2a42yLgxLz3PPVgH0mwhV58VrkVJCIs8US9UXQvUF8e8wc4yK8QWiq2kxrP91CCSAhv9TH7BxrvqAS34Cw++B0ho45hehAr78ET+qv9MEkYhJ6wgGp/xo2DpHdQ28PNR76t9UqkbP8VB+HJQOg6ZPHaImLqVExIBJxPuO7HwmOxNAmBkQaQ1MjFuwC8QjZojj2Wjcq6OWrfdab8seUqyhOyADINlJazIFiWLI6+FvFdEt/xDlDki/U57qy6+M3/AU2wTGwuIfO5LpLGfnqknQvNwXa36kffd6Ff6IYwGDObUB7X0unPhrJRZLh0Kff1GH1r0EbTsVeJuWqoE09E5HloENlrwK6HacG8MiA4EZbI0JMCvPz0zO7lJyP81NlyNlD6W37ISVz4SUrbexUw9MPK6hFjbPtJxwSVOZNpLThJLf6f8sZekX/rn5VaHusmOBchDqx+2v1r5LHZs/EWruhPrppoLu0itkGyx9SMXJgrZykvJYIxw55rgdfuVHQeVXVV/l6VB9jhIpbS2w4snw3DWTYfhdUDYUep8HG39vhUYculBxfxj5c6Uzbp7qsNpc7GUxnXB7s3WmMoAkTqxtllOH3gWE2uG6F6FqfOaktf1te7cov5PBaMEaqyB7zQqNyBTU/xHqX8u8SqT8pBBIW2bA4ttMa05fvKhnLm6bBbMuihcFehpu97FKtOlt8A1qjd6Gl62Qh+P6QP8I/EoNsyC3DLodGYJyT0Po19n4Jzhiojp/0DXQ8IH6hnZukj5Ryr6i9qXDTSCJmDQVPURj+6mEg5z9c6KpkBV5TyNYmf471Qbzbsgu96hTbpx2+OR6pUPoLTfpsGAsseAKm9jxNeH6CDL09xh0LU2Z7xTnwswEGHQdnPAy5HUPg91BAHjUz2DkY+qYnY+UFhmeAk3ac/4u1M+Aw30fVeN8WP6kpafshQW3qffNLYOjn1Z7e12c8EL/VDoDYRYUVId/5/eEokFQoK1bzOsBRQPUVtgfCvpBXs+oniW8iG8psu5IjJrbKqeO+DdE+/S0X6mlHhbeCiMPYNW+ZQ8rf5UNooTwo+BEPdq6/0g6wiWJYiiuVimsVedoAcw9mqWnRdYNi0TzyxjOQQuIvc5VaSTF/TTXwMOw9D7oeykMu1P5bw69AHqdrVJpVvxMTRj9vmXDIVHoh0hmQsOHMPSW0HM/d2I0pUQCn78Lnz0DA69QccKRj8PcK5QHWkrFXqXDVEYkKHdF6w7l+de9/4ddCodZY1L5z2rTW/Mi+OwOTYwZs9X0I0XAdOb8N8C7z4wHzVTK5YFo636jPrDtfMxNRt0IadZIRYFjr0UrGwljZsLoP5ge2l0ro8qtiFneE2dGe3lw0gw45tkQRO0tMPsyBSJ85bv2gpBlEwUw4HI4+Q3f06LN6u3zYNHdKs62ZgrU3BRKgDnX+PnZLvNewMqn4XPfO15aA9Xnm0p300JVW6G1GRZMhF0rvth4CWEmAOpO0HT0P67ld7udloaxwAkhizyqfCN9Lt7/l1o7GT69zxokDwpyrGyPlLmGLe2gdSw/CoKyW2uVn0h3gja8BxtfjopIQ+TIcCVsnBnTvlflWHU7yveOvwULbvYXHWjgbKiFt05UBkrfixUzrJykovD62jIh4LNJsOo51Vc3AypPhU9uUo5MXb+KJOFLVR5o9BTYswnWTYlOkGX3KWt0z0bYVKh0P1tZtsMkEReCgLbGkOnsCICWdZC50NbrR/cm1TIPSTfjwJCb4bCLOg+i1b9UYsBmnMKCMAsytkBEKlzv76ooEoCu+iIl4navUZbKrpWhMi5T2ReCQCidouosf6D9Mjwn/E5VUamfppnClr8lGIySGhh0FXx8rUpMM55nPcvLg8rTwvCJvYw6vWxaSzgrHqAU+yBk4sUt0/Z1MtfybeFYmi0Cg8dzF5GIPEt0HGmR04ePQcppkbJ/g2+APpdkr1gvf0zzr2goKsxTlpqr1EyqPVowQmZZWcRlyRl+EOFwvukD7CgcIax8alcRCaEViIg9Zj3DqDSiDxTWwHshg2cCjn19GhyOe8YBz1kKJ/752dWQnDrsJGAqyELjQNV4GHZHqDS6WstGmH8TNM6Lyt2CAhVPM0rROECjF4mIqy4iYxhKxgAprj6Ri5lsALnK00QWQOJmv0zPd5aSyVD3yMUezrpGNvsc+PpKWa20FWcufAfP+xoIs8Zj3XSovTD07tqtbhrUnu8GUVEh5GjRfVtx1qOQenxNYOpN9vJsWxeyC0S4QgDOpJ2Y1bOu66XtRsAqEOFwS7ieH7vuP8YQ0OsGuByeLsvWrjUQ8SEJd4AX6X4+dKwjRZhp2vCvIuVvQZaZTsR86Pc96PcdpYw3L4cVT8Dmtx3WjweFRWGeUVCfSOrpsan4QljZ1D2S1v3QlmQLh/hylpfRjut6kC2+dMvPJfogylaxJXG8jlnJ00VMwnyWs7KaJZZi6x656it5pp4U6GiO+kqdr/z/5rB+tPESUkZLuOVXqDjRlrcd7ALk5ilxlmaamFzqbIEjrcJb9r2Mim2YhayyqXXUYck/yFjrSGYAnquIljHIWQDKrrCWrW4TuWdM3aMARJZi7aqv1OkiEuL0hauQ1cfj8VTk4J4tsPnPDl+QgKIiKCr2EQ3RyiEymjKim/xOns+iPpKwuVe4QxZxdY9cCWeIaDqRq9aRs/CCcIuuuLiX8EwdzgZZxtSQDOa+sSg0Lq0Fx3InLzq/pKj7Qssv5esjLqQ99SjI+ITsnFwoLFaWmdOqsk17vaSfxlK6hSbtVSI2c1nlAVMpiw0c5fcyVl5zWGFxLONSpiPnCbf4jFOGHea2WTPSxVIxirddpc24byJkLmFZffHV2sBLTPlCZW3EuPkvUlA+ACHuRlqKeDIXSrpBSVfltc6mPpHUQhS6Ym14tnEr5Lqyaye66YpnHDPgCnzqYspxPRlyd6R0K75OkepIbpN2nzRTO4SIzx1yKt6YUfvI/9/B++NiWAF42/DkjV90QXg4nDNG9KKVhxDiDIpKIS+vq6G72IwTsI2LaYJzImWNY9aqyQxlj4Nyx3Z12Kyq1MaUO85UM1JgesldfiNiqtTGMY3THLcUbOc1ltnvcgdkLDQaY/arfR3Cm0nSu1EMnLTh/wGbcwkJmHH6iQAAAABJRU5ErkJggg=="" alt=""""",陕西,渭南市,韩城市,中等专业学校,公办,陕西渭南市韩城市,http://www.hczhizhuan.com,0913-5293169,--,1981,102,韩城市教育局,韩城市新城区黄河大街北段,--,--,是,是,是,,,,,,"{'土建施工类': ['建筑工程施工'], '自动化类': ['机电技术应用', '工业机器人技术应用'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用'], '旅游类': ['旅游服务与管理', '高星级饭店运营与管理'], '文化服务类': ['社会文化艺术']}"
1274,澄城县职业教育中心,陕西,渭南市,澄城县,中等专业学校,公办,陕西渭南市澄城县,http://www.cczzedu.com,0913-6868013,--,,,--,--,--,,,是,是,,,,,,{}
1275,蒲城县职业教育中心,陕西,渭南市,蒲城县,中等专业学校,公办,陕西渭南市蒲城县,--,0913-3337890,--,1996,260,蒲城县教育局,蒲城县尧山路西段15号,--,--,,是,是,是,,,,,"{'机械设计制造类': ['数控技术应用'], '纺织服装类': ['服装设计与工艺'], '电子信息类': ['电子技术应用'], '计算机类': ['计算机应用'], '电子商务类': ['电子商务'], '餐饮类': ['西餐烹饪'], '表演艺术类': ['音乐表演']}"
1276,合阳县职业技术教育中心,陕西,渭南市,合阳县,中等专业学校,公办,陕西渭南市合阳县,http://www.hyzhizhuan.com/,--,--,2001,120,合阳县教育局,渭南市合阳县城关镇官村,--,--,,是,是,,,,,,"{'机械设计制造类': ['数控技术应用'], '道路运输类': ['汽车运用与维修'], '航空运输类': ['航空服务'], '电子信息类': ['电子电器应用与维修'], '计算机类': ['计算机应用'], '餐饮类': ['西餐烹饪']}"
1277,富平县职业教育中心,陕西,渭南市,富平县,中等专业学校,公办,陕西渭南市富平县,--,0913-8236205,fpxzjzx6205@163.com,2002,--,富平县教育局,渭南市富平县城区东环路南段,--,--,,,,,,,,,"{'土建施工类': ['建筑工程施工'], '机械设计制造类': ['机械加工技术'], '自动化类': ['机电技术应用(现代制造)'], '电子信息类': ['电子技术应用'], '计算机类': ['计算机应用'], '电子商务类': ['电子商务'], '表演艺术类': ['音乐表演']}"
1278,白水县职业中等专业学校,陕西,渭南市,白水县,中等专业学校,公办,陕西渭南市白水县,--,0913-6159298,--,,,--,--,--,,,是,,,,,,,{}
