学校名称,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置,官网
福州高级中学,省重点,公办,中学,福建省福州市乐群路18号,0591-3441216,福建省,福州市,仓山区,http://www.fzgjzx.cn/
北海市北海中学,普通,公办,中学,上海市普陀区管弄路51号,021-62147566,上海市,上海市,普陀区,
河池高级中学,普通,公办,中学,河池市教育路105号,,广西,河池市,,http://www.gxhcgz.cn/
甘肃省兰州第一中学,省重点,公办,中学,甘肃省兰州市城关小沟头150号,0931—8824122,甘肃省,兰州市,城关区,http://www.gslzyz.cn/
兰州大学附属中学,省重点,公办,中学,甘肃省兰州市城关区一只船南街2号,0931-8846809,甘肃省,兰州市,城关区,
天水市第一中学,省重点,公办,中学,甘肃省天水市秦州区泰山东路8号,0938-8271002,甘肃省,天水市,秦城区,https://www.ts1z.cn/mettart_list/49
兰炼一中,,,,,,甘肃省,,,http://www.unwtt.com/b/llyzbrofmv
定西市第一中学,,,,,,甘肃省,定西市,,http://www.dxyz.gs.cn/
甘肃省庆阳第一中学,省重点,公办,中学,甘肃省庆阳市西峰区南大街32号,0934-8213127地址：甘肃省庆阳市西峰区西大街178号,甘肃省,庆阳市,西峰区,
金川公司总校第一高级中学,省重点,公办,中学,甘肃省金昌市金川区,0931-3685702,甘肃省,金昌市,金川区,
兰化公司第一中学,,,,,,甘肃省,,,
静宁县第一中学,省重点,公办,中学,甘肃省平凉市静宁县城关镇中街170号,0933-2521643,甘肃省,平凉市,静宁县,http://www.jingningsms.com/
兴义市第八中学,普通,公办,中学,贵州省黔西南布依族苗族自治州兴义市富民路188号,,贵州省,黔西南,兴义市,http://www.xybz.com.cn/
遵义市第四中学,省重点,公办,中学,贵州省遵义市红花岗区石龙路14号,0852-8223172,贵州省,遵义市,,http://www.zysz.com.cn/?btwaf=25502760
遵义市南白中学,普通,公办,中学,贵州省遵义市播州区遵南大道401号,0851-27250159,贵州省,遵义市,,
贵阳市第三实验中学,普通,公办,中学,贵阳市富水南路中山大厦B座,0851-8645477,贵州省,贵阳市,,https://www.gysysz.cn/
贵阳市清华中学,省重点,公办,中学,贵阳市花溪区清华路30号,0851-3851955,贵州省,贵阳市,花溪区,http://www.gyqhzx.com.cn/
贵州师范大学附属中学,省重点,公办,中学,贵州省贵阳市宝山北路199号,0851-—5934305,贵州省,贵阳市,云岩区,
遵义航天高级中学,省重点,公办,中学,遵义市汇川区宁波路176号,0852-8611619 8611987,贵州省,遵义市,汇川区,
铜仁第一中学,省重点,公办,中学,贵州省铜仁市向阳路7号,0856-5223234,贵州省,铜仁地区,铜仁市,http://i.tryz.net/
贵州省思南中学,省重点,公办,中学,贵州省思南县思唐镇文化街197号,0856-7225114,贵州省,铜仁地区,思南县,http://www.gzssnzx.com/
太原市第五中学,省重点,公办,中学,山西省太原市迎泽区青年路49号,0351-4094288,山西省,太原市,迎泽区,
晋城市第一中学,省重点,公办,中学,山西省晋城市东大街963号,0356-3096875,山西省,晋城市,,
忻州市第一中学,省重点,公办,中学,山西省忻州市忻府区和平街8号,0350-3025377,山西省,忻州市,忻府区,http://www.xzyz.net/
康杰中学,省重点,公办,中学,山西省运城市空港新区康杰北路10号,0359-2576010,山西省,运城市,,https://mh.yceduyun.com/portal?domainName=kjzx
长治市第二中学,省重点,公办,中学,山西省长治市府上街25号,0355-2024118,山西省,长治市,,
临汾市第一中学,省重点,公办,中学,山西省临汾市尧都区鼓楼西街31号,0357-3377555,山西省,临汾市,尧都区,
大同市第一中学,省重点,公办,中学,山西省大同市向阳东街1号,0352-5196128,山西省,大同市,,http://www.dtyznx.com/
怀仁县第一中学,普通,公办,中学,山西省怀仁市怀安大街77号,0349-3044031,山西省,朔州市,怀仁县,http://www.hryz.com/
大庆市实验中学,省重点,公办,中学,大庆市高新技术产业开发园区秀水路6号,0459—8156179,黑龙江,大庆市,,
牡丹江市第一高级中学,省重点,公办,中学,牡丹江市江南新城区,0453-6471809,黑龙江,牡丹江市,东安区,
哈尔滨师范大学附属中学,省重点,公办,中学,黑龙江省哈尔滨市南岗区学府路30号,0451-86620973,黑龙江,哈尔滨市,南岗区,
大庆铁人中学,省重点,公办,中学,黑龙江省大庆市让胡路区乘风西路6号,0459－5683040,黑龙江,大庆市,让胡路区,
哈尔滨市第九中学,省重点,公办,中学,黑龙江省哈尔滨市香坊区和平路165号,0451-82801485,黑龙江,哈尔滨市,香坊区,
哈尔滨市第六中学,省重点,公办,中学,黑龙江省哈尔滨市公滨路467号,0451-55641821,黑龙江,哈尔滨市,香坊区,http://www.6th-school.org.cn/
黑龙江省实验中学,省重点,公办,中学,黑龙江省哈尔滨市南岗区海城街1号,0451-86431159,黑龙江,哈尔滨市,,https://www.hljsyzx.cn/
佳木斯市第一中学,省重点,公办,中学,黑龙江省佳木斯市光复路1399号,0454-8605037,黑龙江,佳木斯市,,
大庆第一中学,市重点,公办,中学,黑龙江省大庆市让胡路区胜利路284号,0459-5168163  5168057,黑龙江,大庆市,让胡路区,
安徽省马鞍山市第二中学,省重点,公办,中学,安徽省马鞍山市花山区健康路2号,0555--8331030,安徽省,马鞍山市,花山区,https://www.ahmasez.cn/
安徽省六安第一中学,省重点,公办,中学,安徽省六安市解放北路55号,0564-3387519,安徽省,六安市,裕安区,http://www.layz.net/
安庆市第一中学,省重点,公办,中学,安徽省安庆市大观区龙门口街38号,0556－5513669,安徽省,安庆市,大观区,http://www.aqyz.net/
安徽省淮北市第一中学,省重点,公办,中学,安徽省淮北市相山区石城路30号,0561-3024962,安徽省,淮北市,相山区,http://hbyz.hbjy.net/
芜湖市第一中学,省重点,公办,中学,安徽省芜湖市黄山路146号,0553-3830606 3839820,安徽省,芜湖市,鸠江区,http://wh1z.whzhjy.cn/
安徽师范大学附属中学,省重点,公办,中学,安徽省芜湖市银湖南路135号,0553-3832205,安徽省,芜湖市,,https://fz.ahnu.edu.cn/
芜湖市第十二中学,,,,,,安徽省,芜湖市,,http://wh12z.whzhjy.cn/xyzx/21887.html
芜湖田家炳实验中学,,,,,,安徽省,芜湖市,,http://tjbzx.whzhjy.cn/
北京师范大学芜湖附属学校,,,,,,安徽省,,,https://jyj.wuhu.gov.cn/openness/public/6596321/21051181.html
湾沚区第一中学,,,,,,安徽省,,,
北京市第四中学,市重点,公办,中学,京市西城区西黄城根北街甲2号（近北大医院）,010-66175566,北京市,北京市,西城区,http://bhsf.lezhiyun.com/cms/
清华大学附属学校,区重点,民办,中学,北京市海淀区中关村北大街,010-62781662,北京市,北京市,海淀区,http://www.thues.cn/
北京市第一O一中学,普通,公办,中学,北京市海淀区颐和园路11号,62566753,北京市,北京市,海淀区,https://www.beijing101.com/
北京师范大学第二附属中学,市重点,公办,中学,北京市西城区新街口外大街12号,010-62354504,北京市,北京市,西城区,http://www.shsbnu.net/cms/832/sdmh/index.shtml
北京八十学校,区重点,公办,中学,北京市朝阳区望京北路甲16号,010-58047000-7009（校长）010-58047000-7023（教学处）,北京市,北京市,朝阳区,
福建省莆田第一中学,省重点,公办,中学,福建省莆田市城厢区东大路217号,0594－2631666,福建省,莆田市,城厢区,http://www.fjptyz.com/
泉州市第五中学,省重点,公办,中学,福建省泉州市桂坛巷,0595-22274446,福建省,泉州市,泉港区,http://www.qz5z.com/
福建师范大学附属中学,省重点,公办,中学,福建省福州市仓山区对湖路15号,0591-83472889,福建省,福州市,仓山区,https://sdfz.fjnu.edu.cn/main.htm
福建省漳州第一中学,省重点,公办,中学,福建省漳州市芗城区芝山南麓,0596-2022008,福建省,漳州市,芗城区,http://zzyz.net/
福建省龙岩第一中学,普通,公办,中学,福建省龙岩市新罗区和平路40号（364000）,0597-2290302,福建省,龙岩市,新罗区,http://www.lyyz.net/
湖南省长沙市第一中学,省重点,公办,中学,湖南省长沙市开福区清水塘路53号,（0731）82774885,湖南省,长沙市,开福区,http://www.hnfms.com.cn/
长沙市明德中学,省重点,公办,中学,湖南省长沙市天心区新韶西路豹子岭　,0731-88237799　,湖南省,长沙市,天心区,http://www.mdzx.net/
长沙市南雅中学,市重点,公办,中学,湖南省长沙市雨花区香樟东路178号,0731-85065645,湖南省,长沙市,雨花区,http://www.nanyaedu.com/
麓山国际实验学校,省重点,公办,中学,湖南省长沙市河西望月湖小区9片月华街59号,0731-8615610,湖南省,长沙市,岳麓区,http://www.cjedu.cn/
株洲市第二中学,省重点,公办,中学,湖南省株洲市天元区珠江南路518号,0733--28827802,湖南省,株洲市,,http://www.zz2z.com/
湖南省石门县第一中学,省重点,公办,中学,湖南省常德市石门县黄金路,0736-5323351,湖南省,常德市,石门县,http://www.smyz.cn/
岳阳市第一中学,市重点,公办,中学,湖南省岳阳市岳阳楼区洞庭北路124号,0730-8318395,湖南省,岳阳市,,http://www.yysyz.com.cn/
海南华侨中学,省重点,公办,中学,海南省海口市海秀路59号,0898-66712692,海南省,海口市,,http://www.hnqz.net/
海口市第一中学,省重点,公办,中学,海南省海口市龙华路14号,0898—66225979,海南省,海口市,,
海南省农垦实验中学,省重点,公办,中学,广东省湛江市麻章正南街一号,0759-3307293,广东省,湛江市,麻章区,http://www.nksz.com/
琼海市嘉积中学,省重点,公办,中学,海南省琼海市嘉积镇富侨路1号,0898-31692345,海南省,海口市,,http://hnjjzx.net/
文昌中学,省重点,公办,中学,海南省三亚市教育路46号 海南岛文昌市,0898-63222395,海南省,三亚市,,http://www.hnwczx.com/
湖南师大附中海口中学,省重点,民办,中学,海口市滨海大道路48号,0898-68583993,海南省,海口市,,
海南师范大学附属中学,省重点,公办,中学,海南省海口市美兰区灵山镇新大洲大道机场北路,0898-65728566,海南省,海口市,,http://hsfz.hainnu.edu.cn/
三亚市第一中学,省重点,公办,中学,海南省三亚市 三亚河东路82号,0898-88245478,海南省,三亚市,,
海南市琼山中学,省重点,公办,中学,:海口市琼山区文庄路10号,0898-65865927,海南省,海口市,,http://www.hkqszx.net.cn/index.html
西安交通大学附属中学,省重点,公办,中学,陕西省西安市兴庆南路135号/西安市雁翔路99号,029-82668353,陕西省,西安市,碑林区,http://www.xajdfz.com.cn/
陕西师范大学附属中学,省重点,公办,中学,陕西省西安市翠华南路115号,029-85265803,陕西省,西安市,雁塔区,https://www.sdfz.com.cn/
西安交通大学附属中学分校,省重点,公办,中学,陕西省西安市兴庆南路135号/西安市雁翔路99号,029-82668353,陕西省,西安市,碑林区,http://www.xajdfzfx.com/
西安市第一中学,省重点,公办,中学,陕西省西安市环城西路铁塔寺三号,029-88631130,陕西省,西安市,莲湖区,http://www.xayz.com/
宝鸡中学,省重点,公办,中学,陕西省宝鸡市东开发区高新大道29号,0917-8625066,陕西省,宝鸡市,,http://www.baozhong.com.cn/
西安市第二十六中学,省重点,公办,中学,陕西省西安市建国路118号,029-87457967,陕西省,西安市,碑林区,
西安高级中学,省重点,公办,中学,陕西省西安市碑林区东厅门85号/西安市未央区谭家街道渭滨路,029-83259399,陕西省,西安市,碑林区,http://www.xagjzx.com/
海拉尔第二中学,市重点,公办,中学,海拉尔区兴安西路,0472-8323054,内蒙古,呼伦贝尔市,海拉尔区,
包钢一中,区重点,公办,中学,内蒙古包头市阿尔丁大街12号,0472-5951398,内蒙古,包头市,昆都仑区,
平煤高级中学,市重点,公办,中学,内蒙古赤峰市煤城平庄,0476—3512143,内蒙古,赤峰市,,
通辽第五中学,,,,,,内蒙古,,,
包头市第九中学,省重点,公办,中学,内蒙古包头市昆区乌兰道17号,0472-2124402,内蒙古,包头市,,
包头一中,市重点,公办,中学,内蒙古包头市东河区环城路37号,0472-4143088,内蒙古,包头市,东河区,
北方重工第三中学,市重点,公办,中学,内蒙古包头市青山区青山路117号,0472-3135562 传真：0472-3158680 地址：内蒙古包头市青山区青山路117号,内蒙古,包头市,青山区,
鄂尔多斯市一中,市重点,公办,中学,内蒙古鄂尔多斯市康巴什新区鄂尔多斯大街,0477-8390606,内蒙古,鄂尔多斯市,,https://www.eedsyz.cn/
内蒙古师范大学附属中学,市重点,公办,中学,内蒙古自治区呼和浩特市赛罕区大学路10号,0471-6283721,内蒙古,呼和浩特市,赛罕区,http://fz.imnu.edu.cn/
青海湟川中学,省重点,公办,中学,青海省西宁市城西区海晏路苏家河湾2号,0971-6318636,青海省,西宁市,城西区,
西宁二中,,,,,,青海省,西宁市,,
青海师范大学附属中学,省重点,公办,中学,青海省西宁市城西区五四西路40号,,青海省,西宁市,城西区,https://fz.qhnu.edu.cn/
西宁市第十四中学,省重点,公办,中学,青海省西宁市城中区文化街,0971-8231379,青海省,西宁市,城中区,
青海师范大学附属第二中学,省重点,公办,中学,青海省西宁市城东区八一中路35号康乐新村水电四局家属院内,0971-7129087,青海省,西宁市,城东区,
湟中县第一中学,省重点,公办,中学,青海省西宁市湟中县近郊和平路290号,0971-2232153,青海省,西宁市,湟中县,
西宁市第四中学,省重点,公办,中学,青海省西宁市天津路69号,0971-4290370,青海省,西宁市,城北区,
西宁市第五中学,省重点,公办,中学,青海省西宁市城中区南大街43号,0971－8246140、8248001,青海省,西宁市,城中区,
乐都县第一中学,省重点,公办,中学,青海省海东地区乐都县仓门街,0972-8622484,青海省,海东地区,乐都县,
互助县第一中学,省重点,公办,中学,青海省互助县威远镇南街8号,0972-7311010,青海省,海东地区,互助土族自治县,
拉萨中学,省重点,公办,中学,西藏自治区拉萨林廓西路32号,0891-6823198,西藏,拉萨市,,
日喀则地区第二高级中学,区重点,公办,中学,西藏自治区日喀则地区日喀则市普彰路,0892-8822154,西藏,日喀则地区,日喀则市,
林芝地区第一高级中学,市重点,公办,中学,西藏自治区林芝地区八一镇学院路6号,0894-5824845,西藏,林芝地区,,
拉萨北京中学,省重点,公办,中学,西藏自治区拉萨城关区解放东路,,西藏,拉萨市,城关区,
拉萨市第二高级中学,市重点,公办,中学,西藏自治区拉萨市城关区东郊纳金路15号,0891-6353397,西藏,拉萨市,,
山南地区第二高级中学,区重点,公办,中学,西藏自治区山南地区乃东县安徽大道32号,0893-7832382,西藏,山南地区,乃东县,
日喀则地区上海实验中学,市重点,公办,中学,西藏自治区日喀则地区,,西藏,日喀则地区,,
拉萨市第三高级中学,普通,公办,中学,西藏自治区拉萨市布达拉宫西面德吉路北段,0891-6323317,西藏,拉萨市,,
日喀则地区江孜高级中学,,,,,,西藏,,,
日喀则地区第一高级中学,市重点,公办,中学,西藏自治区日喀则地区山东路23号,0892-8822415,西藏,日喀则地区,,
包玉刚实验学校,普通,民办,中学,上海市松江区三新北路,（021）61671999,上海市,上海市,松江区,https://www.ykpaoschool.cn/
深圳国际交流学院,,,中学,深圳市福田区安托山六路3号,,广东省,深圳市,福田区,https://www.alevel.com.cn/
北京顺义国际学校,普通,民办,中学,北京市顺义区安华街10号,010-80413032,北京市,北京市,顺义区,https://www.isb.cn/
北京市鼎石学校,,私立,中学,北京市顺义区后沙峪镇安富街11号,,北京市,北京市,顺义区,https://www.keystoneacademy.cn/
上海民办平和学校,市重点,民办,中学,上海市浦东新区黄杨路261号,021-50312340,上海市,上海市,浦东新区,https://www.shphschool.com/?security_verify_data=313434302c393030
华南师范大学附属中学国际部,,公立,中学,广东省广州市天河区中山大道西1号华师附中,,广东省,广州市,天河区,https://www.gdhfi.com/
人大附中中外合作办学项目（ICC）,,公立,中学,北京市海淀区中关村大街37号,010-62512094 62515003,北京市,北京市,海淀区,https://icc.rdfz.cn/xmwh/xmhd/
北京市海嘉双语学校,,,中学,顺义区后沙峪峪民大街5号,,北京市,北京市,顺义区,http://www.bibachina.org/index.html?deptId=103
北京京西国际学校,普通,民办,中学,北京市朝阳区阜通东大街10号,010-84564155,北京市,北京市,朝阳区,
上海市世界外国语中学（世外中学）,市重点,民办,中学,上海市徐汇区虹漕南路602号,021-54198567,上海市,上海市,徐汇区,
深圳外国语学校初中部,省重点,公办,中学,广东省深圳市福田区红荔路2005号,0755-83354153 0755-25282036,广东省,深圳市,福田区,
深圳外国语学校（高中部）,省重点,公办,中学,深圳市盐田区盐田路1东门,0755-25282089,广东省,深圳市,盐田区,
石家庄第四十三中学（石家庄外国语学校）,省重点,公办,中学,河北省石家庄市育才街318号,"0311-85802393,0311-86573520",河北省,石家庄市,裕华区,
济南外国语学校,市重点,公办,中学,济南市天桥区师范路23号,0531-68675926,山东省,济南市,天桥区,
太原市外国语学校,省重点,公办,中学,山西省太原市漪汾苑槐荫苑17号,0351-5631258,山西省,太原市,万柏林区,
南昌市外国语学校,省重点,公办,中学,江西省南昌市西湖区桃苑中路126号,0791 86583677 0791 86583677,江西省,南昌市,西湖区,
天津外国语大学附属滨海外国语学校,市重点,公办,中学,天津市河北区南口路11号,022-26353573,天津市,天津市,河北区,
广东外语外贸大学附属外国语学校（广外附校）,市重点,民办,中学,广州增城新塘永和新新公路15号（金地荔湖城楼盘内）,020-32983488 05810-32983498,广东省,广州市,增城区,
成都七中,全国重点,公办,中学,成都市林荫中街1号,028-85442231,四川省,成都市,武侯区,
长郡中学,省重点,公办,中学,长沙市黄兴南路309号,0731-85287990,湖南省,长沙市,天心区,
雅礼中学,省重点,公办,中学,湖南省长沙市雨花区劳动西路428号,0731-5532038,湖南省,长沙市,雨花区,
人大附中,全国重点,公办,中学,北京市海淀区中关村大街37号,010-62512094  62515003,北京市,北京市,海淀区,
重庆市巴蜀中学校,全国重点,公办,中学,重庆市渝中区北区路51号,023-63002371,重庆市,重庆市,渝中区,
石家庄二中,省重点,公办,中学,河北省石家庄市兴凯路187号,0311--7022964 7022492,河北省,石家庄市,新华区,
浙江省杭州学军中学,,,,,,,,,
浙江省杭州第二中学,省重点,公办,中学,浙江省杭州市滨江区东信大道72-76号,0571-86696789  86053053,浙江省,杭州市,滨江区,
长沙市第一中学,省重点,公办,中学,湖南省长沙市开福区清水塘路53号,（0731）82774885,湖南省,长沙市,开福区,
华中师大一附中,全国重点,公办,中学,湖北省武汉市东湖高新技术开发区汤逊湖北路特1号,027-87920655,湖北省,武汉市,武昌区,
乌鲁木齐第一中学,省重点,公办,中学,新疆乌鲁木齐市健康路一巷9号,9912826965,新疆,乌鲁木齐市,天山区,
郑州一中,省重点,公办,中学,郑州市中原西路182号,0371-67882208,河南省,郑州市,中原区,
乐清市知临中学,省重点,民办,中学,浙江省乐清市城南街道朋岙村,0577-27882222,浙江省,温州市,乐清市,
西北师大附中,,,,,,,,,
东北育才学校,省重点,公办,中学,辽宁省沈阳市和平区南一马路100号,024-23783945,辽宁省,沈阳市,和平区,
合肥一中,省重点,公办,中学,安徽省合肥市滨湖新区西藏路2356号,0551-2911006 180-9663-1182,安徽省,合肥市,包河区,
南宁三中,普通,公办,中学,广西南宁青山路5号,0771-5311268/5335401,广西,南宁市,,
成都石室中学,市重点,公办,中学,四川省成都市成华区龙潭立交西内侧,028-61399476,四川省,成都市,成华区,
重庆市第一中学校,市重点,公办,中学,重庆市沙坪坝区沙南街2号,023-65303495  65307121,重庆市,重庆市,沙坪坝区,
重庆市南开中学校,全国重点,公办,中学,重庆市沙坪坝区沙南街一号,023-65312786,重庆市,重庆市,沙坪坝区,
长春吉林大学附属中学,,,,,,,,,
柳州高中,,,,,,,,,
重庆市第八中学校,市重点,公办,中学,重庆市沙坪坝区小龙坎正街96号,023-61703000,重庆市,重庆市,沙坪坝区,
南开中学,全国重点,公办,中学,天津市南开区南开四马路22号,022—27483391,天津市,天津市,南开区,
成都树德中学,区重点,民办,中学,成都市高新西区泰山南街133号,028-87843803 87846451,四川省,成都市,郫都区,
山东省广饶县第一中学,省重点,公办,中学,山东省东营市广饶县城花苑路509号,0546-6450990  0546-6688767,山东省,东营市,广饶县,
银川一中,省重点,公办,中学,宁夏银川市兴庆区民族南街656号,0951－4102908  0951-4104858,宁夏,银川市,兴庆区,
山东省青岛第二中学,省重点,公办,中学,山东省青岛市崂山区松岭路70号,0532-88907255,山东省,青岛市,崂山区,
福建省福州第一中学,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区,
济南历城第二中学,省重点,公办,中学,山东省济南市历城区董家843号,0531－88722886,山东省,济南市,历城区,
武钢三中,省重点,公办,中学,武汉市青山区红钢二街1号,027-86341335,湖北省,武汉市,青山区,
绵阳南山中学,省重点,公办,中学,四川省绵阳市南塔路3号,0816-2862314,四川省,绵阳市,,
成都七中嘉祥外国语学校,市重点,民办,中学,成都市锦江区晨辉北路6号（金象花园背后）,028-85911236、85913229,四川省,成都市,锦江区,
邯郸一中,省重点,公办,中学,河北省邯郸市丛台路21号,0310--3122208,河北省,邯郸市,丛台区,
湖北省襄阳四中,省重点,公办,中学,湖北省襄阳市襄城东街26号,0710-3511057（校办） 0710-3553666（招办）,湖北省,襄阳市,襄州区,
鄂尔多斯市第一中学,市重点,公办,中学,内蒙古鄂尔多斯市康巴什新区鄂尔多斯大街,0477-8390606,内蒙古,鄂尔多斯市,,
福建省泉州市第七中学,普通,公办,中学,泉州市鲤城区天后路40号　邮编：362000　电话：0595－22204308,0595－22204308,福建省,泉州市,鲤城区,
南雅中学,市重点,公办,中学,湖南省长沙市雨花区香樟东路178号,0731-85065645,湖南省,长沙市,雨花区,
宁波市镇海蛟川书院,市重点,民办,中学,浙江省宁波市镇海区庄市逸夫路　,0574-86685208  86685218,浙江省,宁波市,镇海区,
马鞍山二中,省重点,公办,中学,安徽省马鞍山市花山区健康路2号,0555--8331030,安徽省,马鞍山市,花山区,
东莞市东华高级中学,省重点,民办,中学,广东省东莞市莞长路33号,0769-22696988,广东省,东莞市,,
佛山市南海区石门中学,普通,公办,中学,广东省佛山市南海区,0757-85930324,广东省,佛山市,南海区,
兰州第一中学,省重点,公办,中学,甘肃省兰州市城关小沟头150号,0931—8824122,甘肃省,兰州市,城关区,
江苏省苏州中学,省重点,公办,中学,江苏省苏州市人民路699号,0512-65194261  0512-65195262,江苏省,苏州市,沧浪区,
浙江省衢州第二中学,省重点,公办,中学,衢州市北门浮石路307号,0570-8018090,浙江省,衢州市,,
广东省中山市第一中学,省重点,公办,中学,广东省中山市孙文中路134号,0760－88332643,广东省,中山市,,
山东省临沂第一中学,省重点,公办,中学,山东省临沂市兰山区银雀山路55号,0539-8313412,山东省,临沂市,兰山区,
浙江省余姚中学,省重点,公办,中学,浙江省余姚市四明西路392号,0574-62720390,浙江省,宁波市,余姚市,
福建省泉州第五中学,普通,公办,中学,福建省泉州市桂坛巷49号,,福建省,泉州市,,
淮北市第一中学,省重点,公办,中学,安徽省淮北市相山区石城路30号,0561-3024962,安徽省,淮北市,相山区,
江西科技学院附属中学,,,,,,,,,
曲靖一中,省重点,公办,中学,云南省曲靖市麒麟区内环东路86号,0874-3122416,云南省,曲靖市,麒麟区,
浙江省义乌中学,省重点,公办,中学,浙江省金华市义乌市南门街888号,0579-85205008,浙江省,金华市,义乌市,
东莞市东莞中学,省重点,公办,中学,广东省东莞市城区学院路128号,0769-22687268,广东省,东莞市,东城区,
广西师范大学附属外国语学校,省重点,公办,中学,广西桂林市铁山工业园紫杉路10号,0773-8993005,广西,桂林市,七星区,
齐齐哈尔市实验中学,省重点,公办,中学,齐齐哈尔市建华区中华西路142号,0452-6162170,黑龙江,齐齐哈尔市,建华区,
银川二中,省重点,公办,中学,宁夏回族自治区银川市兴庆区中山北街英才巷151号,18209510188,宁夏,银川市,兴庆区,
合肥六中,省重点,公办,中学,安徽省合肥市长江路397号（南区）  安徽省合肥市寿春路252号（北区）,0551-2858277（办公室） 2858227（教务处）,安徽省,合肥市,瑶海区,
铜陵市第一中学,市重点,公办,中学,安徽省铜陵市学院路601号,0562-2808369,安徽省,铜陵市,,
山东省莱芜市第一中学,省重点,公办,中学,山东省莱芜市莱城区 凤城西大街,0634-6412099,山东省,莱芜市,莱城区,
兵团二中,,,,,,,,,
常州市第一中学,市重点,公办,中学,常州市椿桂坊,,江苏省,常州市,,
山东省潍坊第一中学,省重点,公办,中学,山东省潍坊市奎文区中学街1号,0536-8230183,山东省,潍坊市,,
泰安一中,省重点,公办,中学,山东省泰安市泰山区青年路117号/虎山路169号/长城路和灵山大街交界,0538-6365109 0538- 8491085  0538-2187037,山东省,泰安市,泰山区,
安徽省宣城中学,市重点,公办,中学,安徽省 宣城市 水阳江大道,0563-3033050,安徽省,宣城市,,
安庆一中,省重点,公办,中学,安徽省安庆市大观区龙门口街38号,0556－5513669,安徽省,安庆市,大观区,
哈尔滨市第三中学校,省重点,公办,中学,黑龙江省哈尔滨市南岗区果戈里大街415号,0451-53636578,黑龙江,哈尔滨市,南岗区,
江苏省扬州中学,省重点,公办,中学,江苏省扬州市淮海路13号,0514-87361280 0514-87310839 0514-87361276,江苏省,扬州市,,
九江第一中学,省重点,公办,中学,江西省九江市滨湖路1号,0792-8238623,江西省,九江市,九江县,
临汾一中,省重点,公办,中学,山西省临汾市尧都区鼓楼西街31号,0357-3377555,山西省,临汾市,尧都区,
北师大实验中学,,,,,,,,,
唐山一中,省重点,公办,中学,河北省唐山市路南区友谊路2号,0315-2595128,河北省,唐山市,路北区,
鹰潭市第一中学,省重点,公办,中学,江西省鹰潭市胜利西路8号,0701-6221343  0701—6289277,江西省,鹰潭市,,
呼市二中,省重点,公办,中学,内蒙古呼和浩特市呼伦南路1号/如意开发区二纬路（东校区）,0471-6966195  0471-6923186 0471-4611783,内蒙古,呼和浩特市,,
天津市实验中学,全国重点,公办,中学,天津市河西区平山道1号,022-23358689,天津市,天津市,河西区,
西南大学附厲中学校,,,,,,,,,
合肥八中,,,,,,,,,
福建省南安第一中学,县重点,公办,中学,福建省泉州市南安市,0595-86382402,福建省,泉州市,南安市,
山东烟台第二中学,省重点,公办,中学,山东省烟台市芝罘区焕新路1号,0535-6696228,山东省,烟台市,芝罘区,
太原五中,省重点,公办,中学,山西省太原市迎泽区青年路49号,0351-4094288,山西省,太原市,迎泽区,
忻州市第一中学校,省重点,公办,中学,山西省忻州市忻府区和平街8号,0350-3025377,山西省,忻州市,忻府区,
天津英华国际学校,市重点,民办,中学,天津市武清区雍阳西道天津英华国际学校,022-59611188 4000-022-370,天津市,天津市,武清区,
余姚市实验学校,市重点,民办,中学,浙江省宁波市余姚市潭家岭西路199号,0574-62779393   62779390,浙江省,宁波市,余姚市,
芜湖市第二十七中学,普通,公办,中学,芜湖市镜湖区长江中路44号,,安徽省,芜湖市,镜湖区,
北京市一零一中学,普通,公办,中学,北京市海淀区颐和园路11号,62566753,北京市,北京市,海淀区,
福建省长乐第一中学,省重点,公办,中学,福建省福州市长乐市吴航街道和平街56号,0591-28800711,福建省,福州市,长乐区,
贵港市高级中学,省重点,公办,中学,广西贵港市港北区金港大道674号,0775-4565422,广西,贵港市,港北区,
江苏省锡山高级中学,省重点,公办,中学,江苏无锡惠山新城政和大道1号,0510-83579111　0510-83579333,江苏省,无锡市,惠山区,
江苏省新海高级中学,普通,公办,中学,连云区中华西路168号,0518-2310560,江苏省,连云港市,连云区,
赣州中学,普通,公办,中学,江西省赣州市章贡区赣康路20号,,江西省,赣州市,章贡区,
晋城一中,省重点,公办,中学,山西省晋城市东大街963号,0356-3096875,山西省,晋城市,,
浙江省萧山中学,省重点,公办,中学,杭州市萧山区城厢街道拱秀路538号,82722091（办公室）82722092（教务处）82733448（学生处）,浙江省,杭州市,萧山区,
淮南二中,普通,公办,中学,田家庵区舜耕西路（二中）,0554-6414696 葛晓辉,安徽省,淮南市,,
广州市第六中学,省重点,公办,中学,广州市海珠区新港西路179号,020-84452167,广东省,广州市,海珠区,
哈尔滨德强学校,市重点,民办,中学,哈尔滨香坊区公滨路58-3号,0451-55160688,黑龙江,哈尔滨市,香坊区,
江西省宜春中学,普通,公办,中学,化成路34号,0795-3222546,江西省,宜春市,,
北重三中,市重点,公办,中学,内蒙古包头市青山区青山路117号,0472-3135562,内蒙古,包头市,青山区,
遂宁市安居育才中学校,普通,公办,中学,扬东路211号,0512-67451666,江苏省,苏州市,吴中区,
